School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description,ED Match Count,ED Keywords Matched,AI Match Count,AI Keywords Matched,EDxAI Match Count,EDxAI Keywords Matched
UCalgary,Software Engineering for Engineers 411,Advanced Applied Artificial Intelligence and Machine Learning,digital, ,Advanced supervised and unsupervised learning algorithms. Introduction to modern neural network architectures. Emphasis will be on designing practical applications that leverage existing software libraries and frameworks to solve engineering problems.,0,,6,"algorithm, artificial intelligence, learning algorithm, machine learning, neural network, unsupervised learning",0,
UofT,APS360H1, Applied Fundamentals of Machine Learning , , ,"A basic introduction to the history, technology, programming and applications of the fast evolving field of machine learning. Topics to be covered may include neural networks, autoencoders/decoders, recurrent neural networks, natural language processing, and generative adversarial networks. Special attention will be paid to fairness and ethics issues surrounding machine learning. An applied approach will be taken, where students get hands-on exposure to the covered techniques through the use of state-of-the-art machine learning software frameworks.",0,,6,"decoder, generative adversarial network, machine learning, natural language processing, neural network, recurrent neural network",0,
UCalgary,Biomedical Engineering 415,Sensor Systems and Data Analytics,biomedical, ,"Introduction to matrix and tensor manipulation with focus on computer programming aspects. Sensor systems and design of data collection strategies, with examples in relevant areas of biomedical engineering. Data curation and conditioning including outlier and anomaly pattern detection, noise removal and data reduction. Unsupervised clustering and association mining using machine learning techniques. Supervised classification using advanced machine learning techniques. Completion of a sensor- and data-oriented project in an area of biomedical engineering.",0,,5,"association, clustering, data curation, machine learning, tensor",0,
UCalgary,Digital Engineering 319,"Probability, Statistics and Machine Learning", , ,"Presentation and description of data, introduction to probability theory, Bayes' theorem, discrete and continuous probability distributions, estimation, sampling distributions, tests of hypotheses on means, variances and proportions; Introduction to fundamental machine learning including linear regression, classification and correlation. Applications are chosen from engineering practice from all disciplines. Course Hours: Prerequisite(s): Antirequisite(s): Also known as: ",0,,4,"linear regression, machine learning, regression, variance",0,
UCalgary,Software Engineering for Engineers 410,Fundamentals of Applied Artificial Intelligence,digital, ,"Techniques for extracting, cleaning, and visualizing data from engineering applications. Basic numerical computation techniques underlying learning algorithms. Fundamental supervised and unsupervised learning algorithms. Emphasis will be on designing practical applications that leverage existing software libraries and frameworks to solve problems in various engineering disciplines.",0,,4,"algorithm, artificial intelligence, learning algorithm, unsupervised learning",0,
McGill,ECSE 415,Introduction to Computer Vision, ,Yes,"Electrical Engineering : An introduction to the automated processing, analysis, and understanding of image data. Topics include image formation and acquisition, design of image features, image segmentation, stereo and motion correspondence matching techniques, feature clustering, regression and classification for object recognition, industrial and consumer applications, and computer vision software tools.",0,,3,"clustering, computer vision, regression",0,
UBC Okanagan,ENGR 418,Applied Machine Learning for Engineers, , ,"Fundamentals of machine learning, toolboxes in machine learning, supervised learning, unsupervised learning, applications of machine learning in various engineering disciplines. Credit will be granted for only one of ENGR 418 or ENGR 518. [3-0-0] Prerequisite: Fourth-year standing in the B.A.Sc. program.",0,,3,"machine learning, supervised learning, unsupervised learning",0,
UGuelph,ENGG*4660,Medical Image Processing, , ,"This course covers the fundamentals of medical  image processing. Image processing topics covered  include: fundamentals of resolution and  quantization; linear systems as applied to  multi-dimensional continuous and discrete  systems; point operations such as contrast  enhancement and histogram equalization; geometric  operations for distortion correction, including  interpolation methods; linear filtering in both  the spatial and spatial-frequency domains; and  image restoration and inverse filtering. Image  segmentation is covered in the framework of  pattern recognition using single and multiple  dimensional features, and includes the  fundamental Bayes classifier as well as machine  learning methods for both supervised and  unsupervised learning.",0,,3,"machine learning, pattern recognition, unsupervised learning",0,
UofT,CSC384H1, Introduction to Artificial Intelligence , , ,"Theories and algorithms that capture (or approximate) some of the core elements of computational intelligence. Topics include: search; logical representations and reasoning, classical automated planning, representing and reasoning with uncertainty, learning, decision making (planning) under uncertainty. Assignments provide practical experience, in both theory and programming, of the core topics.",0,,2,"algorithm, artificial intelligence",0,
Concordia,MECH 472,Mechatronics and Automation, , ,"Prerequisite: MECH 215 or MIAE 215; MECH 371 previously or concurrently. This course focuses on design and analysis of mechatronic and automation systems. The following topics are covered: selection and integration of actuators, sensors, hardware, and software; computer vision; programming and software design for mechatronic systems; modelling and simulation; design of logic control systems; finite state machine methods; feedback control and trajectory generation; safety logic systems; case studies including automation systems, mobile robots, and unmanned vehicle systems. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.",0,,1,computer vision,0,
