School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description,ED Match Count,ED Keywords Matched,AI Match Count,AI Keywords Matched,EDxAI Match Count,EDxAI Keywords Matched
McGill,ECSE 553,Critical Systems, ,Yes,"Electrical Engineering : Design and assurance of critical software-intensive cyber-physical systems (CPSs). Core concepts, standard languages (SysML, Capella), techniques and tools of model-based systems used for designing such systems including: concepts like safety cases, traceability, viewpoints of system architecture or design space exploration. Safety assurance of software-intensive critical systems; design-time and run-time verification; and validation techniques. Research challenges for the safety assurance of systems driven by machine learning and other AI techniques.",6,"concept, design space, engineering design, model, standard, system architecture",2,"ai, machine learning",0,
UofT,MSE401H1, Materials Information in Design , , ,"   This course presents approaches to composite and structural design, and optimization, for components and products. Tools for optimization, material property data analytics, and structural simulation will be used. We will apply advanced materials selection (and the CES materials database) to product and component design, and hybrid (composite) materials design. Composite mechanics theory and topology optimization will be developed for structural optimization. Finally, modern techniques including AI and machine learning will be presented for aspects of materials selection, composite design and structural optimization. Component design decisions will include both material properties and the capabilities of applicable fabrication processes, to identify the material and process which best satisfy the design requirements. Â  Â  Â  Â    Â  Â  Â  Â  Â    Â  Â  Â  Â  Â    Â  Â  Â  Â  Â    Â  Â  Â  Â  Â    Â  Â  Â  Â  Â    Â  Â  Â  Â  Â    ",5,"component, design requirement, material selection, material, product",3,"ai, machine learning, optimization",0,
Ryerson,MEC 813,Flexible Manufacturing Systems, , ,"This course provides students with an overview of the planning, design, implementation, and control of flexible manufacturing systems. It discusses the concept of flexible manufacturing and types of manufacturing systems such as cellular manufacturing and the application of various artificial intelligence techniques to the design of cellular manufacturing systems. It also includes an overview of the basic components of flexible manufacturing systems: selection of automated material handling systems, part type selection and tool allocation models, workpieces and tools routing, capacity planning, and scheduling for flexible manufacturing systems. (Equivalent to IND 810)",4,"component, concept, material, model",1,artificial intelligence,0,
OntarioTechU,MANE 4160U,Artificial Intelligence in Engineering, , ,"Introduction to artificial intelligence; knowledge-based systems, state space representation, search strategies, knowledge representation, reasoning with uncertainty; fuzzy sets, membership functions and operations, fuzzy relations, fuzzy reasoning; neural networks, basic neuron modelling, multi-layer perceptron, self-organization networks and adaptive theory; genetic algorithms for optimization and search; applications of artificial intelligence in engineering, design and manufacturing.",2,"engineering design, function",7,"algorithm, artificial intelligence, genetic algorithm, knowledge based system, neural network, optimization, perceptron",0,
QueensU,MECH 496,Musculoskeletal Biomechanics, , ,"Develops approaches to musculoskeletal biomechanics, including experimental and analytical approaches to movement analysis, experimental instrumentation and devices, and biomechanical devices for musculoskeletal disorder rehabilitations. Analysis of the contribution of external loading, forces generated by muscles and constraints provided by other musculoskeletal structures to predict forces and stresses in musculoskeletal joints and tissues. Numerical and modelling approaches, including inverse dynamics, and optimization, and determination of segmental inertial properties. Biomechanical devices including upper limb and lower limb orthotics and prosthetics. Applications in orthopaedic engineering, movement assessment, ergonomics, joint injury and replacements, and biomechanical system design. Application of machine learning in biomechanics and human movement analysis. Students are presumed to have had a sound introduction to biomechanics, typically acquired from MECH 394.",2,"constraint, ergonomics",2,"machine learning, optimization",0,
UCalgary,Mechanical Engineering 337,Computing Tools for Engineering Design, , ,"The application of computer tools to solve practical engineering problems; advanced engineering computing including algorithm development, debugging, and verification and interpretation of results; mathematical modelling using high-level programming languages and fundamentals of numerical analysis; introduction to data analysis using machine learning concepts.",2,"concept, engineering design",2,"algorithm, machine learning",0,
McGill,ECSE 343,Numerical Methods in Engineering, ,Yes,"Electrical Engineering : Number representation and numerical error. Symbolic vs. numerical computation. Curve fitting and interpolation. Numerical differentiation and integration. Optimization. Data science pipelines and data-driven approaches. Preliminary machine learning. Solutions of systems of linear equations and nonlinear equations. Solutions of ordinary and partial differential equations. Applications in engineering, physical simulation, CAD, machine learning and digital media.",1,cad,2,"machine learning, optimization",0,
McGill,ECSE 549,Expert Systems in Electrical Design, ,Yes,"Electrical Engineering : Design processes in electrical engineering. Hierarchical design. Computer aided design. Expert system technology. Device representations, heuristics and structures, algebraic models. Design versus diagnosis, ""Shallow"" and ""Deep"" systems, second generation (multi-paradigm) systems. Shells and their uses in design systems. Knowledge acquisition systems.",6,"computer aided design, design process, engineering design, expert system, heuristic, model",2,"expert system, heuristic",0,
UGuelph,ENGG*3100,Engineering and Design III, , ,"This course combines the knowledge gained in the  advanced engineering and basic science courses  with the design skills taught in ENGG*1100 and  ENGG*2100 in solving open-ended problems. These  problems are related to the student's major.  Additional design tools are presented, including  model simulation, sensitivity analysis, linear  programming, knowledge-based systems and computer  programming. Complementing these tools are  discussions on writing and public speaking  techniques, codes, safety issues, environmental  assessment and professional management. These  topics are taught with the consideration of  available resources and cost.",2,"cost, model",1,knowledge based system,0,
Concordia,MECH 476,Generative Design and Manufacturing in Engineering, , ,Prerequisite: MECH 313 or MIAE 313; AERO 390 or MECH 390 previously or concurrently. Generative design is a form-finding process that can mimic natureâ€™s evolutionary approach to design. It can start with design goals and then explore innumerable possible permutations of a solution to find the best option. This course provides fundamental information on generative design and manufacturing in engineering. The core techniques from mathematics to artificial intelligence that are commonly used in the creative industry are discussed. The formal paradigms and algorithms used for generation as well as cloud computing are also covered. Lectures: three hours per week.,0,,3,"algorithm, artificial intelligence, cloud computing",1,generative design
