School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description,ED Match Count,ED Keywords Matched,AI Match Count,AI Keywords Matched,EDxAI Match Count,EDxAI Keywords Matched
BCIT,CHSC 1105,Engineering Materials 1, , ,"This course provides a broad overview of the materials used in engineering, including metals, polymers and ceramics. Macroscopic properties, such as mechanical strength, elastic modulus and electrical conductivity, are dominated by structure and bonding. The microstructure of materials is examined and related to the macroscopic properties. The critical relationships between structure and properties will be studied for different classes of materials. Testing and measurement of mechanical properties will be performed in the laboratory sessions.",1,material,0,,0,
BCIT,COMM 1169,Technical Communication 1 for Mechanical Engineering, , ,"COMM 1169 teaches the basic skills for effective writing and speaking in the field of engineering. The course covers the layout, content and graphic techniques for technical writing and speaking. Assignments include summaries, instructions, process and/or mechanism descriptions, professional emails, a work plan, critical assessments of secondary sources, and a team-based oral presentation on sustainability, renewable energy, or clean technology. Critical reflection, feedback opportunities, and oral/aural activities are embedded throughout lectures and labs. Interpersonal and intercultural communication are applied and practiced as students are placed in randomly chosen, structured co-operative teams. Detailed, team-based journal entries are written at the end of most lab classes and evaluated by the instructor.",1,technical communication,0,,0,
BCIT,MATH 1491,Basic Technical Mathematics for Mechanical, , ,"Introduces differential calculus of polynomial functions including appropriate support topics from algebra, analytical geometry, plane geometry, trigonometry and the theory of logarithms and exponential functions. There will be strong emphasis on illustrating the mathematics with applications from technology, engineering and the physical sciences.",1,function,0,,0,
BCIT,MECH 1102,Engineering Graphics 1, , ,"Introduces the techniques for interpreting and creating engineering drawings in accordance with Canadian Standards Association (CSA) drafting practices. Emphasis is on interpretation and the use of hand-sketching and basic drafting tools. The course also introduces the use of Computer Aided Design (CAD) application software for mechanical drawing using 3D solid modeling techniques. The course includes a project to sketch, model, and document a simple design.",6,"cad, computer aided design, drawing, model, sketch, standard",1,association,0,
BCIT,MECH 1171,Computer Applications and Programming, , ,"This course introduces computer software that is integral to all engineering disciplines, including word processing, presentation, spreadsheet, and CAD software. Students will learn to communicate effectively using formatted documents and presentations. Spreadsheet built-in functions and custom-developed macros will be used to solve engineering problems and to analyze and chart data. Students will be introduced to computer programming including flowcharts, pseudocode, and structured programming in Visual Basic.",2,"cad, function",0,,0,
BCIT,CHSC 2205,Engineering Materials 2, , ,"This course continues from CHSC 1105 Engineering Materials 1. The engineering significance of interrelationships between processing methods, microstructure and properties is studied. The processing routes available for manufacturing stock and products from different materials are examined. Topics covered include: the metallurgy of steels and cast irons and the selection of alloy steels, cast-irons, non-ferrous alloys, polymers, composites, concrete and ceramics for practical applications. Common causes of service failures are discussed, including fatigue, embrittlement and corrosion. Laboratory sessions emphasize the use of mechanical testing, interpretation of microstructures and non-destructive testing, to facilitate understanding of the effects of processing on materials.Prerequisite(s): CHSC 1105",2,"material, product",0,,0,
BCIT,MATH 2491,Calculus for Mechanical, , ,"A continuation of the differential calculus that was presented in MATH 1491and an introduction to integral calculus. Transcendental functions; related rates; maxima and minima; areas and volumes; centroids and moments of inertia; calculation of work and force due to fluid pressure; ordinary differential equations. Maple will be used for problem solving and function visualization. There will be a strong emphasis on illustrating the mathematics with applications from technology, engineering and physical sciences.Prerequisite(s): MATH 1491",1,function,0,,0,
BCIT,MECH 2202,Engineering Graphics 2, , ,"Covers topics in engineering graphics and computer aided design, with emphasis on the creation and management of models and drawings in a team environment. Topics include advanced part modeling, parametric models, dimensioning standards, tolerance and fits, geometric dimensioning and tolerancing (GD&T), 2D CAD drawings, blocks and attributes, external references, piping and HVAC drawings, and working drawing set creation.Prerequisite(s): MECH 1102",6,"cad, computer aided design, drawing, gdt, model, standard",1,parametric model,0,
BCIT,MECH 2240,Strength of Materials, , ,"This course covers topics in strength of materials with emphasis on problem solving and with an introduction to design for safety of structural members, mechanical devices, and systems. Topics include stress, strain and deflection, tension, compression, shear, torsion, and buckling. Applications include beams, columns, shafts, thin, and thick-walled cylinders.Prerequisite(s): MECH 1141",1,material,0,,0,
BCIT,ELEX 2845,Electrical Equipment, , ,"This course shall serve to introduce electrical equipment and systems found in the industrial and commercial environment to students who can expect to encounter such hardware in the course of their careers. The course will address those topics of key concern to non-electrical personnel in the mechanical and process industries. These will include: Electrical transmissions, energy rate structure and demand charges, line loss, power factor and power quality; abnormal circuit conditions and circuit protection devices; transformer operation and applications; three-phase power and its advantages; AC motors and drives; electrical controls: switches, relays and programmable logic controllers (PLCs).Prerequisite(s): PHYS 2149",1,quality,0,,0,
