Course Number,Course Name,Course Description
CHEM 1101,Chemistry for Engineering Students,"Topics include stoichiometry, atomic and molecular structure, thermodynamics and chemical equilibrium, acid-base chemistry, carbon dioxide in water, alkalinity, precipitation, electrochemistry, kinetics and basic organic chemistry. Laboratory component emphasizes techniques and methods of basic experimental chemistry."
ECOR 1041,Computation and Programming,"Software development as an engineering discipline, using a modern programming language. Language syntax and semantics. Tracing and visualizing program execution. Program style and documentation. Testing and debugging tools and techniques."
ECOR 1042,Data Management,"Introduction to designing and implementing numerical algorithms. Container data types: sequences, sets, maps. Modules. Data files. Incremental, iterative development of programs. Number systems: binary, decimal. Digital representation of integers and floating point numbers."
ECOR 1043,Circuits,"Electrical Quantities (Voltage, Charge, Current, Power). Conservation of charge and energy. Mathematical models of simple devices. Elementary circuit theory for passive elements. Thévenin's and superposition theorem. Signal filtering and amplification. Time and frequency domain. Circuit design and simulation."
ECOR 1044,Mechatronics,"Mechatronics applications. Analog to digital signal conversion. Control systems and PID controllers. Input devices, including sensors. Data collection and processing. Output devices, including displays, actuators, and motors. Project design and economics. Environmental Impact of mechatronics engineering. System failures and failsafe design."
ECOR 1045,Statics,Cartesian vector representation of forces. Components of forces. Particle equilibrium and free body diagrams. Moments and cross product. Centre of gravity and centroids. Rigid body equilibrium.
ECOR 1046,Mechanics,"2D truss analysis (method of joints/sections). Normal stress/strain and shear stress/strain. 2D frames and machines. Internal loads - normal, shear and moment at a point. Shear and moment diagrams."
ECOR 1047,Visual Communication,"Graphs and sketches, flow charts, block diagrams. Visual presentation, projection and perspectives of objects. 3D sketching. Free hand drawing. Reading engineering drawings and schematics. Introduction to scaling, dimensioning and tolerancing. Introduction to CAD."
ECOR 1048,Dynamics,"Kinematics and kinetics of a particle. Principle of work and energy. Conservation of energy, conservative forces, potential energy. Principles of impulse and momentum, conservation of momentum for a system of particles."
MATH 1004,Calculus for Engineering or Physics,"Limits. Differentiation of the elementary functions. Rules of differentiation. Inverse trigonometric functions. Applications of differentiation: max-min problems, curve sketching, approximations. Definite and indefinite integrals, techniques of integration. Applications to areas and volumes."
MATH 1104,Linear Algebra for Engineering or Science,"Systems of linear equations. Matrix algebra. Determinants. Invertible matrix theorem. Cramer’s rule. Vector space R^n; subspaces, bases. Eigenvalues, diagonalization. Linear transformations, kernel, range.  Complex numbers (including De Moivre’s theorem). Inner product spaces and orthogonality. Applications."
PHYS 1004,Introductory Electromagnetism and Wave Motion,"This calculus-based course introduces potential energy, work, electricity, magnetism, oscillations and waves."
ECOR 1055,Introduction to Engineering Disciplines I,"Overview of professional activities oriented to the student's discipline of study: Architectural Conservation and Sustainability. Civil and Environmental. Aerospace and Mechanical. Electrical. Engineering Physics. Computer Systems, Communications and Software. Biomedical (Electrical and Mechanical). Sustainable and Renewable Energy."
ECOR 1056,Introduction to Engineering Disciplines II,Selected lectures designed to provide students with exposure to the breadth of Engineering disciplines.
ECOR 1057,Engineering Profession,"Professional Engineers Act. Engineering documentation. History of the profession. Engineering practice: system life cycle, practice within the discipline, designing with others. Health and safety. Engineering Ethics, Equity and Diversity. Introduction to engineering law : Business, Entrepreneurship and Intellectual Property."
ECOR 2050,Design and Analysis of Engineering Experiments,"Statistics and the design of engineering experiments. Basic exploratory data analysis. Central limit theorem. Hypothesis testing: t-test, chi-square test, type-I and type-II errors, multiple-comparison problem.  Statistical bias.  Design of experiments: randomization, blocking and replication, randomized blocking designs, factorial design. Statistical software packages."
ELEC 3605,Electrical Engineering,"DC circuits: elements, sources, analysis. Single phase AC circuits: phasors, RLC circuits, real and reactive power, impedance, network analysis, three phase systems. Power transformers. DC motors: operation and characteristics. AC motors: single phase and three phase."
MAAE 2001,Engineering Graphical Design,"Engineering drawing techniques; fits and tolerances; working drawings; fasteners. Elementary descriptive geometry; true length, true view, and intersection of geometric entities; developments. Assignments will make extensive use of Computer-Aided Design (CAD) and will include the production of detail and assembly drawings from actual physical models."
MAAE 2101,Engineering Dynamics,Review of kinematics and kinetics of particles: rectilinear and curvilinear motions; Newton's second law; energy and momentum methods. Kinematics and kinetics of rigid bodies: plane motion of rigid bodies; forces and accelerations; energy and momentum methods.
MAAE 2202,Mechanics of Solids I,Review of Principles of Statics; friction problems; Concepts of stress and strain at a point; statically determinate and indeterminate stress systems; torsion of circular sections; bending moment and shear force diagrams; stresses and deflections in bending; buckling instability.
MAAE 2300,Fluid Mechanics I,"Fluid properties. Units. Kinematics, dynamics of fluid motion: concepts of streamline, control volume, steady and one-dimensional flows; continuity, Euler, Bernoulli, steady flow energy, momentum, moment of momentum equations; applications. Fluid statics; pressure distribution in fluid at rest; hydrostatic forces on plane and curved surfaces; buoyancy."
MAAE 2400,Thermodynamics and Heat Transfer,"Basic concepts of thermodynamics: temperature, work, heat, internal energy and enthalpy. First law for closed and steady-flow open systems. Thermodynamic properties of pure substances; changes of phase; equation of state. Second law: entropy. Simple power and refrigeration cycles. Introduction to heat transfer: conduction, convection, radiation."
MAAE 2700,Engineering Materials,"Materials (metals, alloys, polymers) in engineering service; relationship of interatomic bonding, crystal structure and defect structure (vacancies, dislocations) to material properties; polymers, phase diagrams and alloys; microstructure control (heat treatment) and mechanical properties; material failure; corrosion."
MATH 1005,Differential Equations and Infinite Series for Engineering or Physics,"First-order differential equations. Second-order linear equations with constant coefficients, undetermined coefficients, variation of parameters. Sequences and series, convergence tests, estimation of sums. Power series, Taylor series, remainders. Fourier series."
MATH 2004,Multivariable Calculus for Engineering or Physics,"Curves and surfaces. Polar, cylindrical and spherical coordinates. Partial derivatives, gradients, extrema and Lagrange multipliers. Exact differentials. Multiple integrals over rectangular and general regions. Integrals over surfaces. Line integrals. Vector differential operators. Green’s Theorem, Stokes’ theorem, Divergence Theorem. Applications."
ECOR 2995,Engineering Portfolio,"Students will be asked to reflect on their skills, strengths and weaknesses as preparation for the professional practice course. Engineering students must submit samples of their writing and communications (including, for example, laboratory reports and professional memos)."
CCDP 2100,Communication Skills for Engineering Students,"Development of competence in written and oral communication in engineering. Focus on professional written documents (proposals, technical explanations, research reports, summaries); written responses to engineering communications; related oral work. Attendance and participation are compulsory."
ECOR 3800,Engineering Economics,Introduction to engineering economics; cash flow calculations; methods of comparison of alternatives; structural analysis; replacement analysis; public projects; depreciation and income tax; effects of inflation; sensitivity analysis; break-even analysis; decision making under risk and uncertainty.
MAAE 3004,Dynamics of Machinery,Kinematic and dynamic analysis of mechanisms and machines. Mechanism force analysis. Static and dynamic balancing. Kinematic and dynamic analysis of cams. Free and forced vibration of single-degree-of-freedom systems. Introduction to multibody dynamics.
MAAE 3202,Mechanics of Solids II,Stress and strain transformations: torsion of non-circular sections; unsymmetric bending and shear centre; energy methods; complex stresses and criteria of yielding; elementary theory of elasticity; axisymmetric deformations.
MAAE 3300,Fluid Mechanics II,"Review of control volume analysis. Dimensional analysis and similitude. Compressible flow: isentropic flow relations, flow in ducts and nozzles, effects of friction and heat transfer, normal and oblique shocks, two-dimensional isentropic expansion. Viscous flow theory: hydrodynamic lubrication and introduction to boundary layers."
MAAE 3400,Applied Thermodynamics,"Gas and vapour power cycles: reheat, regeneration, combined gas/vapour cycles, cogeneration. Heat pump and refrigeration cycles: vapour compression cycles, absorption refrigeration and gas refrigeration. Mixtures of perfect gases and vapours: psychometry and combustion. Principles of turbomachinery."
MAAE 3500,Feedback Control Systems,"Introduction to the linear feedback control. Analysis and design of classical control systems. Stability and the Routh-Hurwitz criteria. Time and frequency domain performance criteria, robustness and sensitivity. Root locus, Bode and Nyquist design techniques. Control system components and industrial process automation."
MATH 3705,Mathematical Methods I,"Laplace transforms, series solutions of ordinary differential equations, the Frobenius method. Fourier series and Fourier transforms, solutions of partial differential equations of mathematical physics, boundary value problems, applications."
MECH 3002,Machine Design and Practice,"The design of mechanical machine elements is studied from theoretical and practical points of view. Topics covered include: design factors, fatigue, and discrete machine elements. Problem analysis emphasizes the application to practical mechanical engineering problems."
MECH 3700,Principles of Manufacturing,"Manufacturing processes, materials. Casting: solidification and heat flow theory, defect formation, casting design. Metal forming: elementary plasticity theory, plastic failure criteria, force and work calculations. Bulk and sheet forming. Joining: heat flow and defect formation, residual stresses. Machining theory and methods. Hardening: diffusion, wear resistance."
SYSC 3600,Systems and Simulation,Properties of linear systems. Linear dynamic models of engineering systems. Applications of the Laplace transform. Transfer functions. Block diagrams. Frequency and time response. System simulation with digital computers.
ECOR 4995,Professional Practice,"Presentations by faculty and external lecturers on the Professional Engineers   Act, professional ethics and responsibilities, practice within the discipline and its relationship with other disciplines and to society, health and safety, environmental stewardship, principles and practice of sustainable development. Communication skills are emphasized."
MAAE 4102,Materials: Strength and Fracture,"Analysis and prevention of failures in metals; plasticity analysis and plastic collapse; micro-mechanisms of fracture, conditions leading to crack growth and transition temperature effects, fracture mechanics, fatigue, environmentally assisted cracking, non-destructive evaluation and testing."
MAAE 4907,Engineering Design Project,"Team project in the design of an aerospace, biomedical, mechanical, or sustainable energy system. Opportunity to develop initiative, engineering judgement, self-reliance, and creativity in a team environment. Results submitted in a comprehensive report as well as through formal oral presentations."
MECH 4003,Mechanical Systems Design,"Design of mechanical systems: establishing design criteria, conceptual design, design economics, value analysis, synthesis and optimization. Mechanical elements/systems: gear and flexible drive systems, fluid power systems. These elements are utilized in group design projects."
MECH 4406,Heat Transfer,"Mechanisms of heat transfer: fundamentals and solutions. Steady and transient conduction: solution and numerical and electrical analog techniques. Convective heat transfer: free and forced convection for laminar and turbulent flows; heat exchangers. Heat transfer between black and grey surfaces, radiation shields, gas radiation, radiation interchange."
ELEC 4504,Avionics Systems,"Electromagnetic spectrum. Air data sensing, display. Communications systems. Navigation and landing systems; ground-based, inertial and satellite systems. Airborne radar. Guidance, control for aircraft, autopilots; stability augmentation; active control; sensor requirements; display techniques. Aircraft power systems. Safety systems. Vehicle/systems integration, certification."
ELEC 4602,Electrical Power Systems,"The electric power system. Components: power transformers and connections, transmission lines.  Analysis: balanced and unbalanced three-phase systems, symmetrical components, load flow, FACTS. Operation: frequency and voltage control, steady state and transient stability, fault protection. Distribution systems: utility, residential, commercial. Electrical safety: code, grounding/bonding."
