School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
Carleton,CHEM 1101,Chemistry for Engineering Students, , ,"Topics include stoichiometry, atomic and molecular structure, thermodynamics and chemical equilibrium, acid-base chemistry, carbon dioxide in water, alkalinity, precipitation, electrochemistry, kinetics and basic organic chemistry. Laboratory component emphasizes techniques and methods of basic experimental chemistry."
Carleton,ECOR 1041,Computation and Programming, , ,"Software development as an engineering discipline, using a modern programming language. Language syntax and semantics. Tracing and visualizing program execution. Program style and documentation. Testing and debugging tools and techniques."
Carleton,ECOR 1042,Data Management, , ,"Introduction to designing and implementing numerical algorithms. Container data types: sequences, sets, maps. Modules. Data files. Incremental, iterative development of programs. Number systems: binary, decimal. Digital representation of integers and floating point numbers."
Carleton,ECOR 1043,Circuits, , ,"Electrical Quantities (Voltage, Charge, Current, Power). Conservation of charge and energy. Mathematical models of simple devices. Elementary circuit theory for passive elements. Thévenin's and superposition theorem. Signal filtering and amplification. Time and frequency domain. Circuit design and simulation."
Carleton,ECOR 1044,Mechatronics, , ,"Mechatronics applications. Analog to digital signal conversion. Control systems and PID controllers. Input devices, including sensors. Data collection and processing. Output devices, including displays, actuators, and motors. Project design and economics. Environmental Impact of mechatronics engineering. System failures and failsafe design."
Carleton,ECOR 1045,Statics, , ,Cartesian vector representation of forces. Components of forces. Particle equilibrium and free body diagrams. Moments and cross product. Centre of gravity and centroids. Rigid body equilibrium.
Carleton,ECOR 1046,Mechanics, , ,"2D truss analysis (method of joints/sections). Normal stress/strain and shear stress/strain. 2D frames and machines. Internal loads - normal, shear and moment at a point. Shear and moment diagrams."
Carleton,ECOR 1047,Visual Communication, , ,"Graphs and sketches, flow charts, block diagrams. Visual presentation, projection and perspectives of objects. 3D sketching. Free hand drawing. Reading engineering drawings and schematics. Introduction to scaling, dimensioning and tolerancing. Introduction to CAD."
Carleton,ECOR 1048,Dynamics, , ,"Kinematics and kinetics of a particle. Principle of work and energy. Conservation of energy, conservative forces, potential energy. Principles of impulse and momentum, conservation of momentum for a system of particles."
Carleton,MATH 1004,Calculus for Engineering or Physics, , ,"Limits. Differentiation of the elementary functions. Rules of differentiation. Inverse trigonometric functions. Applications of differentiation: max-min problems, curve sketching, approximations. Definite and indefinite integrals, techniques of integration. Applications to areas and volumes."
Carleton,MATH 1104,Linear Algebra for Engineering or Science, , ,"Systems of linear equations. Matrix algebra. Determinants. Invertible matrix theorem. Cramer’s rule. Vector space R^n; subspaces, bases. Eigenvalues, diagonalization. Linear transformations, kernel, range.  Complex numbers (including De Moivre’s theorem). Inner product spaces and orthogonality. Applications."
Carleton,PHYS 1004,Introductory Electromagnetism and Wave Motion, , ,"This calculus-based course introduces potential energy, work, electricity, magnetism, oscillations and waves."
Carleton,ECOR 1055,Introduction to Engineering Disciplines I, , ,"Overview of professional activities oriented to the student's discipline of study: Architectural Conservation and Sustainability. Civil and Environmental. Aerospace and Mechanical. Electrical. Engineering Physics. Computer Systems, Communications and Software. Biomedical (Electrical and Mechanical). Sustainable and Renewable Energy."
Carleton,ECOR 1056,Introduction to Engineering Disciplines II, , ,Selected lectures designed to provide students with exposure to the breadth of Engineering disciplines.
Carleton,ECOR 1057,Engineering Profession, , ,"Professional Engineers Act. Engineering documentation. History of the profession. Engineering practice: system life cycle, practice within the discipline, designing with others. Health and safety. Engineering Ethics, Equity and Diversity. Introduction to engineering law : Business, Entrepreneurship and Intellectual Property."
Carleton,ECOR 2050,Design and Analysis of Engineering Experiments, , ,"Statistics and the design of engineering experiments. Basic exploratory data analysis. Central limit theorem. Hypothesis testing: t-test, chi-square test, type-I and type-II errors, multiple-comparison problem.  Statistical bias.  Design of experiments: randomization, blocking and replication, randomized blocking designs, factorial design. Statistical software packages."
Carleton,ELEC 3605,Electrical Engineering, , ,"DC circuits: elements, sources, analysis. Single phase AC circuits: phasors, RLC circuits, real and reactive power, impedance, network analysis, three phase systems. Power transformers. DC motors: operation and characteristics. AC motors: single phase and three phase."
