School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
Concordia,ELEC 275,Principles of Electrical Engineering, , ,"Prerequisite: ENGR 213 previously or concurrently; PHYS 205. Fundamentals of electric circuits: Kirchoff’s laws, voltage and current sources, Ohm’s law, series and parallel circuits. Nodal and mesh analysis of DC circuits. Superposition theorem, Thevenin and Norton Equivalents. Use of operational amplifiers. Transient analysis of simple RC, RL and RLC circuits. Steady state analysis: Phasors and impedances, power and power factor. Single and three phase circuits. Magnetic circuits and transformers. Power generation and distribution. Lectures: three hours per week. Tutorial: two hours per week. Laboratory: 15 hours total."
Concordia,ENCS 282,Technical Writing and Communication, , ,"Prerequisite: Students must have satisfied the requirements in §71.20.7 by passing the Engineering Writing Test (EWT), or by passing ENCS 272 with a grade of C- or higher. Technical writing form and style. Technical and scientific papers, abstracts, reports. Library research and referencing methods for engineers and computer scientists. Technical communication using information technology: document processing software, computer-assisted presentation, analysis and design of web presentation, choice and use of appropriate tools. Students will prepare an individual major report and make an oral presentation. Lectures: three hours per week. Tutorial: two hours per week."
Concordia,ENGR 201,Professional Practice and Responsibility, , ,"Health and safety issues for engineering projects: Quebec and Canadian legislation; safe work practices; general laboratory safety common to all engineering disciplines, and specific laboratory safety pertaining to particular engineering disciplines. Review of the legal framework in Quebec, particularly the Professional Code and the Engineers Act, as well as professional ethics. Lectures: one and a half hours per week. Tutorial: one hour per week, alternate weeks."
Concordia,ENGR 202,Sustainable Development and Environmental Stewardship, , ,"Introduction to the concept of sustainable development and the approaches for achieving it. Relationships with economic, social, and technological development. Methods for evaluating sustainability of engineering projects, including utilization of relevant databases and software. Impact of engineering design and industrial development on the environment. Case studies. Lectures: one and a half hours per week."
Concordia,ENGR 213,Applied Ordinary Differential Equations, , ,"Prerequisite: MATH 204 (Cegep Mathematics 105) previously or concurrently; MATH 205 (Cegep Mathematics 203). This course introduces Engineering students to the theory and application of ordinary differential equations. Definition and terminology, initial-value problems, separable differential equations, linear equations, exact equations, solutions by substitution, linear models, orthogonal trajectories, complex numbers, form of complex numbers: powers and roots, theory: linear equations, homogeneous linear equations with constant coefficients, undetermined coefficients, variation of parameters, Cauchy-Euler equation, reduction of order, linear models: initial value, review of power series, power series solutions, theory, homogeneous linear systems, solution by diagonalisation, non-homogeneous linear systems. Eigenvalues and eigenvectors. Lectures: three hours per week. Tutorial: two hours per week."
Concordia,ENGR 233,Applied Advanced Calculus, , ,"Prerequisite: MATH 204 (Cegep Mathematics 105); MATH 205 (Cegep Mathematics 203). This course introduces Engineering students to the theory and application of advanced calculus. Functions of several variables, partial derivatives, total and exact differentials, approximations with differentials. Tangent plane and normal line to a surface, directional derivatives, gradient. Double and triple integrals. Polar, cylindrical, and spherical coordinates. Change of variables in double and triple integrals. Vector differential calculus; divergence, curl, curvature, line integrals, Green’s theorem, surface integrals, divergence theorem, applications of divergence theorem, Stokes’ theorem. Lectures: three hours per week. Tutorial: two hours per week."
Concordia,ENGR 301,Engineering Management Principles and Economics, , ,Introduction to project delivery systems. Principles of project management; role and activity of a manager; enterprise organizational charts; cost estimating; planning and control. Company finances; interest and time value of money; discounted cash flow; evaluation of projects in private and public sectors; depreciation methods; business tax regulations; decision tree; sensitivity analysis. Lectures: three hours per week. Tutorial: one hour per week.
Concordia,ENGR 371,Probability and Statistics in Engineering, , ,"Prerequisite: ENGR 213, 233. Axioms of probability theory. Events. Conditional probability. Bayes theorem. Random variables. Mathematical expectation. Discrete and continuous probability density functions. Transformation of variables. Probabilistic models, statistics, and elements of hypothesis testing (sampling distributions and interval estimation). Introduction to statistical quality control. Applications to engineering problems. Lectures: three hours per week. Tutorial: one hour per week."
Concordia,ENGR 391,Numerical Methods in Engineering, , ,"Prerequisite: ENGR 213, 233; COMP 248 or COEN 243 or MECH 215 or MIAE 215 or BCEE 231. This course focuses on roots of algebraic and transcendental equations; function approximation; numerical differentiation; numerical integration; solution of simultaneous algebraic equations; numerical integration of ordinary differential equations. Lectures: three hours per week. Tutorial: one hour per week."
Concordia,ENGR 392,Impact of Technology on Society, , ,"Prerequisite: ENCS 282; ENGR 201, 202. Social history of technology and of science including the industrial revolution and modern times. Engineering and scientific creativity, social and environmental problems created by uncontrolled technology, appropriate technology. Lectures: three hours per week."
Concordia,ENGR 242,Statics, , ,Prerequisite: ENGR 213 previously or concurrently; PHYS 204; MATH 204. Resultant of force systems; equilibrium of particles and rigid bodies; distributed forces; statically determinate systems; trusses; friction; moments of inertia; virtual work. Shear and bending moment diagrams. Lectures: three hours per week. Tutorial: two hours per week.
Concordia,ENGR 243,Dynamics, , ,"Prerequisite: ENGR 213, 242. Kinematics of a particle and rigid body; forces and accelerations; work and energy; impulse and momentum; dynamics of a system of particles and rigid bodies, introduction to vibrations. Lectures: three hours per week. Tutorial: two hours per week."
Concordia,ENGR 244,Mechanics of Materials, , ,"Prerequisite: ENGR 213; ENGR 242 or 245; ENGR 233 previously or concurrently. Mechanical behaviour of materials; stress; strain; shear and bending moment diagrams; introduction to inelastic action. Analysis and design of structural and machine elements subjected to axial, torsional, and flexural loadings. Combined stresses and stress transformation. Deflections. Introduction to elastic stability. Lectures: three hours per week. Tutorial: two hours per week. Laboratory: three hours per week, alternate weeks."
Concordia,ENGR 251,Thermodynamics I, , ,Prerequisite: MATH 203 (Cegep Mathematics 103). Basic principles of thermodynamics and their application to various systems composed of pure substances and their homogeneous non-reactive mixtures. Simple power production and utilization cycles. Lectures: three hours per week. Tutorial: two hours per week.
Concordia,ENGR 311,Transform Calculus and Partial Differential Equations, , ,"Prerequisite: ENGR 213, 233. Elements of complex variables. The Laplace transform: Laplace transforms and their properties, solution of linear differential equations with constant coefficients. Further theorems and their applications. The Fourier transform: orthogonal functions, expansion of a function in orthogonal functions, the Fourier series, the Fourier integral, the Fourier transform, the convolution theorem. Partial differential equations: physical foundations of partial differential equations, introduction to boundary value problems. Lectures: three hours per week. Tutorial: two hours per week."
Concordia,ENGR 361,Fluid Mechanics I, , ,"Prerequisite: ENGR 213, 233, 251. Basic concepts and principles of fluid mechanics. Classification of fluid flow. Hydrostatic forces on plane and curved surfaces, buoyancy and stability, fluids in rigid body motion. Mass, momentum, and energy conservation integral equations. Bernoulli equation. Basic concepts of pipe and duct flow. Introduction to Navier-Stokes equations. Similarity and model studies. Lectures: three hours per week. Tutorial: one hour per week."
Concordia,MECH 321,Properties and Failure of Materials, , ,"Prerequisite: MECH 221 or MIAE 221. This course covers the following topics: the service capabilities of alloys and their relationship to microstructure as produced by thermal and mechanical treatments; tensile and torsion tests; elements of dislocation theory; strengthening mechanisms; composite materials; modes of failure of materials; fracture, fatigue, wear, creep, corrosion, radiation damage; failure analysis; material codes; material selection for design. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks."
Concordia,MECH 343,Theory of Machines, , ,"Prerequisite: ENGR 213, 233, 243. Introduction to mechanisms; position and displacement; velocity; acceleration; synthesis of linkage; robotics; static force analysis; dynamic force analysis; forward kinematics and inverse kinematics; introduction to gear analysis and gear box design; kinematic analysis of spatial mechanisms. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks."
