School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
Lakehead,Mechanical Engineering 1112,Introduction to Engineering Design, , ,"Covers design techniques, creative thinking, teamwork, project planning, health and safety, reverse engineering, economic analysis, engineering drawings, ethics and professionalism, learning and problem solving."
Lakehead,Mechanical Engineering 1230,Statics, , ,"The fundamentals of statics, including the resolution and composition of forces, the equilibrium of force systems, the analysis of forces acting on structures and machines, centroids, and friction."
Lakehead,Mechanical Engineering 1233,Mechanics of Materials I, , ,Concepts of stress and strain; elasticity; Poisson's ratio; axial loading and deformation; thermal stresses; statically determinate and indeterminate problems; torsional stress and deformation; shear forces and bending moments; moment of inertia; bending and shearing stresses.
Lakehead,Mechanical Engineering 1553,Materials and Processes, , ,"Engineering materials; properties of materials, nature of metals and alloys, equilibrium diagrams, heat treatment, ferrous/nonferrous metals and alloys, nonmetallic materials. Measurement and quality assurance, processes in material removal, casting, forming, and joining, and processes and techniques related to manufacturing. Health and safety considerations for workers in manufacturing."
Lakehead,Mechanical Engineering 1731,Mechanical Engineering Drawing, , ,"Practical applications of drawing. Selected topics related to standardization, mechanisms, elementary machine design problems, and piping. Working drawings and checking procedure. Computer aided drafting (CAD) applications."
Lakehead,Mathematics 1071,Vectors and Matrices, , ,"For students without grade 12 U Calculus and Vectors or equivalent. Cartesian coordinates; vectors in two and three dimensions; the dot product and components of vectors; the cross product; equations of lines and planes; complex numbers; vector spaces over the real and complex number systems; linear independence, bases and spanning sets; subspaces; matrices; addition and scalar multiplication of matrices; matrix multiplication; the transpose of a matrix; invertible matrices; systems of linear equations and row reduction; and determinants, including Cramer's rule."
Lakehead,Mathematics 1210,Calculus I for Engineers, , ,Application of differentiation; definite and indefinite integrals; transcendental functions; complex numbers; techniques of integration.
Lakehead,Mechanical Engineering 1111,Dynamics I, , ,"Principles of dynamics and their application to engineering problems; particle and rigid body kinematics, Newton's laws of motion, kinetics of plane motion of rigid bodies, mass moments and products of inertia."
Lakehead,Mechanical Engineering 1533,Mechanics of Materials II, , ,"Transformation equations for plane stress and plane strain; principal and maximum shearing stresses and strains, Mohr's circle. Stresses in thin-walled pressure vessels. Combined loading problems. Beam deflection by integration, and super-position. Buckling; Euler's equation for columns, the secant formula and empirical column formulas. Strain rosette analysis."
Lakehead,Mechanical Engineering 1635,Fluid Mechanics, , ,"Properties of fluids. Fluid statics. Kinematics and kinetics of fluid flow. Dimensional analysis. Flow in pipes, open channels, and through porous media."
Lakehead,English 1015,Introduction to Academic Writing, , ,"An introduction to university-level standards of composition, revision, editing, research, and documentation. A review of English grammar (word and sentence level) and rhetorical forms (paragraph level and beyond), and a study of the methods and conventions of academic argumentation and research, with an emphasis on finding and evaluating sources, formulating research questions, developing arguments, and composing various types of analyses including academic essays."
Lakehead,Computer Science 1411,Computer Programming I, , ,"A first course in programming given in C - mathematical problem solving, program development, C grammar and simple system functions. Students will develop and write their own programs and run them in a time-sharing environment."
Lakehead,Mathematics 1230,Calculus II for Engineers, , ,"Applications of integration, introduction to multiple integrals sequences and series; power series."
Lakehead,Mechanical Engineering 2111,Dynamics II, , ,"This course is a continuation of Dynamics I. Topics of study include: particle and rigid body kinematics in three dimensions, kinetics of particles and rigid bodies in general motion, work-energy, linear and angular momentum principles."
