School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
Laurentian,CHMI 1006E,General Chemistry I, , ,"This course provides an introduction to the fundamental principles of chemistry. Topics include atomic and molecular structure, nuclear chemistry, stoichiometry, the periodic table and periodicity, and the properties of solutions. "
Laurentian,ENGR 1007E,Engineering Graphics and Design, , ,"This course develops abilities for three-dimensional visualization and introduces the standards employed in graphical communication and engineering design. Drawings are prepared by freehand sketching and commercial computer-aided drafting and design (CADD) programs. Drafting procedures and standards for major engineering disciplines are described and explained, including orthographic, sectional and pictorial views, dimensional, descriptive geometry, tolerances, working drawings and flowcharts. A group design project is conducted for student production of a 3-dimensional computer model of the design, in addition to a set of working drawings. (lec 2, lab 2) cr 3."
Laurentian,ENGR 1056E,Applied Mechanics I, , ,"Topics include statics of particles, rigid bodies, equilibrium, centroid and centre of gravity, structures and frames, friction, and second moment of area. (lec 3, tut 1) cr 3. Lecture (3.00)."
Laurentian,MATH 1036E,Calculus I, , ,"This is a problem-solving course which includes an extensive treatment of differential calculus and an introduction to integral calculus. Topics include limits, continuity, differentiation, standard functions, Taylor polynomial approximation, indeterminate forms and Hospital's rules, and practical applications. The course concludes with summation, integration, techniques of integration and the calculation of areas and volumes. "
Laurentian,PHYS 1006E,Introductory Physics I, , ,"This is the first of two courses in introductory physics. The course covers mechanics (dynamics and kinematics), vectors and energy, properties of matter, heat and thermodynamics, and waves. (lec 3, lab 3) cr 3. Students may not retain credit for both PHYS 1006 and PHYS 1206."
Laurentian,ENGR 1016E,Engineering Communications, , ,"This course offers an introduction to oral and written communication in engineering. The course requires the writing of memos, letters, proposals and engineering reports. Oral presentations are required. (lec 2, tut 3) cr 3. Lecture (3.00)."
Laurentian,ENGR 1017E,Computer Aided Design, , ,"Computer-aided design (CAD) is a tool that is central to modern Mechanical Engineering design practice. CAD involves the use of interactive computer graphics to create and analyse mechanical designs. Students will develop an understanding of CAD concepts through lectures, hands-on class assignments and a term project. Students will use a commercial CAD software package to put theory into practice. "
Laurentian,ENGR 1057E,Applied Mechanics II, , ,"Topics include kinematics and kinetics of particles, Newton's Second Law, work and energy, impulse and momentum, conservation of energy, conservation of angular momentum, systems of particles, and rotational kinematics of rigid bodies. "
Laurentian,MATH 1037E,Calculus II, , ,"This course begins with further techniques of integration, approximate integration, improper integrals and techniques for solving some simple first-order differential equations. This is followed by parametric and polar curves, and calculations of arc length, surface area and volume. Sequences, series, power series and Taylor series are then introduced. The course concludes with elementary aspects of functions of several variables. "
Laurentian,MATH 1057E,Linear Algebra I, , ,"Topics include simultaneous linear equations, matrices and determinants, vector spaces and linear transformations, eigenvalues and eigenvectors, applications to analytic geometry, and complex numbers. "
Laurentian,PHYS 1007E,Introductory Physics II, , ,"This is the second of two courses in introductory physics. The course covers geometrical optics, electricity and magnetism,  and modern physics. "
Laurentian,COSC 1046E,Computer Science 1, , ,"This course introduces problem analysis and structured program design. Control structures for conditional execution, repeated execution, subprograms and recursion are examined. Representation of information, including homogeneous and non-homogeneous linear data structures and files, is investigated. "
Laurentian,ENGR 2026E,Engineering Materials, , ,"This course introduces the mechanical, chemical, electrical and thermal properties of materials. It examines the structure and properties of metals and alloys, polymeric and refractory materials. (lec 3, lab 1.5) cr 3. Lecture (3.00)."
Laurentian,ENGR 2036E,Engineering Thermodynamics I, , ,"The basic concepts of engineering thermodynamics are introduced with their engineering applications in energy transformations and in the relation of energy to the state of matter. Fundamental laws, concepts and control mass and control volume analysis, which underlie all applications of energy conversion in engineering processes, are examined. "
Laurentian,ENGR 2076E,Mechanics and Strength of Materials I, , ,"This course is a study of stress, strain and stress-strain relations. Topics include mechanical properties of engineering materials; principal stresses (statically determinate and statically indeterminate members subjected to axial loads and torsion); shear force and bending moment diagrams; beam theory; eccentric loads; strain energy; pressure vessels; and failure theories. Laboratory experiments include tests for the evaluation of the mechanical properties of materials in tension, torsion, flexure, creep, impact and fatigue; and hardness tests and strain measurements. "
Laurentian,MATH 2066E,Introduction to Differential Equations, , ,"This course includes the treatment of first order differential equations, second order linear differential equations, higher order linear differential equations with constant coefficients, Taylor series solutions, and systems of first order linear DEs including matrix based methods. "
Laurentian,COSC 1047E,Computer Science II, , ,"This course takes a software engineering approach to programming with particular attention on modularity, abstract data types, program specification, testing, documentation and maintenance. Emphasis is placed on software with reusable software libraries. Other topics include file input and output, recursion, text processing, graphical user interfaces and object-oriented program design, including classes, inheritance, and polymorphism. The course also introduces data structures including abstract data types, collection classes, and programming with generic types. "
Laurentian,ENGR 2097E,Fluid Mechanics I, , ,"This course is a study of the properties of fluids, continuity, energy and momentum equations, pipe flow, flow measurement, open-channel flow, pumps, and compressors. "
Laurentian,ENGR 2506E,Dynamics, , ,"Topics include kinematics and kinetics of rigid bodies, forces and accelerations energy and momentum methods, principles of structural dynamics, and mechanical vibrations of one and two degrees of freedom. "
Laurentian,ENGR 2537E,Engineering Thermodynamics II, , ,"This course introduces some power and refrigeration cycles. It examines thermodynamic relations involving properties of state, thermodynamic properties of mixtures, P-V-T relations in gases and gaseous mixtures, equations of state, and properties of a system in equilibrium and their application to basic engineering processes. "
Laurentian,ENGR 2587E,Mechanics and Strength of Materials II, , ,"Topics include unsymmetrical and inelastic bending of beams; shear stresses in beams and shear centre; energy principles and virtual work; deflection of beams; statically indeterminate beams; buckling of columns; eccentrically loaded columns; introduction to design of beams and columns; and welded and bolted connections. Laboratory experiments include determination of principal stresses under combined loading, deflection of beams, unsymmetrical and inelastic bending, composite beams, buckling of columns and structural connections. "
