School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
McGill,CHEM 110,General Chemistry 1, , ,"Chemistry : A study of the fundamental principles of atomic structure, radiation and nuclear chemistry, valence theory, coordination chemistry, and the periodic table."
McGill,CHEM 120,General Chemistry 2, , ,Chemistry : A study of the fundamental principles of physical chemistry.
McGill,MATH 133,Linear Algebra and Geometry, , ,"Mathematics & Statistics (Sci) : Systems of linear equations, matrices, inverses, determinants; geometric vectors in three dimensions, dot product, cross product, lines and planes; introduction to vector spaces, linear dependence and independence, bases. Linear transformations. Eigenvalues and diagonalization."
McGill,MATH 140,Calculus 1, , ,"Mathematics & Statistics (Sci) : Review of functions and graphs. Limits, continuity, derivative. Differentiation of elementary functions. Antidifferentiation. Applications."
McGill,MATH 141,Calculus 2, , ,Mathematics & Statistics (Sci) : The definite integral. Techniques of integration. Applications. Introduction to sequences and series.
McGill,PHYS 131,Mechanics and Waves, , ,"Physics : The basic laws and principles of Newtonian mechanics; oscillations, waves, and wave optics."
McGill,PHYS 142,Electromagnetism and Optics, , ,Physics : The basic laws of electricity and magnetism; geometrical optics.
McGill,CCOM 206,Communication in Engineering, , ,"Communication (CCE) : Written and oral communication in Engineering (in English): strategies for generating, developing, organizing, and presenting ideas in a technical setting; problem-solving; communicating to different audiences; editing and revising; and public speaking. Course work based on academic, technical, and professional writing in engineering."
McGill,CIVE 207,Solid Mechanics, , ,"Civil Engineering : Stress-strain relationships; elastic and inelastic behaviour; performance criteria. Elementary and compound stress states, Mohr's circle. Shear strains, torsion. Bending and shear stresses in flexural members. Deflections of beams. Statically indeterminate systems under flexural and axial loads. Columns. Dynamic loading."
McGill,COMP 208,Computer Programming for Physical Sciences and Engineering, , ,"Computer Science (Sci) : Programming and problem solving in a high level computer language: variables, expressions, types, functions, conditionals, loops, objects and classes. Introduction to algorithms such as searching and sorting. Modular software design, libraries, file input and output, debugging. Emphasis on applications in Physical Sciences and Engineering, such as root finding, numerical integration, diffusion, Monte Carlo methods."
McGill,FACC 100,Introduction to the Engineering Profession, , ,Faculty Course : Introduction to engineering practice; rights and code of conduct for students; professional conduct and ethics; engineer's duty to society and the environment; sustainable development; occupational health and safety; overview of the engineering disciplines taught at McGill.
McGill,FACC 250,Responsibilities of the Professional Engineer, , ,"Faculty Course : A course designed to provide all Engineering students with further training regarding their responsibilities as future Professional Engineers. Particular focus will be placed on three professional characteristics that future engineers must demonstrate: i) professionalism, ii) ethical and equitable behaviour, and iii) consideration of the impact of engineering on society and the environment."
McGill,FACC 300,Engineering Economy, , ,"Faculty Course : Introduction to the basic concepts required for the economic assessment of engineering projects. Topics include: accounting methods, marginal analysis, cash flow and time value of money, taxation and depreciation, discounted cash flow analysis techniques, cost of capital, inflation, sensitivity and risk analysis, analysis of R and D, ongoing as well as new investment opportunities."
McGill,FACC 400,Engineering Professional Practice, , ,"Faculty Course : Laws, regulations and codes governing engineering professional practice. Responsibility and liability. Environmental legislation. Project and organization management. Relations between engineer and client. Technical practice - analysis, design, execution and operation."
McGill,MATH 262,Intermediate Calculus, , ,"Mathematics & Statistics (Sci) : Series and power series, including Taylor's theorem. Brief review of vector geometry. Vector functions and curves. Partial differentiation and differential calculus for vector valued functions. Unconstrained and constrained extremal problems. Multiple integrals including surface area and change of variables."
McGill,MATH 263,Ordinary Differential Equations for Engineers, , ,Mathematics & Statistics (Sci) : First order ODEs. Second and higher order linear ODEs. Series solutions at ordinary and regular singular points. Laplace transforms. Linear systems of differential equations with a short review of linear algebra.
McGill,MATH 264,Advanced Calculus for Engineers, , ,"Mathematics & Statistics (Sci) : Review of multiple integrals. Differential and integral calculus of vector fields including the theorems of Gauss, Green, and Stokes. Introduction to partial differential equations, separation of variables, Sturm-Liouville problems, and Fourier series."
McGill,MATH 271,Linear Algebra and Partial Differential Equations, , ,Mathematics & Statistics (Sci) : Applied Linear Algebra. Linear Systems of Ordinary Differential Equations. Power Series Solutions. Partial Differential Equations. Sturm-Liouville Theory and Applications. Fourier Transforms.
McGill,MECH 201,Introduction to Mechanical Engineering, , ,Mechanical Engineering : The practice of Mechanical Engineering: its scope and context. The role of Design. Introduction to the Design process. The role of engineering analysis and socio-economic factors in Design. Introduction to the individual mechanical engineering subjects and their role in Design. Case studies.
McGill,MECH 210,Mechanics 1, , ,"Mechanical Engineering : Static equilibrium of particles and rigid bodies. Beams, trusses, frames and machines. Concept of work and energy. Static equilibrium and stability."
McGill,MECH 220,Mechanics 2, , ,Mechanical Engineering : Kinematics of particles and rigid bodies. Particle dynamics: force-momentum and work-energy approaches. Kinematics and kinetics of rigid bodies.
McGill,MECH 240,Thermodynamics 1, , ,"Mechanical Engineering : Thermodynamic systems and properties. First law of thermodynamics: energy, work and heat. State principle, p-v-T surfaces, phase equilibrium, ideal gas model. Second law of thermodynamics, entropy, exergy analysis. Energy analysis applied to steady and transient engineering systems including heat engines, refrigerators and heat pumps, air compressors."
McGill,MECH 262,Statistics and Measurement Laboratory, , ,"Mechanical Engineering : Introduction to probability: conditional probability, binomial and Poisson distributions, random variables, laws of large numbers. Statistical analysis associated with measurements; regression and correlation. Basic experimental laboratory techniques, including the measurement of strain, pressure, force, position, and temperature."
McGill,MECH 290,Design Graphics for Mechanical Engineering, , ,"Mechanical Engineering : The design process, including free-hand sketching; from geometry construction to manufacturing drawings; the technology and standards of engineering graphic communication; designing with CAD software. The role of visualization in the production of mechanical engineering designs."
McGill,MECH 292,Design 1: Conceptual Design, , ,"Mechanical Engineering : Introduction to design. Problem formulation, idea generation, feasibility study, preliminary design, design, analysis, design evaluation, project management, and optimal design."
McGill,MECH 309,Numerical Methods in Mechanical Engineering, , ,"Mechanical Engineering : Numerical techniques for problems commonly encountered in Mechanical Engineering are presented. Chebyshev interpolation, quadrature, roots of equations in one or more variables, matrices, curve fitting, splines and ordinary differential equations. The emphasis is on the analysis and understanding of the problem rather than the details of the actual numerical program."
McGill,MECH 321,Mechanics of Deformable Solids, , ,Mechanical Engineering : Modern phenomenological theories of the behaviour of engineering materials. Stress and strain concepts and introduction to constitutive theory. Applications of theory of elasticity and thermoelasticity. Introduction to finite element stress analysis methods.
McGill,MECH 331,Fluid Mechanics 1, , ,"Mechanical Engineering : Physical properties of fluids. Kinematics and dynamics of fluid flow: stress in a continuum, rates of strain, rotation. Control volume analysis; conservation of mass, linear momentum and energy; Euler and Bernoulli equations; Flow measurement. Dimensional analysis and dynamical similarity. Laminar and turbulent flow in pipes and boundary layers."
McGill,MECH 341,Thermodynamics 2, , ,"Mechanical Engineering : Generalized thermodynamics relations. Real gas effects, gas tables, dense gas equations of state and generalized compressibility, enthalpy, and entropy charts. Vapour and gas power cycles (coal/nuclear power plants). Refrigerators and heat pumps. Psychrometry and air conditioning processes. Thermodynamics of reactive gas mixtures."
McGill,MECH 346,Heat Transfer, , ,"Mechanical Engineering : Basic concepts and overview. Steady and unsteady heat conduction. Fin Theory. Convective heat transfer: governing equations; dimensionless parameters; analogy between momentum and heat transfer. Design correlations for forced, natural, and mixed convection. Heat exchangers. Radiative heat transfer: black- and gray-body radiation; shape factors; enclosure theory. Thermal engineering design project."
McGill,MECH 360,Principles of Manufacturing, , ,"Mechanical Engineering : Theory and practice of modern manufacturing processes: machining, forming, and casting. Producing parts using computer assisted tools from CAD to CNC machining followed by measurement of part quality. Hands-on machining of parts."
McGill,MECH 362,Mechanical Laboratory 1, , ,"Mechanical Engineering : Experiments will be performed in four areas: MECH 240 Thermodynamics, MECH 315 Vibrations, MECH 331 Fluid Mechanics 1, and MECH 346 Heat Transfer. Students should sign up to do experiments in one or more areas the term following the completion of one or more of the above courses. Students will not formally register for this course until the term in which they will complete all of the experiments."
McGill,MECH 383,Applied Electronics and Instrumentation, , ,"Mechanical Engineering : Discrete and integrated components, both analogue and digital. Characteristics of passive elements. Semiconductors, amplifiers, filters, oscillators, modulators, power supplies and nonlinear devices. Introduction to digital electronics. Transducer/signal conditioner interfacing considerations."
McGill,MECH 403D1,Thesis (Honours), , ,"Mechanical Engineering : This course, together with MECH 404, involves a research project containing both engineering theory and design components, and requiring a theoretical and/or experimental investigation. Students are supervised by the course instructor and mentored by one or more staff members. The work culminates with the submission of a thesis."
McGill,MECH 403D2,Thesis (Honours), , ,Mechanical Engineering : See MECH 403D1 for course description.
McGill,MECH 404,Honours Thesis 2, , ,Mechanical Engineering : This course is part of the same thesis project as course MECH 403.
McGill,MECH 419,Advanced Mechanics of Systems, , ,"Mechanical Engineering : Lagrange's equations of motion. Hamilton's principle. Variational methods. Discrete linear systems: analytical and numerical methods. Distributed parameter systems: exact solutions and discretization techniques. Electrical-mechanical-acoustical analogies. Stability of systems. Nonlinear dynamics: phase-plane, perturbation and other methods of solution."
