School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
Memorial University,CHEM 1050,General Chemistry I, , ,builds on basic chemistry concepts from high school. Topics include gases; thermochemistry; atomic structure; periodic properties; chemical bonding including valence bond theory; hybridization and introduction to molecular orbital theory; properties of liquids and solids.
Memorial University,ENGI 1010,Engineering Statics, , ,"is the first course in Engineering mechanics. Forces and moments are described with vector algebra, leading to a description of the equilibrium conditions for particles and solid bodies. The importance of free body diagrams is highlighted. This knowledge is then applied to the analysis of trusses, frames and machines. Additional topics include an examination of friction and the concepts of centre of force, centroids and second moments of area."
Memorial University,ENGI 1020,Introduction to Programming, , ,"is an introduction to algorithmic problem solving techniques and computer programming, including basic program control structures (sequence, call, branch, loop) and data representations, functional decomposition, and design by contract. Exercises and examples are drawn from a variety of engineering disciplines and are implemented using a standard modern programming language."
Memorial University,ENGI 1030,Engineering Graphics and Design, , ,"provides two complementary competencies. Firstly, it provides an introduction to the fundamentals of graphic communication, including orthographic projections, three dimensional pictorials, sectioning and dimensioning. Both sketching and CAD are utilized. Secondly, the course introduces students to standard design methodologies. The graphics and design competencies are reinforced through lab and project exercises."
Memorial University,ENGI 1040,Mechanisms and Electric Circuits, , ,"is offered in two serial modules, including laboratory and workshop practice, and a team project to expose students to the concept of system integration involving electrical and mechanical systems. The electrical module provides an introduction to dc circuits, with an analysis of dc circuits used in control, measurement and instrumentation systems. The mechanism module provides an introduction to machine components such as belts, pulleys, gears, and simple linkages. The laboratory and workshop component introduces students to hands-on practice in basic laboratory instruments, tools and safety procedures. A team project involves the construction, assembly and testing of a simple mechanism."
Memorial University,MATH 1000,Calculus I, , ,"is an introduction to differential calculus, including algebraic, trigonometric, exponential, logarithmic, inverse trigonometric and hyperbolic functions. Applications include kinematics, related rates problems, curve sketching and optimization."
Memorial University,MATH 1001,Calculus II, , ,"is an introduction to integral calculus, including Riemann sums, techniques of integration and improper integrals. Applications include exponential growth and decay, areas between curves and volumes of solids of revolution."
Memorial University,MATH 2050,Linear Algebra I, , ,"includes the topics: Euclidean n-space, vector operations in 2- and 3-space, complex numbers, linear transformations on n-space, matrices, determinants, and systems of linear equations."
Memorial University,PHYS 1050,General Physics I: Mechanics, , ,"is a calculus-based introduction to mechanics. The course emphasizes problem solving, beginning with a review of vectors and one-dimensional kinematics. The main part of the course covers motion in two dimensions, forces and Newton's Laws, energy, momentum, rotational motion and torque, and finally oscillations. For details regarding recommendations for students taking PHYS 1050, see Note 4 under Physics and Physical Oceanography."
Memorial University,PHYS 1051,"General Physics II: Oscillations, Waves, Electromagnetism", , ,"is a calculus-based introduction to oscillations, wave motion, and electromagnetism. Topics include: simple harmonic motion; travelling waves, sound waves, and standing waves; electric fields and potentials; magnetic forces and fields; electric current and resistance; and electromagnetic waves."
Memorial University,ENGI 200W,Work Term Preparation and Professional Development, , ,"introduces the Co-operative Education process and professional development, and prepares the student for work terms. This course is designed to assist students to apply for, interview and obtain the first work term, as well as to be prepared for a professional work environment. It is a one semester course offered during the Fall and Winter semesters of Engineering One, prior to a student's first work term competition. This course is graded PAS or FAL."
Memorial University,ENGI 3101,Engineering Professionalism I, , ,"examines issues associated with professional engineering practice and with functioning effectively in the workplace. Topics include communication, workplace and professional ethics, information literacy, equity, gender, diversity, and occupational health and safety (including first-aid). This is a writing-intensive course with a critically-reflective component. Current accreditation graduate attributes are introduced for further development throughout the program."
Memorial University,ENGI 3424,Engineering Mathematics, , ,"includes ordinary differential equations of first order and first degree; linear ordinary differential equations of higher order, methods of undetermined coefficients and variation of parameters; applications to electric circuits and mass-spring systems; Laplace transforms; partial differentiation; convergence of series; Taylor and binomial series; remainder term; and an introduction to Fourier series."
Memorial University,ME 3101,Chemistry and Physics of Engineering Materials I, , ,"(same as the former ENGI 3911) is an introduction to the structure and properties of engineering materials, in particular materials, semiconductors, ceramics, glasses and polymers. Topics include a review of atomic bonding, discussion of basic crystalline and amorphous structures, point and line defects, and the role these structural features play in elastic and plastic deformations, yield, fracture, glass transition, thermal conductivity, thermal expansion, specific heat and electrical conductivity."
Memorial University,ME 3102,Production Technology, , ,"(same as the former ENGI 3941) includes an overview of production: production strategies; dimensioning and tolerancing; basic material removal process; forming and shaping process; casting; molding, extrusion and joining processes; computer aided machining; new technologies; design for manufacture."
Memorial University,ME 3301,Dynamics, , ,"(same as the former ENGI 3934) includes kinematics and kinetics of particles using rectangular, normal/tangential and polar coordinates; relative motion using rotating axes; two-dimensional kinematics and kinetics of rigid bodies; force-acceleration, work-energy and impulse-momentum methods."
Memorial University,ME 3401,Thermodynamics I, , ,"(same as the former ENGI 3901) is a macroscopic approach to heat, work, and energy; properties of pure substances; conservation of mass, energy for open and closed systems; thermal efficiency and coefficient of performance; second law of thermodynamics; and its corollaries; entropy; second law analysis of thermodynamic systems; second law efficiency; and an introduction to simple thermodynamic cycles."
Memorial University,ENGI 001W,Engineering Work Term 1, , ,"provides opportunity for an introductory experience in an engineering work environment. Students are expected to learn, develop and practise the basic standards of behaviour, discipline and performance normally found in a professional work environment. They are expected to learn the basics of technical writing and to become familiar with the various communications tools used in an engineering work environment."
Memorial University,ENGI 002W,Engineering Work Term 2, , ,"requires students, under supervision, to contribute positively to the engineering and problem solving processes practised in the work environment. They are expected to set objectives, take direction, work independently as required, learn professional behaviours, and function as effective team members. An ability to investigate work-related concepts should be demonstrated. Students should become better familiarized with the use of engineering tools, data analysis, prioritization of assignments, and effective communication of technical information."
Memorial University,ENGI 4430,Advanced Calculus for Engineering, , ,"iincludes parametric vector functions; polar curves; gradient, divergence and curl; multiple integration; vector calculus, theorems of Green, Stokes and Gauss; an introduction to partial differential equations; and application of advanced calculus to relevant engineering problems."
Memorial University,ME 4302,Mechanisms and Machines, , ,"(same as the former ENGI 4932) includes an overview of mechanisms within machines; analytical and computer-aided methods for position, velocity, and acceleration analysis of moving mechanisms; power transmission; kinematics and kinetics of planar mechanisms; static and dynamic loads on mechanisms and an introduction to mechanism synthesis. Students will complete an analysis project."
Memorial University,ME 4402,Thermodynamics II, , ,"(same as the former ENGI 4901) examines thermodynamic cycles: power and refrigeration applications; human comfort and air conditioning: mixture of gases and vapours, humidity, psychrometrics; chemically reacting mixtures and combustion; exergy analysis."
Memorial University,ME 4501,Fluid Mechanics I, , ,"(same as the former ENGI 4961, the former ENGI 5961) examines fluid statics; fluid flow phenomena; control volume analysis; conservation of mass, momentum, and energy; Bernoulli equation; head losses, applications of conservation laws: flow measurement devices; pipe networks; momentum devices, dimensional analysis, boundary layer phenomena, lift and drag."
Memorial University,ME 4601,Mechanics of Solids I, , ,"(same as the former ENGI 4934) examines stress and strain analysis applied to bars and beams in axial, torsion and bending; beam deflection, plane stress and strain, stress and strain transformations in two dimensions and Mohr's circle."
Memorial University,ENGI 003W,Engineering Work Term 3, , ,"requires greater participation in the students' engineering discipline. They become more experienced and proficient in problem solving and use of appropriate design processes. They should demonstrate speed and accuracy in their work, accept greater responsibility and be able to function with less direct supervision. Good judgement, increased initiative and improved analytical skills are expected to develop at this stage. Students should better appreciate the attitudes, responsibilities, and ethics expected of engineers."
Memorial University,ENGI 4421,Probability and Statistics, , ,"includes probability, probability distributions, probability densities, sampling distribution, hypothesis testing, regression and correlation."
Memorial University,ME 5103,Chemistry and Physics of Engineering Materials II, , ,"(same as the former ENGI 5911) examines aspects of chemical and physical processes and microscopic structure relevant to the production and use of engineering materials, focussing on metals, alloys, silicates, Portland cement, plastics and adhesives, composites, and wood. Topics include solid-state solutions and compounds, alloy structures, phase diagrams, reaction rates, solid-state transformations, polymerization, oxidation and corrosion, hardness, creep, fatigue, fracture toughness and visco-elastic deformation."
Memorial University,ME 5201,Mechatronics I, , ,"(same as the former ENGI 5952) involves modelling of electro-mechanical systems and introduction to basic analog and digital electronic devices. Topics covered include lumped-parameter modelling of electro-mechanical systems, basic electronic components and semiconductors, introduction to op amps, digital logic and number systems, microcontroller technology and interfacing (switches, LEDs, steppers, solenoids, A/D and D/A conversion)."
Memorial University,ME 5502,Fluid Mechanics II, , ,"(same as the former ENGI 5962) examines differential analysis of fluid motion; conservation of mass: continuity equation; conservation of momentum: Navier-Stokes equations; conservation of energy; basic film lubrication theory, boundary layer flows; compressible flows."
Memorial University,ME 5602,Mechanics of Solids II, , ,"(same as the former ENGI 5931) examines stresses due to combined loads, asymmetric bending, transformation of stresses and strains, principal stresses and strains (in two and three dimensions), static failure theories, stress concentration, energy methods, method of superposition, buckling of columns, thin- and thick-walled pressure vessels and contact stresses."
Memorial University,ENGI 004W,Engineering Work Term 4, , ,"requires students to engage in complex facets of engineering. Participation in their selected engineering discipline is expected. Students should be able to contribute independently to design and/or problem solving processes, understand their responsibility to society and the environment, understand project management strategies, think critically, and use engineering tools appropriately. The level of responsibility should reflect their academic background and experience. Good teamwork skills are expected and leadership skills may be developed."
Memorial University,ME 6202,Control Systems I, , ,"(same as the former ENGI 6951) examines modeling, analysis and design of feedback control systems using classical controller design methods. Topics covered include linear system modelling using Laplace transforms, control system stability, time domain analysis - root locus design, frequency domain analysis - bode diagram and Nyquist design, PID Control."
Memorial University,ME 6303,Mechanical Vibrations, , ,"(same as the former ENGI 6933) examines single degree of freedom systems: free vibration, energy methods, response to harmonic excitation, response to arbitrary inputs, rotating unbalance, vibration isolation; two degree of freedom systems: natural frequencies and mode shapes, vibration absorption."
Memorial University,ME 6403,Heat Transfer I, , ,"(same as the former ENGI 6901) examines modes of heat transfer; conduction: steady 1-D conduction, thermal resistance, extended surfaces (fins), lumped capacitance analysis, 1-D transient conduction; convection: Newton's law of cooling, convection heat transfer coefficient, external boundary layer flows, internal flows; radiation: principles, properties, exchange factors, black body radiation, and enclosures, radiation shields."
