School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UAlberta,CHEM 103,Introductory University Chemistry I, , ,"Atoms and molecules, states of matter, chemistry of the elements. Prerequisite: Chemistry 30, or equivalent. Note: Restricted to Engineering students only. Other students who take this course will receive *3.0."
UAlberta,ENGG 100,Success in Engineering, , ,"An introduction to the Faculty of Engineering, the engineering profession, the skills required for academic success, and the fundamentals of leadership: study and life skills; time management and goal setting; interpersonal skills; career planning; engineering and society including elements of ethics, equity, concepts of sustainable development, environmental stewardship, and public safety."
UAlberta,ENGG 130,Engineering Mechanics, , ,Equilibrium of planar systems. Analysis of statically determinate trusses and frames. Friction. Centroids and centres of gravity. Forces and moments in beams. Second moments of area. Note: Students in all sections of this course will write a common final examination. Corequisite: MATH 100.
UAlberta,ENGL 199,English for Engineering Students, , ,"This course aims to develop the student's ability to provide effective written and oral information. It will focus on instruction in fundamental writing skills, including building effective sentences and paragraphs, and on learning to communicate clearly across a range of genres and media used in academic and professional contexts, including correspondence and presentations. Students will be introduced to the principles of information gathering, analysis, and citation. Note: Restricted to students in the Faculty of Engineering only."
UAlberta,MATH 100,Calculus I, , ,"Review of numbers, inequalities, functions, analytic geometry; limits, continuity; derivatives and applications, Taylor polynomials; log, exp, and inverse trig functions. Integration, fundamental theorem of calculus substitution, trapezoidal and Simpson's rules. Prerequisites: Mathematics 30-1 and Mathematics 31. Notes: (1) Credit can be obtained in at most one of MATH 100, 113, 114, 117, 134, 144, 154, or SCI 100. (2) Students in all sections of this course will write a common final examination. (3) Restricted to Engineering students. Non-Engineering students who take this course will receive *3.0."
UAlberta,PHYS 130,"Wave Motion, Optics, and Sound", , ,"Geometrical optics, optical instruments, oscillations, waves, sound, interference, diffraction. Prerequisites: Mathematics 30-1, Mathematics 31, Physics 30. Corequisite: MATH 100 or 113 or 114 or 117 or 134 or 144 or equivalent. Restricted to Engineering students. Other students who take this course will receive *3.0."
UAlberta,CHEM 105,Introductory University Chemistry II, , ,"Rates of reactions, thermodynamics and equilibrium, electrochemistry, modern applications of chemistry. Prerequisite: CHEM 103. Note: Restricted to Engineering students only. Other students who take this course will receive *3.0."
UAlberta,ENCMP 100,Computer Programming for Engineers, , ,"Fundamentals of computer programming with emphasis on solving engineering problems. Structure and syntax of computer programs, variables, data types, data structures, control structures, functions, input/output operations, debugging, software development process."
UAlberta,ENGG 160,"Introduction to Engineering Design, Communication, and Profession", , ,"Fundamental design process and theory in a multidisciplinary context. Importance, in engineering design, of communications; team work; the engineering disciplines, career fields; professional responsibilities of the engineer including elements of ethics, equity, concepts of sustainable development and environmental stewardship, public and worker safety and health considerations including the context of the Alberta Occupational Health and Safety Act. Corequisite ENGL 199. This course is delivered in a blended format."
UAlberta,EN PH 131,Mechanics, , ,"Kinematics and dynamics of particles; gravitation; work and energy; linear momentum; angular momentum; systems of particles; introduction to dynamics of rigid bodies. Prerequisites: MATH 100 or 117, and ENGG 130. Corequisite: MATH 101 or 118. Restricted to Engineering students. Other students who take this course will receive *3.0."
