School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UBC,APSC 100,Introduction to Engineering I, , ,"An introduction to the engineering profession including: roles and responsibilities of the engineer, the engineering disciplines, sustainability, an introduction to the engineering design process, introduction and application of the relevant foundational scientific principles, prototyping, engineering graphics, technical communication, and engineering ethics. This course is not eligible for Credit/D/Fail grading. [2-2-0]"
UBC,APSC 101,Introduction to Engineering II, , ,"An introduction to the engineering profession including: the engineering design process, sustainability, prototype testing, introduction and application of the relevant foundational scientific principles, team functioning, engineering graphics, and technical communication. This course is not eligible for Credit/D/Fail grading. [2-2-0] Prerequisite: APSC 100."
UBC,APSC 160,Introduction to Computation in Engineering Design, , ,"Analysis and simulation, laboratory data acquisition and processing, measurement interfaces, engineering tools, computer systems organization, programming languages. Credit will only be given for one of: APSC 160, CPSC 301, or EOSC 211. This course is not eligible for Credit/D/Fail grading. [3-2-0]"
UBC,CHEM 154,Chemistry for Engineering, , ,"Chemical bonding, properties of matter. Chemical thermodynamics with applications to phase equilibria, aqueous equilibria and electrochemistry. Processes at surfaces. [3-3*-0] Prerequisite: CHEM 12."
UBC,WRDS 150,Writing and Research in the Disciplines, , ,"Writing and reading in disciplines across the academy, focusing on practices that research disciplines share and those that differentiate them. This course is not eligible for Credit/D/Fail grading."
UBC,MATH 100,Differential Calculus with Applications to Physical Sciences and Engineering, , ,"Derivatives of elementary functions. Applications and modelling: graphing, optimization. Consult the Faculty of Science Credit Exclusion List: www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414. [3-0-0] Prerequisite: High-school calculus and a score of 80% or higher in BC Principles of Mathematics 12 or Pre-calculus 12."
UBC,MATH 101,Integral Calculus with Applications to Physical Sciences and Engineering, , ,"The definite integral, integration techniques, applications, modelling, infinite series. Please consult the Faculty of Science Credit Exclusion List: www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414. [3-0-0] Prerequisite: One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184."
UBC,MATH 152,Linear Systems, , ,"2D and 3D geometry, vectors and matrices, eigenvalues and vibration, physical applications. Laboratories demonstrate computer solutions of large systems. Please consult the Faculty of Science Credit Exclusion List: www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414. [3-1*-0] Corequisite: MATH 101."
UBC,PHYS 157,Introductory Physics for Engineers I, , ,"Heat, thermodynamics, oscillations, waves, and sound. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [3-0-1] Prerequisite: One of PHYS 12, PHYS 100. Corequisite: One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184."
UBC,PHYS 158,Introductory Physics for Engineers II, , ,"Electricity and magnetism, DC and AC circuits, optics. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [3-0-1] Prerequisite: PHYS 157. Corequisite: One of MATH 101, MATH 103, MATH 105, MATH 121."
UBC,PHYS 159,Introductory Physics Laboratory for Engineers, , ,"A laboratory course with emphasis on experimental design, measurement and analysis techniques. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414 [0-3-0] Prerequisite: One of PHYS 12, PHYS 100. Corequisite: One of PHYS 157, PHYS 158."
UBC,PHYS 170,Mechanics I, , ,"Statics of particles, equilibrium or rigid bodies, rigid body statics and internal forces, trusses; kinematics: rectilinear motion; dynamics:  Newton's second law, friction, impulse, momentum, work and energy.  Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414. [3-0-1] Prerequisite: One of PHYS 12, PHYS 100 and one of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184. Corequisite: One of MATH 101, MATH 103, MATH 105, MATH 121."
UBC,MATH 254,Multivariable and Vector Calculus for Mechanical Engineering, , ,"Partial differentiation, extreme values, multiple integration, vector fields, line and surface integrals, the divergence and Stokes' theorems; applications to fluid mechanics: buoyancy, hydrostatic force, pipe flow, drag; applications to thermodynamics: work, entropy, heat transfer; numerical methods. Emphasis on mechanical engineering applications. [3-0-1*] Prerequisite: MATH 101 and one of MATH 152, MATH 221, MATH 223. Corequisite: All of MECH 222, MECH 225."
UBC,MATH 258,Differential Equations for Mechanical Engineering, , ,"First-order equations; linear equations; linear systems; Laplace transforms; trajectory analysis of plane nonlinear systems; translational and rotational vibrations; applications to RLC circuit analysis; numerical and graphical methods. Emphasis on mechanical engineering applications. [3-0-1*] Prerequisite: MATH 101 and one of MATH 152, MATH 221, MATH 223. Corequisite: All of MECH 221, MECH 224."
UBC,MECH 220,Technical Skills Practicum, , ,"Engineering graphics, spatial visualization, CAD, equation solvers, machine shop practice, electronic circuit construction and troubleshooting, elements of engineering science. This course is not eligible for Credit/D/Fail grading. [1-3-3] Prerequisite: All of APSC 160, MATH 101, MATH 152, PHYS 158, PHYS 170 and one of APSC 100, APSC 150, APSC 151 and one of BMEG 102, PHYS 159 and one of APSC 176, ENGL 112, WRDS 150. Corequisite: MECH 221."
UBC,MECH 221,Engineering Science I, , ,"Rigid body kinetics and kinematics, basic electrical circuits, work and power, stress and strain, torsion, bending, engineering materials, probability and statistics. This course includes the content of ELEC 203. This course is not eligible for Credit/D/Fail grading. [11-2-1] Prerequisite: All of MATH 101, MATH 152, PHYS 158, PHYS 170 and one of BMEG 102, PHYS 159 and one of APSC 176, ENGL 112, WRDS 150. Corequisite: All of MECH 220, MECH 224."
UBC,MECH 222,Engineering Science II, , ,"Fluid properties, equations of state. Pressure, buoyancy, hydrostatic forces. Conservation of mass, momentum, and energy. Work and heat; internal energy and enthalpy. Bernoulli's equation. Dimensional analysis, modelling. Turbulent flow in pipes; turbomachinery. Second law and the Carnot cycle; entropy; first and second law analysis of systems. This course is not eligible for Credit/D/Fail grading. [5-2-1] Prerequisite: All of MECH 220, MECH 221. Corequisite: All of MECH 223, MECH 225."
UBC,MECH 223,Introduction to the Mechanical Design Process, , ,"Design methodology, synthesis and analysis. Design projects representing both mechanical mechanism design and thermofluid systems. This course is not eligible for Credit/D/Fail grading. [3-8-0] Prerequisite: All of MECH 220, MECH 221. Corequisite: MECH 222."
