School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UCalgary,Engineering 200,"Engineering Design, Innovation and Entrepreneurship", , ,"Introduction to agile and iterative design; interdisciplinary application of engineering principles, digital technology, design, communications, leadership, entrepreneurship and project management concepts to a team-based design project with a focus on sustainability and social licences."
UCalgary,Engineering 201,"Behaviour of Liquids, Gases and Solids", , ,"An introduction to the behaviour of fluids and solids; phase transformations, the phase rule and phase diagrams. Ideal and real gases; equations of state and their engineering applications; simple kinetic theory; transport properties of fluids. Liquid state; vapor pressure; shear behaviour; flow of fluids in pipelines. Solids; crystalline and non-crystalline structure; non-equilibrium solid phases; electrical and thermal conductivity; dislocations; stress and strain; creep; fracture."
UCalgary,Engineering 202,Engineering Statics, , ,"Force vectors; equilibrium of a particle in two and three dimensions; force system resultants; equilibrium of a rigid body in two and three dimensions; internal forces in trusses; frames, machines and beams; bending moment and shear force diagrams; friction; centre of gravity; centroids of areas; composite bodies."
UCalgary,Engineering 225,Fundamentals of Electrical Circuits and Machines, , ,"Current, voltage and power; Kirchhoff's current and voltage laws; capacitors; electricity and magnetism fundamentals applied to circuit elements and machines; inductors; topics in electrical circuits and systems; instrumentation; circuit design, DC and AC circuit analysis methods; DC and AC machines; first order circuits and transient analysis."
UCalgary,Digital Engineering 233,Programming with Data, , ,Fundamental programming constructs and data structures. Algorithm development and problem solving. Programming techniques to facilitate data analysis. Obtaining and cleaning data. Data validation. Data manipulation. Data visualization. Introduction to decision making using machine learning. Applications chosen from all engineering disciplines. 
UCalgary,Mathematics 275,Calculus for Engineers and Scientists, , ,"An extensive treatment of differential and integral calculus in a single variable, with an emphasis on applications. Differentiation: derivative laws, the mean value theorem, optimization, curve sketching and other applications. Integral calculus: the fundamental theorem of calculus, techniques of integration, improper integrals, and areas of planar regions. Infinite series: power series, Taylor's theorem and Taylor series. "
UCalgary,Mathematics 277,Multivariable Calculus for Engineers and Scientists, , ,"An introduction to calculus of several real variables: curves and parametrizations, partial differentiation, the chain rule, implicit functions; integration in two and three variables and applications; optimization and Lagrange multipliers. "
UCalgary,Mathematics 211,Linear Methods I, , ,"An introduction to systems of linear equations, vectors in Euclidean space and matrix algebra. Additional topics include linear transformations, determinants, complex numbers, eigenvalues, and applications. "
UCalgary,Physics 259,Electricity and Magnetism (for students in Engineering), , ,"Electric and magnetic fields related to charges and current through Maxwell's equations. Energy stored in fields, potential energy, and voltage. Conductors, insulators, and dielectrics. Resistance, capacitance, and inductance with applications to RC/RL circuits. "
UCalgary,Chemistry 209,General Chemistry for Engineers, , ,Basic chemical concepts. Atomic and molecular structure. Chemical bonding. Chemical kinetics and equilibria. Acid-base and solubility equilibria. Oxidation-reduction phenomena and electrochemistry. The chemistry of water. The chemistry of energy sources. Basic environmental issues.
UCalgary,Chemistry 379,Materials Chemistry for Engineers, , ,An introduction to materials chemistry with industrial applications. Theories of chemical bonding and the relationship between chemical structure and observable properties. Chemical and physical properties of mixtures and interfaces. Structure and applications of polymers and soft materials.  
UCalgary,Digital Engineering 319,"Probability, Statistics and Machine Learning", , ,"Presentation and description of data, introduction to probability theory, Bayes' theorem, discrete and continuous probability distributions, estimation, sampling distributions, tests of hypotheses on means, variances and proportions; Introduction to fundamental machine learning including linear regression, classification and correlation. Applications are chosen from engineering practice from all disciplines. Course Hours: Prerequisite(s): Antirequisite(s): Also known as: "
UCalgary,Digital Engineering 407,Computational Numerical Methods, , ,"Numerical computational procedures to solve engineering problems. Introduction to computational libraries that support matrix operations. Developing and implementing programs for: solution of linear and non-linear equations, curve fitting, solution of the algebraic eigenvalue problems, interpolation, differentiation, integration and solution of differential equations. The course will include the programming projects that address comprehensive engineering problems. Algorithm development and application labs. "
UCalgary,Engineering 311,Engineering Thermodynamics, , ,"Energy, thermodynamic systems, properties and state, temperature and the zeroth law, equilibrium, properties of the pure substance, equations of state. Work, reversibility, heat, first law, specific heats, enthalpy, ideal gas, flow systems. Entropy and the second law, Carnot cycle, thermodynamic temperature scale, process efficiencies, cycles, calculation of entropy change, exergy analysis."
UCalgary,Engineering 349,Dynamics, , ,"Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newton's 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics."
