School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UGuelph,CHEM*1040,General Chemistry I, , ,"This course introduces concepts of chemistry, the  central link between the physical and biological  sciences. Principles discussed include chemical  bonding, simple reactions and stoichiometry,  chemical equilibria and solution equilibria  (acids, bases, and buffers), and introductory  organic chemistry."
UGuelph,CIS*1500,Introduction to Programming, , ,"This course introduces problem-solving,  programming and data organization techniques  required for applications using a general purpose  programming language. Topics include control  structures, data representation and manipulation,  program logic, development and testing. This  course is intended for students who do not intend  to enroll in further CIS courses. If your degree  requires further CIS courses, CIS*1300, is  required."
UGuelph,ENGG*1100,Engineering and Design I, , ,"This course provides an introduction to  engineering and design. An overview of design  processes is covered and students experience a  defined, open-ended design project. Physical  design development is emphasized, supplemented by  elements of analysis. Engineering communications  emphasize the visual form and span engineering  drawings across a spectrum of engineering  disciplines (2D and 3D, realistic and symbolic).  Sketching and computer aided tools are both  developed. Written communications (individual and  team) focus on design. The practice of  professional engineering, ethical principles and  the engineer's role and obligations in society  are all introduced. The coursework is team-based  to reflect the practice of engineering and the  character of the School of Engineering."
UGuelph,MATH*1200,Calculus I, , ,"This is a theoretical course intended primarily  for students who expect to pursue further studies  in mathematics and its applications. Topics  include inequalities and absolute value; compound  angle formulas for trigonometric functions;  limits and continuity using rigorous definitions;  the derivative and derivative formulas (including  derivatives of trigonometric, exponential and  logarithmic functions); Fermat's theorem; Rolle's  theorem; the mean-value theorem; applications of  the derivative; Riemann sums; the definite  integral; the fundamental theorem of calculus;  applications of the definite integral; the mean  value theorem for integrals."
UGuelph,PHYS*1130,Physics with Applications, , ,"This is an introductory physics course for  engineering students. Topics include measurement  and error analysis, translational and rotational  kinematics and dynamics, simple harmonic motion,  waves, acoustics, and optics, with an emphasis on  relevant applications of these physical concepts.  The course will conclude with an introduction to  quantum phenomena."
UGuelph,ENGG*1210,Engineering Mechanics I, , ,"This course presents the fundamental principles  of Newtonian mechanics; distributed loading; free  body diagrams; rigid body equilibrium; structural  analysis; internal loading of structural members;  friction; dynamics of particles; linear and  angular momentum of rigid bodies; conservation of  energy; principles of impulse and momentum, and  plane motion of rigid bodies."
UGuelph,ENGG*1500,Engineering Analysis, , ,"This course deals with engineering applications  of matrix algebra, vector spaces and computer  techniques to solve linear systems. Topics  include theory and applications of linear  transformations, eigenvalues and eigenvectors,  diagonalization, complex-variable algebra, and  multi-variable functions."
UGuelph,MATH*1210,Calculus II, , ,"This course is a continuation of MATH*1200. It is  a theoretical course intended primarily for  students who need or expect to pursue further  studies in mathematics, physics, chemistry,  engineering and computer science. Topics include  inverse functions, inverse trigonometric  functions, hyperbolic functions, indeterminate  forms and l'Hopital's rule, techniques of  integration, parametric equations, polar  coordinates, Taylor and Maclaurin series;  functions of two or more variables, partial  derivatives, and if time permits, an introduction  to multiple integration."
UGuelph,PHYS*1010,Introductory Electricity and Magnetism, , ,"This is a course for engineering and physical  science students on the phenomena of  electromagnetism and introductory DC circuit  analysis. Topics include electric charges and  fields, electric potential and current, electric  resistance, capacitance, inductance, magnetic  fields, electric circuits, Ohm's Law, and  application of Kirchhoff's Laws to node and mesh  analysis of DC circuits. The course will conclude  with an introduction to AC circuits."
UGuelph,ENGG*1070,Occupational Health and Safety, , ,"This course presents the legal implications of  occupational health and safety as expressed in  the Environmental and Occupational Health and  Safety Act, and exposes students to methodologies  designed to ensure compliance with the Act. The  course stresses safety initiatives and deals with  specific safety issues such as noise levels,  biosafety, hazardous waste management, safety in  the workplace, radiation safety and industrial  safety."
