School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UManitoba,ENG 3000,Engineering Economics, , ,"This course offers an introduction to the economic aspects of the engineering discipline. It covers applied economic concepts such as: time value of money, taxation in cash flows, breakeven points, inflation of goods, cost/benefit ratios, income and depreciation, and general microeconomic concepts. The focus includes analysis techniques such as: cash flow analysis, cost-based analysis, rate of return analysis, sensitivity analysis, replacement analysis, and risk mitigation. Concepts are introduced in the context of sustainability and project management fundamentals in a professional practice setting. May not be held with CIVL 4050."
UManitoba,ENG 3020,"Technology, Society and the Future", , ,"Impact of technology and technological change on society-past, present, future; specific technologies, e.g. construction. machine power, computers, communications, medical, military: the process of technological change; invisible effects of technology; technology and resource use; sustainable development, limits to growth and the role of technology. May not be held with CIVL 4460 or ANTH 2430."
UManitoba,ECE 3010,Elements of Electric Machines and Digital Systems, , ,"(Lab required) Introduction to elementary concepts in ac circuits, electric machines, and digital sub-systems. Topics include electrical impedance, capacitors, inductors, electric motors, logic gates, decoders, multiplexing, flip flops, registers, microprocessor structures, I/O and data acquisition. Not available to students in Electrical or Computer Engineering."
UManitoba,ENG 2030,Engineering Communication: Strategies for the Profession, , ,"Students work in a team-based environment to produce deliverables comparable to the engineering workplace. In-class tutorials focus on the sharpening of individual students' writing skills through an analytical, problem-solving and critical thinking approach. Students are exposed to a variety of communicative scenarios and emphasis is placed on development of a repertoire of skills necessary for effective communication in the engineering profession. Not to be held with the former ENG 2010."
UManitoba,ENG 2040,"Engineering Communication: Strategies, Practice and Design", , ,"This team-based course focuses on a rhetorical approach, communication strategies and guided practice in the design of engineering communications. May not be held with the former ENG 2010."
UManitoba,MATH 2130,Engineering Mathematical Analysis 1, , ,"(Lab required) Multivariable differential and integral calculus up to and including multiple integrals in cylindrical and spherical coordinates. This course is intended for students in Engineering and Geophysics programs. May not be held for credit with MATH 2150, MATH 2151, MATH 2720, MATH 2721, the former MATH 2110, or the former MATH 2750."
UManitoba,MATH 2132,Engineering Mathematical Analysis 2, , ,"(Lab required) Infinite series, Taylor and Maclaurin Series; ordinary differential equations including Laplace transforms. This course is intended for students in Engineering and Geophysics programs. May not be held for credit with the former MATH 2100, the former MATH 2730, the former MATH 2731, the former MATH 2800, or the former MATH 2801."
UManitoba,MATH 3132,Engineering Mathematical Analysis 3, , ,"(Lab required) Vector integral calculus; series of Ordinary differential equations; Fourier series and Partial differential equations. This course is intended for students in Engineering and Geophysics programs. May not be held with former MATH 3100, the former MATH 3740, or the former MATH 3800."
UManitoba,MECH 2112,Fundamentals of Mechanical and Computer Aided Design, , ,"(Lab required) Provide instruction on the application of computer aided design software packages. The students will work in groups in the design and development of a product using CAD packages and digital fabrication technologies. May not be held for credit with CIVL 2830, the former ENG 2020, ENG 2022, MECH 2010, or MECH 2012."
UManitoba,MECH 2150,Mechanical Engineering Modelling and Numerical Methods, , ,"(Lab required) A case-study-based introduction to modelling and numerical methods with mechanical engineering applications. Selected problems, primarily from second and third year mechanical engineering course material, will be used to teach modelling. Derivation and application of appropriate numerical methods will be performed to solve the case study problems using a hands-on approach. A high level computer language and accompanying toolkit/built-in functions will be introduced for solution of the cases. May not be held for credit with MATH 2120."
