School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UNewBrunswick,CHE2501,General Materials Science, , ,"Principles relating the properties and behaviour of engineering materials to their structure; atomic bonding forces and strength of interatomic and intermolecular bonding forces, atomic arrangements in solids, structural imperfections and atom movements in solids; principles of phase diagrams and their application to multiphase materials, with particular reference to the iron-carbon system; mechanical and electrical properties of engineering material; semiconductors, polymers and ceramics; and their relation to internal structure."
UNewBrunswick,CHE2506,Materials Science Laboratory, , ,Laboratory experiments are conducted to illustrate behaviour of materials and other concepts covered in CHE 2501.
UNewBrunswick,CHEM1982,General Applied Chemistry, , ,"Intended primarily for non-science majors. Building on examples from environmental chemistry, polymers, fuel cells and corrosion, this course covers chemical material properties, solutions & solubility, kinetics & equilibrium, acids & bases, thermodynamics and electrochemistry. NOTE: Credit can be obtained for only one of CHEM 1012 or CHEM 1982."
UNewBrunswick,CHEM1987,General Applied Chemistry Laboratory, , ,"Intended primarily for non-science majors students. Topics include: ideal gases, heats and rates of reactions, chemical equilibria, acid-base equilibria, redox titrations, and voltaic cells. NOTE: WHMIS certification required (see beginning of Chemistry Courses section for details). NOTE: Credit can be obtained for only one of CHEM 1017 or CHEM 1987."
UNewBrunswick,CS1003,Programming and Problem Solving for Engineers, , ,"Introduction to the use of digital computers for problem solving and communicating solutions. Covers use of procedures, decisions, loops and arrays focusing on scientific and engineering problem analysis, algorithm design, and program structure. Also includes organizing, tabulating, and graphing program output with different software tools to communicate results. This course is currently taught primarily in Python. NOTE: This course is not intended for BCS or BScSwE students."
UNewBrunswick,CS3113,Introduction to Numerical Methods, , ,"Intended for Computer Science and Engineering students. Error analysis, convergence and stability. Approximation of functions by polynomials. Numerical quadrature and differentiation. The solution of linear and non-linear equations and the solution of ordinary differential equations. This course will emphasize the understanding of numerical algorithms and stress applications in the applied sciences, as well as the influence of finite precision and arithmetic on computational results. Credit will be given for only one of CS 3113 or MATH 3413 or ECE 2412."
UNewBrunswick,MATH3413,Introduction to Numerical Methods, , ,"Intended for Mathematics, Science or Engineering students. Error analysis, convergence and stability. Approximation of functions by polynomials. Numerical quadrature and differentiation. The solution of linear and nonlinear equations and the solution of ordinary differential equations. This course will emphasize the understanding of numerical algorithms and stress applications in the applied sciences, as well as the influence of finite precision and arithmetic on computational results. Credit will not be given for both MATH 3413 and CS 3113."
UNewBrunswick,ECE1813,Electricity and Magnetism, , ,"An introduction to the fundamentals of electricity and magnetism and applications. Covers concepts of charge, electric fields, voltage, current, power, energy, magnetic fields and the link between electricity and magnetism for the creation of machines. Includes resistors, resistance, Ohm's law, Kirchoff's voltage and current laws, some electrical properties of materials. Electric sources, simple series, parallel, and series-parallel DC circuits and mesh analysis are examined. Energy conversion and simple electric machines are examined. The behaviour and use of common sensors and transducers are discussed."
UNewBrunswick,ECE2683,Electric Circuits and Machines (for non-electricals), , ,"Network analysis including AC. Introduction to transformers, DC machines and AC machines. Cannot be used for credit by students in the Electrical Engineering and Computer Engineering programs."
UNewBrunswick,ECE2701,Electric Circuits and Electronics (for non-electricals), , ,"Network analysis including AC. Introduction to electronic devices, circuits, and motors. Cannot be used for credit by students in the Electrical Engineering and Computer Engineering programs."
UNewBrunswick,ECE2711,Electric Circuits, , ,"Basic DC circuits: Network analysis and theorems. AC circuits: introduction of phasors, Network analysis and theorems applied to AC circuits."
UNewBrunswick,ENGG1001,Engineering Practice Lecture Series, , ,A guest lecture series intended to introduce students to the engineering profession. Speakers from various engineering disciplines and job functions share their career experiences and discuss exciting engineering projects underway in the region.
UNewBrunswick,ENGG1003,Engineering Technical Communications, , ,"Oral, written and visual communication skills are developed as important tools used by engineers. Technical writing style is taught through the preparation of reports and summaries, and oral communication skills are improved through public speaking and the preparation of formal presentations. Computer-aided design is introduced and used to enhance visualization skills. The importance of information literacy is stressed. Various types of engineering drawings are presented and engineering unit conversions are practiced."
UNewBrunswick,ENGG1015,Introduction to Engineering Design and Problem Solving, , ,"This course introduces engineering design methodology and develops basic problem solving techniques. Under the supervision of senior students and with the guidance of industry engineers, students work both individually and in teams on real engineering design projects for the local community in a simulated engineering consulting environment. Project planning, team- building, leadership and responsible care are discussed. Laboratories are used to demonstrate problem solving techniques for analytical and open-ended problems, and life-long learning is emphasized by having students integrate co-requisite and researched material into a structured design process. Restricted to students with fewer than 60 ch of program credit upon first admission to the Faculty of Engineering or with permission of the instructor."
