School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
UOttawa,CHM 1311,Principles of Chemistry, , ,"Chemical bonding, molecular geometry, chemical equations and quantitative relations, gas, liquids and solids, solutions, redox reactions,  electrochemistry, kinetics and equilibrium,  ionic equilibria, acids and bases in solution, pH. Courses CHM 1311, CHM 1301 cannot be combined for units. Previously CHM 1310."
UOttawa,ENG 1112,Technical Report Writing, , ,"Practice in the writing of technical reports. Topics include exposition, argumentation, presentation of technical data, and effective communication. Frequent written exercises and development of composition skills. Use of Writing Centre resources required outside regular class hours."
UOttawa,GNG 1103,Engineering Design, , ,"A hands-on, team-based introduction to engineering design for engineers and computer scientists. Topics include design thinking, engineering design process, prototyping, engineering economics, safety, ethics and project management."
UOttawa,GNG 1105,Engineering Mechanics, , ,"Concepts of engineering mechanics. Statics of particles and rigid bodies. Free body diagrams. Simple structures, including trusses, frames and machines. Rectilinear and curvilinear motion."
UOttawa,GNG 1106,Fundamentals of Engineering Computation, , ,Introduction to computer systems. Problem solving for engineering case studies. Emphasis is on the design of algorithms and their implementation for solving engineering problems using C.  Introduction to Visual Basic.
UOttawa,MAT 1320,Calculus I, , ,"Intuitive definition of limits; continuity, statement of intermediate value theorem.  Quick review of basic derivative formulas: products, chain rule, exponentials, and trigonometric functions. Derivatives of quotients, logarithms, inverse trigonometric functions. Finite difference approximations of derivatives. Analysis of functions via the first and the second derivatives; statements of extreme and mean value theorems.  L'Hospital's rule. Implicit differentiation, related rates, optimization, linear approximation, Newton s method. The definite integral and the fundamental theorem of calculus. Antiderivatives of elementary functions, techniques of integration (integration by parts, substitutions, partial fractions).  Numerical integration: mid-point, trapezoidal rule and Simpson's rule; error analysis."
UOttawa,MAT 1322,Calculus II, , ,"Improper integrals.  Applications of the integral.  Separable differential equations.  Euler's method for differential equations. Sequences, series.  Taylor's formula and series.  Functions of two and three variables.  Partial derivatives, the chain rule, directional derivatives, tangent planes and normal lines."
UOttawa,MAT 1341,Introduction to Linear Algebra, , ,"Review of complex numbers. The fundamental theorem of algebra. Review of vector and scalar products, projections. Introduction to vector spaces, linear independence, bases; function spaces. Solution of systems of linear equations, matrix algebra, determinants, eigenvalues and eigenvectors. Gram Schmidt,  orthogonal projections. Linear transformations, kernel and image, their standard matrices. Applications (e.g. geometry, networks, differential equations)"
UOttawa,MCG 1100,Introduction to Mechanical Engineering, , ,"Basics of graphical communication, conventional and computer-aided. Sketching, orthographic projections, assembly drawings, solid modelling. Dissection of simple mechanical systems, measurements, report writing."
UOttawa,PHY 1122,Fundamentals of Physics II, , ,"Heat and thermodynamics.  Hydrostatics and hydrodynamics.  Geometrical optics.  Wave theory, Physical optics.  Electrostatics.  Direct current circuits.  A second course intended primarily for students in the physical sciences and engineering.  A familiarity with vector algebra and some understanding of calculus is assumed.  An additional problem class of one hour per week is offered with the course. Includes a 3 hour lab in alternate weeks. This course is normally a sequel to PHY 1121."
UOttawa,CVG 2140,Mechanics of Materials I, , ,"Stress and strain, mechanical properties of materials, bending moment and shear force diagrams; stresses and deformations in members subjected to tension, compression, shear and torsion; flexural and shearing stresses in beams; deflection of beams; combined stresses."
UOttawa,ELG 2336,Electric Circuits and Machines for Mechanical Engineering, , ,"Network theorems. Forced and transient response to deterministic inputs. Sinusoidal steady-state response of circuits. Magnetic theory and circuits. Transformers. Electromechanical energy conversion. Introduction to AC circuits, three phase power. DC machines, AC machines, torque-speed curves and efficiency. Laboratory experiments."
UOttawa,GNG 2101,Introduction to Product Development and Management for Engineers and Computer Scientists, , ,"A hands-on, team-based introduction to product development and management principles for engineers and computer scientists and their impact on social and economic aspects of engineering practice. Topics include creativity and innovation product development process, engineering project management, market evaluation and identification, engineering economics, technology entrepreneurship."
