School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
USaskatchewan,GE 102,Introduction to Engineering I, , ,"This course includes two concurrent modules.  Module 1 introduces students to the profession of engineering and life as an engineering student.  The course will allow students to learn, apply and reflect upon strategies for success in engineering in areas including: well-being, group dynamics, conflict resolution, time management, goal setting, planning, studying, problem solving and academic honesty.  Module 2 introduces students to important aspects of the culture and worldviews of Indigenous Peoples and contextualizes the engineering profession within those worldviews.  The course will introduce students to the engineer's legal and moral duty to consult with affected communities and examples of historical and contemporary influences of Indigenous worldviews on technology and engineering design.  There is also discussion about the importance of inclusion of, and respect for, all people."
USaskatchewan,GE 112,Engineering Discipline Experience, , ,"This course will provide students with an opportunity to have a meaningful experience for engineering programs offered at the University of Saskatchewan. Students will attend lectures, seminars, and/or laboratory experiences for a total of 6 hours per day for each of the five days.  Students will work individually and/or in groups to perform course activities."
USaskatchewan,GE 122,Engineering Mechanics I, , ,"This course considers particle dynamics and begins with particle kinematics under arbitrary acceleration.  Particle kinetics is then addressed including force-acceleration, work-energy, and impulse-momentum principles.  A series of practical laboratories are designed to help the student apply the principles of dynamics to practical problems."
USaskatchewan,GE 132,Engineering Communications I, , ,"This course introduces students to written Technical Communication and to Drawing & Sketching.  The Technical Communication I module focuses on developing students' communication awareness in the areas of referencing, coherency, and editing.  The Drawing & Sketching module focuses on 2D and 3D isometric and orthographic drawings, as well as dimensioning and scaling."
USaskatchewan,GE 142,Design I, , ,"This course introduces students to Engineering Design.  The Design I course focuses on the early stages of design characterized by problem identification, acceptance, definition, and characterization.  This will include the determination of design functions, criteria/objectives and constraints/requirements.  Students will engage in a group project to identify and characterize an engineering design problem of their own choosing."
USaskatchewan,GE 152,Electrical Circuits I, , ,"This course includes two concurrent modules.  Module 1 introduces students to basic properties of direct-current electrical circuits: voltage, current, resistance and power.  Students will learn to analyze series and parallel resistive direct-current circuits by applying: Kirchoff's laws, Ohm's law, mesh and node analysis, superposition and Thevenin's and Norton's Theorems.  Module 2 introduces students to computation and programming using Matlab.  Students will learn the Matlab interface and how to conduct I/O, plot data in 2 and 3 dimensions and solve linear systems using matrix data types.  Students will apply programming skills to create programs and user-defined functions. Students will be introduced to advanced features available in Matlab."
USaskatchewan,CMPT 142,Introduction to Computer Science for Engineers, , ,"Introduces essential computer science and computer programming concepts and principles, with application to problems relevant to all Engineering disciplines. Presents the context in which computational problem solving is done, including historical and elementary technical aspects. Emphasizes fundamental programming constructs, including data and data types, variables and expressions, conditional branching, repetition, functions, recursion, as well as data structures such as strings, lists, and dictionaries. Presents searching and sorting algorithms as an introduction to concepts in computer science.  Emphasis throughout on the practice of basic skills needed for writing robust software, including formal design processes and documentation, internal code documentation, testing, and debugging."
USaskatchewan,MATH 133,Engineering Mathematics I, , ,"An introduction to foundational concepts and tools in calculus, linear algebra, and statistics that are essential to engineering. Topics include basic integration techniques, limits and continuity, derivatives and their applications, matrix operations and linear transformations, linear regression, and graphing data on various scales."
USaskatchewan,PHYS 152,Introduction to Atoms and Nuclei for Engineering, , ,"Provides a brief introduction to quantum physics, atomic physics and nuclear physics for students of engineering.  Topics include evidence for wave-particle duality of photons and electrons, blackbody radiation, photoelectric effect, Compton effect, line spectra, atomic models, nuclear models, radioactivity, nuclear fission and fusion."
USaskatchewan,CHEM 142,Global Impact of Chemistry for Engineering, , ,The course is intended as a brief introduction to general chemistry topics with emphasis on the greenhouse effect utilizing both qualitative and quantitative aspects of chemistry to investigate this global issue.  You will learn practical applications of chemistry through course material and laboratory experiments.
