School,Course Number,Course Name,Only Available Within Option/Specialization,Atypical Elective,Course Description
Western,Applied Mathematics 1411A/B,LINEAR ALGEBRA WITH NUMERICAL ANALYSIS FOR ENGINEERING, , ,"Matrix operations, systems of linear equations, linear spaces and transformations, determinants, eigenvalues and eigenvectors, applications of interest to Engineers including diagonalization of matrices, quadratic forms, orthogonal transformations; introduction to MATLAB with applications from linear algebra."
Western,Applied Mathematics 1412A/B,CALCULUS FOR ENGINEERS I, , ,"Introduction to complex numbers, limits, continuity, differentiation of functions of one variable with applications, extreme values, l'Hospital's rule, antiderivatives, definite integrals, the Fundamental Theorem of Calculus, the method of substitution."
Western,Applied Mathematics 1414A/B,CALCULUS FOR ENGINEERS II, , ,"Techniques of integration, areas and volumes, arclength and surfaces of revolution, applications to physics and engineering, first order differential equations, parametric curves, polar coordinates, sequences and series, vectors and geometry, vector functions, partial differentiation with applications."
Western,Physics 1401A/B,PHYSICS FOR ENGINEERING STUDENTS I, , ,"An introductory calculus-based laboratory course in physics covering the foundational principles of kinematics, force and motion, energy, linear momentum, rotation, torque and angular momentum, gravitation, fluids."
Western,Engineering Science 1022A/B/Y,ENGINEERING STATICS, , ,"Analysis of forces on structures and machines, including addition and resolution of forces and moments in two and three-dimensions. The application of the principles of equilibrium. Topics: trusses; frames; friction; and centroids."
Western,Engineering Science 1021A/B,PROPERTIES OF MATERIALS IN ENGINEERING, , ,"An introduction to the relationship between the microstructure and engineering properties of metals, ceramics, polymers, semi-conductors and composites."
Western,Engineering Science 1050,FOUNDATIONS OF ENGINEERING PRACTICE, , ,"Introduction to the principles and practices of professional engineering. The design studio fosters innovative thinking, improves problem solving, and provides context. Includes elements of need recognition, conceptualization, prototyping, and engineering design to satisfy commercial specifications. Emphasis on creativity, teamwork, communication and engineering skills necessary to practice in any engineering discipline."
Western,Business Administration 1299E,BUSINESS FOR ENGINEERS, , ,"Students learn business fundamentals in finance, marketing, engineering economics, organizational behaviour and general management. Students are taught business decisionmaking using the case method, wherein students explore real business issues, make management decisions, defend their position, and take action, within an active class environment of no more than 85 students."
Western,Chemistry 1302A/B,DISCOVERING CHEMICAL ENERGETICS, , ,"An examination of how the fundamentals of energetics influence chemical processes. Topics include: gases, thermodynamics and thermochemistry, chemical equilibria, solubility, weak acids and bases, electrochemistry, and chemical kinetics."
Western,Engineering Science 1036A/B,PROGRAMMING FUNDAMENTALS FOR ENGINEERS, , ,"Designing, implementing and testing computer programs using Java and MATLAB to fulfill given specifications for small problems using sound engineering principles and processes. Awareness of the engineering aspects of the process of constructing a computer program."
