Course Number,Course Name,Course Description
ECED 2000,Electric Circuits,"This is an introductory course in electric circuit analysis. The material covered starts with a review of the fundamental circuit variables such as voltage, current, charge, power and energy. Kirchhoff's laws are introduced and developed into node and loop analysis techniques. Terminal behavior and circuit equivalence including Thevenin and Norton circuits are covered. Analysis with controlled sources and energy storage elements is developed including steady state and transient response for first order networks. Phasors and sinusoidal steady state are introduced. Students are introduced to circuit simulation tools such as p-spice."
ECED 2001,Circuit Analysis,"This course covers advanced circuit analysis techniques, starting with sinusoidal excitation. The concepts of phasors and complex impedance are fully developed. Mutual inductance and magnetically coupled coils are used to introduce transformer behavior and performance. Real and reactive power flow is covered before the introduction of balanced three phase circuits for power distribution. Symmetrical components are introduced as a means of dealing with unbalanced networks. The concepts of grounding and harmonics are also introduced."
ECED 2200,Digital Circuits,"This course includes an introduction to: Boolean algebra, encoders, decoders, shift registers, asynchronous and synchronous counters, together with timing considerations. Design of asynchronous circuits, synchronous sequential circuits, and finite state machines, is covered. Karnaugh mapping techniques and state tables and diagrams are taught. Programmable logic is introduced. Contemporary computer aided design and analysis software is used throughout the course."
ENGI 1103,Engineering Design I,"The objective ot the class is to provide students with conceptual design experience, team work experience, computer drafting experience and to develop skills in engineering free-hand sketching, 3-D visualization, and reading/drafting of engineering drawings. An integral part of the class is the Design Project, focused on design as the essence of engineering, and the process of design and reporting."
ENGI 1203,Mechanics I: Statics,"This course teaches the basic concepts in engineering mechanics. Topics considered include; Vectors, forces, equilibrium of particles, rigid bodies and structures, internal loadings, centroids and moments of inertia as well as dry friction. An individual design project is a major component of this course."
ENGI 2102,Thermo-Fluid Engineering I,"This course introduces the engineering sciences of thermodynamics and fluid mechanics in an integrated manner.  A unified approach to energy transfer in thermal and mechanical systems is presented.  The course covers basic properties of fluids, fluid statics, simplified analyses of fluid motion, the basic laws of thermodynamics, and the application of control volume techniques to engineering problems.  Power systems are introduced through a study of the Rankine cycle."
ENGI 2103,Thermo-Fluid Engineering II,"This course builds on the fluid mechanics introduction presented in Thermo-fluids I to present engineering concepts of fluid mechanics and energy.  The course covers dimensional analysis, completes fluid statics from Thermo-Fluids I, puts a large emphasis on the notion of control volume needed to properly solve thermal fluid problems using the conservation laws presented as integral relations, treats flow in ducts putting emphasis on head losses (friction and minor) and presents a practical theory of turbomachinery.  The different concepts studied during the course are brought together at the end in a series of design examples and design problems."
ENGI 2203,Engineering Design II,"This class provides a project-based exercise in the engineering design process. Students work in teams and as individuals on defined projects which apply knowledge and skills in all areas of engineering studied in semesters 1 to 3. The projects encompass the design method, conceptual design, design selection, detailed analysis, CAD and simulation tools, engineering drawings, safety and preparation of professional technical reports. Discipline-specific projects are assigned. All projects involve evaluation/testing of student designs, depending on the discipline section either through (i) construction and testing of a physical prototype or (ii) development and testing of an engineering simulation model."
ENGI 2204,Mechanics of Materials,"This course teaches the fundamentals of stress, strain and deformation of a solid body subjected to static forces. Topics considered include; stresses and strains under axial, bending, torsional and combined loadings, transformation relations for stresses and strains, Mohr's circle and mechanical properties of materials."
ENGI 2400,Mechanics II,"This second class in Engineering Mechanics considers the kinematics and kinetics of a single particle and a single rigid body. The class builds on the concepts introduced in ENGI 1400.03 (Mechanics I). Both vector and scalar methods are used. Topics include kinematics of a particle, kinetics of a particle, kinematics of a rigid body in plane motion, and planar kinetics of a rigid body."
