Course Number,Course Name,Course Description
MECH 3010,Machine Design: Loading of Components,"The application of basic methods and concepts of strength of materials to machine design including design concepts, stress, and theories of failure is developed. Topics include: load analysis, materials, static stresses, strain and deflection, failure, impact, fatigue, surface damage. Applications include: screw fastenings, springs."
MECH 3500,Dynamics of Machines,"The course focuses on design of mechanism, their motion, static and dynamic loads, and power transmission. It includes planar and spatial 4-bar and 6-bar linkages, cam mechanisms, gear trains, rotor systems, and manipulators. Linkage inversion, transformation, and synthesis are used for design of new mechanisms. Graphic, analytical, computer, and physical modeling techniques are used. Many real life mechanisms are analyzed."
MECH 3805,Mechanical Engineering Thermodynamics,"This course builds on the thermodynamics concepts presented in Thermo-Fluid Engineering I. Introductory concepts of cycles, processes, heat and work are reviewed. The first and second law of thermodynamics are applied to open and closed systems, both steady-state and transient processes. Availability and exergy analysis are presented. Vapour and gas power and refrigeration cycles are studied; absorption refrigeration cycles and refrigerants are also discussed."
CPST 3030,Engineering in Society II,"The course provides an overview of the concepts and interrelationships among sustainable development, environmental stewardship and public health and safety in relation to engineering practice.  These concepts will be examined through historical examples and current theory and practice of the engineering profession.  Lectures and discussion will consider global ecosystem functions, human interactions with the environment, methods of reducing human impacts; methods of achieving sustainability, engineering challenges to enhance sustainable development; and factors that influence occupational health and safety from engineering and management viewpoints.  Students will be exposed to management methods and tools such as environmental auditing, ISO 14000, risk analysis and WHMIS and will be expected to consider class topics in relation to their own area of engineering specialization."
ENGM 3356,Numerical Methods and Partial Differential Equations,"This course provides an introduction to Numerical Analysis and Partial Differential Equations with emphasis on solution of problems related to Mechanical Engineering. The following topics are covered: approximations and errors; roots of non-linear equations; systems of equations, curve fitting; numerical integration and differentiation; numerical solution of ordinary differential equations; partial differential equations, separation of variables, solution of the equation, wave equation, and Laplace's equation with various boundary conditions; numerical solutions of partial differential equations."
MATL 3500,Materials Engineering,"This course correlates properties of engineering materials with their structure. Laboratory objectives include preparation of reports in publication format and illustration of lecture material. Basic concepts of crystallography, chemical bonding and binary phase diagrams are introduced. These are used to describe properties of metallic and nonmetallic materials and how these may be controlled by engineers. Materials discussed include ferrous and nonferrous metals and alloys, ceramics, composites and semiconductors."
MECH 3020,Machine Design: Power Components,"The use of engineering principles in the design of machine power components is developed. Topics include: Lubrication and sliding bearings, roller bearings, spur gears, helical, bevel and worm gears, shafts, clutches and brakes, power transmissions such as belts and chains."
MECH 3305,Fluid Mechanics,"This course presents the dynamic governing equations of fluid flow in differential forms: continuity, Navier-Stokes and energy.  Concepts of stream function, vorticity and velocity potential are also introduced.  The physics and modeling of Turbulence in fluid systems is shown. The boundary layer theory is shown and flow past immersed bodies are studied: concepts of drag and lift forces are presented. Compressible flow is introduced: speed of sound, nozzle and diffuser, shock waves, Rayleigh and Fanno flow are all studied."
MECH 3660,Finite Element Method in Mechanical Design,"This course deals with the application of the finite element method to stress analysis problems encountered in mechanical design. Introduction to the finite element method is followed by extensive applications to the design of machine and structural components. Mechanical and thermal stresses in trusses, beams, axisymmetric, shell, and 3D solid elements are considered. Professional finite element modeling best practices are discussed. A finite element pre-processor, code, post-processor are introduced and used in the course assignments."
MECH 3705,Heat Transfer,"This course is an introduction to the three modes of heat transfer: conduction, convection and radiation.  Topics covered in conduction include steady-state and transient conduction, in one and two-dimensional system, and the study of extended surfaces. Force and free convection for internal and external flows are examined. The fundamentals of radiation heat transfer are covered, including blackbody radiation, gray surfaces, Kirchhoff's law and radiation exchange between surfaces."
