Course Number,Course Name,Course Description
MECH 4000,Manufacturing,"The course starts with a manufacturing process overview and a detailed process study in the following areas: manual assembly, machining, injection molding, thermoforming and casting. A relationship between process and design is examined and design for manufacturing methodologies is introduced. Quality control and quality assurance issues are overviewed. The principles of cell design for assembly and machining are introduced and part redesign for process and system is studied."
MECH 4110,FERROUS ALLOYS,"The course reviews the iron-carbon system, including the transformation products of austenite, alloying elements and thermo-mechanical treatments. Specific classes of steels, ranging from the simple plain carbon steels to the duplex stainless steels, are considered. Steels selection in different applications is covered."
MECH 4120,METAL WORKING PROCESSES,"The fundamentals of metal working in relation to rolling, forging, extrusion, and drawing are studied. In each scenario the physical and mechanical metallurgy principals involved are considered as in the role of tribology. Case studies for a variety of processes are considered."
MECH 4130,Failure Analysis,"The course reviews various aspects related failure of mechanical components and identifies fundamental sources of failures. Failures due to various mechanisms, such as, ductile and brittle fractures, creep, fatigue, corrosion and wear will be studied. Fractography and microstructural analysis of failed components is examined. Common techniques and tools used in failure analysis, as well as, procedure of sample collection, preparation and preservation will be considered. Case studies of failures in different industries will be covered."
MECH 4321,3D Printing,"This is a hands-on project based introduction to 3D printing and Rapid Prototyping. Polymer 3D printing technologies such as filament based fused deposition modeling and optical based stereolithography will be introduced. Strength of materials, material properties and material selection will be discussed. Specific topics include: machine components and configurations, advantages and disadvantages of 3D printing technologies, printing flaws and limitations of the technologies, and CAD. A physical prototype is a requirement of this course."
MECH 4340,Energy Management I,"The purpose of this course is to introduce the concepts and techniques of energy management and conservation. The subjects that will be discussed are energy supply and demand, energy pricing, scope of the energy problem and approaches to provide solutions; energy auditing; improving energy utilization in space conditioning, and steam, hot water and compressed air systems; insulation; and electrical energy conservation. An interdisciplinary approach will be employed in this course to provide a wider understanding of the subject."
MECH 4430,Turbomachines,"Various types of turbomachines, from wind turbines to high-ratio compressors are studied. Although hydraulic pumps and turbines are treated, the majority of the class time is devoted to compressible flow turbomachines and their characteristics. Emphasis is placed on practical design and performance parameters."
MECH 4440,Principles of Marine Craft Design,"This course covers the fundamentals of hydrostatics and hydrodynamics of marine craft. Topics include: hydrostatics and stability calculations for marine craft; dimensional analysis and modelling of marine systems; resistance estimation of low-speed and high-speed craft; sail power, marine propellers and jet propulsion; directional stability and control and wave theory and motion in waves."
MECH 4444,Mechatronics,"This course deals with the integration of mechanical, electrical, computer and control engineering which is increasingly becoming an important part of engineering design. Topics include Mechanical and Electrical Actuation Systems, Sensors, and Signal Conditioning, Microprocessors and Programming and Control. A major part of the course is project-based enabling students to apply the concepts studies in the course."
MECH 4450,Marine Craft Design and Construction,"This course deals with design and construction methods for marine craft. Each student completes a preliminary design of a small marine vessel. Topics include:  engineering and economic principles governing selection of dimensions and coefficients for marine craft, computer-aided design, design and generation of hull forms, performance and operability in the ocean environment, construction methods for glass-fibre, wood, aluminum and steel marine craft, and structural analysis and design."
MECH 4510,Mechanics of Composite Materials,"The course introduces classification of composite materials, fabrication processes and applications of composites; the basic relations of elasticity of anisotropic materials, and the macro- and micromechanical modeling of composites. The elastic behaviour of laminated and fibre-reinforced composites is studied; the effective moduli theory and the strength of composite materials are considered. Smart composite structures and their constituents are introduced."
MECH 4521,Applied Dynamics,This course begins with a review of planar kinematics and kinetics of rigid bodies. These concepts are extended to kinematics and kinetics of rigid bodies undergoing general three dimensional motion. Euler’s Equations are applied to a wide range of engineering problems including vehicular and gyroscopic dynamics. Energy methods for bodies undergoing three dimensional motion are applied to multi-degree-of-freedom systems. Single-degree-of-freedom systems subjected to random and shock inputs are analyzed.
MECH 4540,Aerodynamics,"The course deals with the fundamentals of aerodynamics and the theory of flight. Material covered includes: the standard atmosphere; airfoil coefficients and section properties; finite wings and induced drag; airplane performance - power required, rate of climb, range and endurance; basics of stability and control."
MECH 4550,Vehicle Dynamics,"This course will cover the fundamental and design aspects governing vehicle motion. Topics include tires mechanics, weight transfer and road loads, vehicle aerodynamics, acceleration performance, braking performance, suspension systems, steering systems, cornering, rollover and ride characteristics."
MECH 4560,Space Systems,"This course deals with the engineering design and analysis of space systems and their interrelationships. Topics include orbital mechanics, satellite pertubations, satellite actuator and sensor systems, satellite access and coverage."
MECH 4631,CAD/CAM - Computer Aided Design/Computer Aided Manufacturing,"The student is introduced to the concept of automation with application to design, production, and manufacturing systems. The use of digital computers is considered in design, including peripheral equipment and types of languages. Other topics include numerical control manufacturing systems such as Direct Numerical Control (DNC). Computer Numerical Control (CNC), Adaptive Control and Industrial Robots. Due to the diverse nature of the course content, various personnel from both the academic and industrial community aid in the class presentation."
MECH 4640,Robotics,"The prime objective of the course is to provide a survey of the state-of-the-art in robotics. A large portion of the course is focused on the robot hardware. However, robotics in an inherently interdisciplinary field and the course will also involve robotics control and application. Topics covered include kinematics and dynamics of the robot arm and gripper, drives, robot position measuring systems, external sensors and feeding, storage, changing position and clamping devices, all of which, together with the robot itself, constitute a “robotized” workplace."
MECH 4650,Biomechanical Engineering,"Engineering analysis of biological systems provides novel insight into evolutionary design of animals and plants and into the intelligent design of medical devices. This course examines the structure and function of the cardiovascular, pulmonary, and musculoskeletal systems using tools from solid and fluid mechanics. Topics include the heart as a pump, blood flow, arterial pulse propagation, the mechanics of breathing lung elasticity, muscle contraction, tissue mechanics, basic skeletal design, locomotion, and engineering of surgical implants."
