Course Number,Course Name,Course Description
AERO 401,Introduction to Aerospace Engineering,"AERO : Basic concepts in all relevant aspects of aerospace engineering. Introduction to aircraft and spacecraft components, systems and operation. Aerodynamic and flight mechanics. Structures and materials. Propulsion systems. Manufacturing processes. Control and systems. Avionics and navigation."
AERO 410,Aerospace Design and Certification Process,"AERO : Design and certification process for aircraft, helicopters and spacecraft. Operation and performance requirements. Preliminary and detailed design process. Performance analysis. Regulatory agencies overview. Certification process. Life cycle analysis. Cost analysis. Flight testing programs. Delivery and operation."
AERO 460D1,Aerospace Project,"AERO : Application of the material learned in other courses in the Minor in Aerospace Engineering to an applied project. Team project work will involve the design, fabrication, verification, and application of an aerospace system / component. Lectures on topics related to design and management of design projects. Emphasis is on the completion of a project of professional quality in collaboration with the aerospace industry."
AERO 460D2,Aerospace Project,AERO : For description see AERO 460D1.
ARCH 303,Design and Construction 1,"Architecture : An exploration of the design of buildings. Projects emphasize the major social, technological, environmental, and symbolic aspects of the design process. Introduction to specific modelling, presentation, and documentation techniques. Discussions, readings, field trips and practical exercises."
ARCH 304,Design and Construction 2,"Architecture : Continuation of Design and Construction I with projects of increasing complexity. Projects deal with particular aspects of architectural design and/or explore approaches to design methodology. Discussions, readings, field trips and practical exercises."
ARCH 321,Freehand Drawing 3,Architecture : Continuation of ARCH 218. Refinement of graphic skills and visual literacy through exercises in life drawing. Introduction to the materials and methods of watercolour painting.
ARCH 322,Freehand Drawing 4,"Architecture : Synthesis of ARCH 217, 218 and ARCH 321. Further refinement of graphic skills and visual literacy through exercises in life drawing. Students select and combine various media and apply them to diverse drawing and painting surfaces."
ARCH 324,Sketching School,Architecture : An eight-day supervised field trip in the late summer to sketch places or things having specific visual characteristics. Students are required to include Sketching School I in the B.Sc.(Arch.) program.
ARCH 325,Architectural Sketching,"Architecture : Seven days of supervised field sketching in selected locations outside Montreal. The course develops traditional skills in architectural sketching in pencil, ink and watercolour. Sketching is explored as a process that frames the student's encounter with the environment and as a strategy for acquiring knowledge and understanding of the world."
