Course Number,Course Name,Course Description
CHEM 110,General Chemistry 1,"Chemistry : A study of the fundamental principles of atomic structure, radiation and nuclear chemistry, valence theory, coordination chemistry, and the periodic table."
CHEM 120,General Chemistry 2,Chemistry : A study of the fundamental principles of physical chemistry.
MATH 133,Linear Algebra and Geometry,"Mathematics & Statistics (Sci) : Systems of linear equations, matrices, inverses, determinants; geometric vectors in three dimensions, dot product, cross product, lines and planes; introduction to vector spaces, linear dependence and independence, bases. Linear transformations. Eigenvalues and diagonalization."
MATH 140,Calculus 1,"Mathematics & Statistics (Sci) : Review of functions and graphs. Limits, continuity, derivative. Differentiation of elementary functions. Antidifferentiation. Applications."
MATH 141,Calculus 2,Mathematics & Statistics (Sci) : The definite integral. Techniques of integration. Applications. Introduction to sequences and series.
PHYS 131,Mechanics and Waves,"Physics : The basic laws and principles of Newtonian mechanics; oscillations, waves, and wave optics."
PHYS 142,Electromagnetism and Optics,Physics : The basic laws of electricity and magnetism; geometrical optics.
CCOM 206,Communication in Engineering,"Communication (CCE) : Written and oral communication in Engineering (in English): strategies for generating, developing, organizing, and presenting ideas in a technical setting; problem-solving; communicating to different audiences; editing and revising; and public speaking. Course work based on academic, technical, and professional writing in engineering."
CIVE 207,Solid Mechanics,"Civil Engineering : Stress-strain relationships; elastic and inelastic behaviour; performance criteria. Elementary and compound stress states, Mohr's circle. Shear strains, torsion. Bending and shear stresses in flexural members. Deflections of beams. Statically indeterminate systems under flexural and axial loads. Columns. Dynamic loading."
COMP 208,Computer Programming for Physical Sciences and Engineering,"Computer Science (Sci) : Programming and problem solving in a high level computer language: variables, expressions, types, functions, conditionals, loops, objects and classes. Introduction to algorithms such as searching and sorting. Modular software design, libraries, file input and output, debugging. Emphasis on applications in Physical Sciences and Engineering, such as root finding, numerical integration, diffusion, Monte Carlo methods."
ECSE 461,Electric Machinery,"Electrical Engineering : Electric and magnetic circuits. Notions of electromechanical energy conversion applied to electrical machines. Basic electrical machines - transformers, direct-current motors, synchronous motors and generators, three phase and single phase induction machines. Elements of modern electronically controlled electric drive systems."
FACC 100,Introduction to the Engineering Profession,Faculty Course : Introduction to engineering practice; rights and code of conduct for students; professional conduct and ethics; engineer's duty to society and the environment; sustainable development; occupational health and safety; overview of the engineering disciplines taught at McGill.
FACC 250,Responsibilities of the Professional Engineer,"Faculty Course : A course designed to provide all Engineering students with further training regarding their responsibilities as future Professional Engineers. Particular focus will be placed on three professional characteristics that future engineers must demonstrate: i) professionalism, ii) ethical and equitable behaviour, and iii) consideration of the impact of engineering on society and the environment."
FACC 300,Engineering Economy,"Faculty Course : Introduction to the basic concepts required for the economic assessment of engineering projects. Topics include: accounting methods, marginal analysis, cash flow and time value of money, taxation and depreciation, discounted cash flow analysis techniques, cost of capital, inflation, sensitivity and risk analysis, analysis of R and D, ongoing as well as new investment opportunities."
