Course Number,Course Name,Course Description
MECH 403D1,Thesis (Honours),"Mechanical Engineering : This course, together with MECH 404, involves a research project containing both engineering theory and design components, and requiring a theoretical and/or experimental investigation. Students are supervised by the course instructor and mentored by one or more staff members. The work culminates with the submission of a thesis."
MECH 403D2,Thesis (Honours),Mechanical Engineering : See MECH 403D1 for course description.
MECH 403N1,Thesis (Honours),"Mechanical Engineering : This course, together with MECH 404, involves a research project containing both engineering theory and design components, and requiring a theoretical and/or experimental investigation. Students are supervised by the course instructor and mentored by one or more staff members. The work culminates with the submission of a thesis."
MECH 403N2,Thesis (Honours),Mechanical Engineering : See MECH 403N1 for course description.
MECH 404,Honours Thesis 2,Mechanical Engineering : This course is part of the same thesis project as course MECH 403.
MECH 412,System Dynamics and Control,"Mechanical Engineering : Modelling of physical linear time-invariant systems using transfer functions. Transient and steady-state response specifications. State space representation of systems. Frequency-response characterization. Stability. Feedback control systems. PID controller design. Root locus and frequency response design methods. Lead, lag and PID compensators."
MECH 419,Advanced Mechanics of Systems,"Mechanical Engineering : Lagrange's equations of motion. Hamilton's principle. Variational methods. Discrete linear systems: analytical and numerical methods. Distributed parameter systems: exact solutions and discretization techniques. Electrical-mechanical-acoustical analogies. Stability of systems. Nonlinear dynamics: phase-plane, perturbation and other methods of solution."
MECH 430,Fluid Mechanics 2,"Mechanical Engineering : Review of thermodynamics of gases, one dimensional isentropic flow and choking. Nozzles and wind tunnels. Normal shock waves. Flow in constant area ducts with friction and heat exchange. Compressible irrotational flow. Oblique shock waves and Prandtl-Meyer expansion. Supersonic aerofoil and wing theory."
MECH 447,Combustion,"Mechanical Engineering : Equilibrium analysis of reacting systems, Hugoniot analysis, flame propagation mechanisms, introduction to chemical kinetics, models for laminar flame propagation, ignition, quenching, flammability limits, turbulent flames, flame instability mechanisms, detonations, solid and liquid combustion."
MECH 463D1,Design 3: Mechanical Engineering Project,"Mechanical Engineering : Team project work typically involving the design, fabrication, verification, and application of a mechanical device/system, or experimental facility. The project work is complemented with lectures in the Fall term on topics related to design and management of design projects. Emphasis is on the completion of a project of professional quality."
MECH 463D2,Design 3: Mechanical Engineering Project,Mechanical Engineering : See MECH 463D1 for course description.
MECH 494,Honours Design Project,"Mechanical Engineering : An advanced design project course with emphasis on analytical solutions, performance prediction and validation, and planning for production. Students are supervised by the course instructor and mentored by one or more staff members."
MECH 497,Value Engineering,Mechanical Engineering : Value Engineering is an in-depth analysis of an industrial product or process with a view to improving its design and/or performance to increase its worth. This is a workshop type of course. Projects will be supplied by industrial firms and students will work in teams with industrial personnel.
MECH 498,Interdisciplinary Design Project 1,Mechanical Engineering : Completion of an individual project on an interdisciplinary theme with emphasis on a balanced combination on analysis and synthesis.
MECH 499,Interdisciplinary Design Project 2,Mechanical Engineering : The individual project initiated in MECH 498 is continued and finalized in this course.
MECH 500,Selected Topics in Mechanical Engineering,"Mechanical Engineering : A course to allow the introduction of new topics in Mechanical Engineering as needs arise, by regular and visiting staff."
MECH 501,Special Topics: Mechanical Engineering,"Mechanical Engineering : A course to allow the introduction of new topics in Mechanical Engineering as needs arise, by regular and visiting staff."
MECH 502,Topics in Mechanical Engineering,"Mechanical Engineering : A course to allow the introduction of new topics in Mechanical Engineering as needs arise, by regular and visiting staff."
MECH 510,Engineering Acoustics,"Mechanical Engineering : Vibratory and acoustic disturbances propagated in homogeneous media. Modelling of acoustic systems using lumped-parameters. Simple sound wave fields, transverse waves in strings and bars, longitudinal waves in bars, and transverse waves in membranes, beams, and plates. Basic wave propagation phenomena and sound source models."
MECH 513,Control Systems,"Mechanical Engineering : State-space modelling and related linear algebra.  Controllability and observability of linear time-invariant systems and corresponding tests, system realizations. Stability: Bounded-Input-Bounded-Output (BIBO), internal, Lyapunov.  Linear state feedback control: pole placement and root locus design methods, linear quadratic regulator.  State observers: full- and reduced-order designs, separation principle, Linear Quadratic Gaussian (LQG) design. Introduction to optimal control and optimal state estimation."
MECH 515,Unsteady Gasdynamics,"Mechanical Engineering : Fundamentals of unsteady gasdynamics. Shock and detonation waves in gases and condensed material. Condensed explosives: hydrodynamic theory, equations of state, initiation. Shock interactions. Blast wave theory, similarity methods, blast scaling."
MECH 516,Computational Gasdynamics,Mechanical Engineering : Fundamentals of computational fluid dynamics. Numerical methods for hyperbolic conservation laws: first- and higher-order upwind schemes; monotonicity and Godunov theorem; total-variation-diminishing schemes; Riemann solvers; treatment of source terms; multi-dimensional methods. Introduction to grid generation and adaptation. Methodology for the comparison of numerical and experimental results.
MECH 524,Computer Integrated Manufacturing,Mechanical Engineering : A study of the present impact of computers and automation on manufacturing. Computer-aided systems. Information modelling. Information system structures. Study of several types of production systems. Integration issues: inter-and intra-enterprise. Laboratory experience with manufacturing software systems.
MECH 526,Manufacturing and the Environment,"Mechanical Engineering : Course topics include: clean manufacturing, product and process design for minimizing materials and energy use, the product life cycle, impact of technology on the environment, environmental impact assessment, regulatory process, and managing the ""political"" process."
MECH 528,Product Design,"Mechanical Engineering : A study of the design issues present in product life cycle demands. Computer-aided systems. Rapid prototyping. Design for manufacturability. Integration of mechanics, electronics and software in products. Effect on design of product cost, maintainability, recycling, marketability."
MECH 529,Discrete Manufacturing Systems,"Mechanical Engineering : An overview of present day production machines and systems with special emphasis on automation, computer control and integration techniques. Material handling, automatic inspection, process monitoring, maintenance. Socio-economic and environmental issues. Laboratory experience with factory simulation."
MECH 530,Mechanics of Composite Materials,"Mechanical Engineering : Fiber-reinforced composites. Stress, strain, and strength of composite laminates and honeycomb structures. Failure modes and failure criteria. Environmental effects. Manufacturing processes. Design of composite structures. Computer modelling of composites. Computer techniques are utilized throughout the course."
MECH 532,"Aircraft Performance, Stability and Control","Mechanical Engineering : Aircraft performance criteria such as range, endurance, rate of climb, maximum ceiling for steady and accelerated flight. Landing and take-off distances. Static and dynamic stability in the longitudinal (stick-fixed and stick-free) and coupled lateral and directional modes. Control response for all three modes."
MECH 533,Subsonic Aerodynamics,"Mechanical Engineering : Kinematics: equations of motion; vorticity and circulation, conformal mapping and flow round simple bodies. Two-dimensional flow round aerofoils. Three-dimensional flows; high and low aspect-ratio wings; airscrews. Wind tunnel interference. Similarity rules for subsonic irrotational flows."
MECH 534,Air Pollution Engineering,"Mechanical Engineering : Pollutants from power production and their effects on the environment. Mechanisms of pollutant formation in combustion. Photochemical pollutants and smog, atmospheric dispersion. Pollutant generation from internal combustion engines and stationary power plants. Methods of pollution control (exhaust gas treatment, absorption, filtration, scrubbers, etc.)."
MECH 535,Turbomachinery and Propulsion,"Mechanical Engineering : Introduction to propulsion: turboprops, turbofans and turbojets. Review of thermodynamic cycles. Euler turbine equation. Velocity triangles. Axial-flow compressors and pumps. Centrifugal compressors and pumps. Axial-flow turbines. Loss mechanisms. Dimensional analysis of turbomachines. Performance maps. 3-D effects. Introduction to numerical methods in turbomachines. Prediction of performance of gas turbines."
MECH 536,Aerospace Structures,"Mechanical Engineering : Aircraft and spacecraft structural components and loads. Bending, shear, torsion and buckling of thin-walled open and closed sections. Structural idealization. Principle of stiffener / web construction. Trusses and isogrid structures. Wing spars and box beams. Fuselage frames and wing ribs. Analysis of riveted, bolted and adhesive joints. Sandwich structures analysis. Thermoelasticity analysis for spacecraft structures."
MECH 537,High-Speed Aerodynamics,"Mechanical Engineering : Equations of compressible flows. Planar and conical shock waves. Expansion and shock wave interference; shock tubes. Method of characteristics. Supersonic nozzle design. Aerofoil theory in high subsonic, supersonic and hypersonic flows. Conical flows. Yawed, delta and polygonal wings; rolling and pitching rotations. Wing-body systems. Elements of transonic flows."
MECH 538,Unsteady Aerodynamics,Mechanical Engineering : Fundamental equations of unsteady compressible flows in fixed or moving reference frames. Unsteady flows past bodies in translation and having oscillatory motions. Oscillations of cylindrical pipes or shells subjected to internal flows. Vortex theory of oscillating aerofoils in incompressible flows. Theodorsen's method. Unsteady compressible flow past oscillating aerofoils.
MECH 539,Computational Aerodynamics,"Mechanical Engineering : Fundamental equations. Basic flow singularities. Boundary element methods. Source, doublet and vortex panel methods for 2D and 3D incompressible and compressible flows. Method of characteristics. Euler equations for inviscid rotational flows. Finite-difference and finite-volume methods. Explicit and implicit time-integration methods. Quasi 1D solutions. Nozzle and confined aerofoil applications."
MECH 541,Kinematic Synthesis,"Mechanical Engineering : The role of kinematic synthesis within the design process. Degree of freedom. Kinematic pairs and bonds. Groups and subgroups of displacements. Applications to the qualitative synthesis of parallel-kinematics machines with three and four degrees of freedom. Function, motion and path generation problems in planar, spherical and spatial four-bar linkages. Extensions to six-bar linkages. Cam mechanisms."
MECH 542,Spacecraft Dynamics,"Mechanical Engineering : Review of central force motion; Hohmann and other coplanar transfers, rotation of the orbital plane, patched conic method. Orbital perturbations due to the earth's oblateness, solar-lunar attraction, solar radiation pressure and atmospheric drag. Attitude dynamics of a rigid spacecraft; attitude stabilization and control; attitude manoeuvers; large space structures."
MECH 543,Design with Composite Materials,"Mechanical Engineering : Material systems/selection process. Cost vs. performance. Laminate layup procedures. Theory and application of filament winding of composite cylinders. Regular oven and autoclave oven curing, analysis of resulting material performance. Practical design considerations and tooling. Analysis of environmental considerations. Joining techniques. Analysis of test methods. Theory of repair techniques."
MECH 544,Processing of Composite Materials,"Mechanical Engineering : Composite processing science basic principles. Reinforcement properties; permeability, compaction. Resin properties; curing, viscosity, shrinkage. Heat transfer and cure kinetics; cure cycle optimization. Resin flow; infusion, thickness variations, fiber volume fraction distribution. Residual stresses; tool-part interaction, warpage control, spring-back, tool design. Thermoplastic composites; crystallization control, melting and consolidation."
