Course Number,Course Name,Course Description
CHEMENG 4T03,Applications of Chemical Engineering in Medicine,"Applications of chemical engineering principles to biological systems and medical problems including examples from hemodynamics, blood oxygenation, artificial kidney systems, controlled drug release, biosensors and biomaterials."
ENGINEER 4T04,Materials Selection in Design and Manufacturing,"Materials indices, materials selection charts, materials selection and design with mechanical and thermo-mechanical constraints, design of hybrid materials, sustainable materials selection and design."
MATLS 4T03,Properties and Processing of Composites,Intrinsic properties of matrix materials and fibres; mechanics and thermodynamics of interfaces; mechanical properties and fabrication of engineering composites.
MECHENG 4B03,Topics in Product Development,"Case studies using modern product development methods, value engineering, product specification, rapid product development, lean design and continuous improvement. Product liability and robust design."
MECHENG 4BB3,Biomechanics,"Application of mechanical engineering principles to biomechanics problems including cellular biomechanics, hemodynamics, circulatory system, respiratory system, muscles and movement and skeletal biomechanics."
MECHENG 4CC3,Experimental and Computational Biomechanics,Introduction to experimental and computational biomechanics including biomechanical testing concepts and application of finite element methods in simulations of biomechanical structures/systems.
MECHENG 4E03,Microelectromechanical Systems (MEMS),"Introduction, microfabrication and micromachining fundamentals, scaling effects, mechanics and transduction at microscale, actuation and sensing methods - Electrostatic, piezoelectric, thermal, electromagnetic, resonant, tunneling and microfluidic techniques. Capacitative sensors, resonators, lab on chip devices, microfluidic devices, micromirrors, assembly techniques for MEMS, microsystem packaging."
MECHENG 4H03,Mechatronics,"Integration of mechanical engineering with electronics and computer control. Sensors, actuators (including pneumatic and hydraulic), modelling using building block and state space methods, model-based control, programming of PLCs with practical demonstrations."
MECHENG 4I03,Noise Analysis and Control,"Acoustic quantities; noise measurements and analysis; noise standards; sound generation, propagation, absorption, transmission; acoustic materials; noise control techniques; case studies."
MECHENG 4L03,Industrial Design,"Introduction for engineering students to the techniques of industrial design, case studies and introduction to illustration techniques."
MECHENG 4N03,Nanobio Engineering,"Introduction to nanotechnology, nanomaterials, nanotechnology in living systems, nanotechnology in biomedical devices, nanobiomaterials, characterization of biomaterials, nano-coatings, nano-biofunctional interfaces, biosensing and diagnostics, organs-on-chips."
MECHENG 4T03,Finite Element Applications,"Theory of the finite element method, element derivation, solution procedures. Applications to static and dynamic mechanical systems using a finite element package."
MECHENG 4Y03,Internal Combustion Engines,"This course focuses on internal combustion engines (ICE), including operations, thermodynamics, combustion, and characteristics of gasoline and diesel engines, as well as hybrid powertrains."
MECHENG 4Z03,CAD/CAM/CAE,"Solid modelling theory, part creation, assemblies and rigid bodies, mechanism simulation, B-Splines, data exchange, CNC machining and inspection. Major project using computer laboratory facilities."
CHEMENG 4X03,Polymer Processing,"An introduction to the basic principles of polymer processing, stressing the development of models. Rheology of polymers, extrusion, molding, films, fibers, and mixing. Reactive processing."
MECHENG 4S03,Incompressible Flow,"Introduction to internal and external laminar and turbulent incompressible flows. Topics include turbulent boundary layers, aerodynamics and convective heat transfer."
ENGPHYS 3D03,Principles of Nuclear Engineering,"Introduction to fission and fusion energy systems. Energetics of nuclear reactions, interactions of radiation with matter, radioactivity, design and operating principles of fission and fusion reactors."
ENGPHYS 4D03,Nuclear Reactor Physics,Introduction to nuclear fission and the physics of nuclear reactors; reactor statics for homogeneous reactors; reactor kinetics for simple time-dependent situations; effects of saturating fission products (Xe-135); reactivity coefficients
ENGPHYS 4NE3,Advanced Nuclear Engineering,"Energy generation and conversion, heat transfer and transport in a nuclear reactor. Characteristics and performance of nuclear fuels. Thermal margins and safety limits. Aging of core structural materials. Structural integrity of components."
ENGPHYS 4P03,Nuclear Power Plant Systems and Operation,Systems and overall unit operations relevant to nuclear power plants; includes all major reactor and process systems; self-study using interactive nuclear power plant.
MECHENG 4AA3,Aerodynamics,Forces and moments associated with flow around airfoils and bodies. Finite wings. Potential flow and introduction to panel methods. Thin airfoil theory and symmetric and cambered airfoils. Introduction to aircraft stability and aeroelasticity.
MECHENG 4J03,Introduction to Computational Fluid Mechanics and Heat Transfer,"Computational Methods for Fluid Mechanics and Heat Transfer covering: concepts of modelling and numerical analysis, governing equations of thermo-fluid problems, finite difference discretization methods. Use of commercial computational software for solving thermo-fluid problems."
MECHENG 4O04,Sustainable Energy Systems,"Assessment of current and future energy systems, covering resources, extraction, conversion with emphasis on meeting regional and global energy needs in a sustainable manner. Different renewable and conventional energy technologies and their attributes. Evaluation and analysis of energy technology systems in the context of political, social, economic and environmental goals."
MECHENG 4U03,Compressible Flow and Turbomachinery,"Compressible flows: Fanno and Rayleigh flows, normal and oblique shocks. Turbomachines: axial flow gas and wind turbines, axial flow compressors and fans."
MECHENG 4W03,Air Conditioning and Refrigeration Systems,"Re-examination of laws of thermodynamics, multicomponent vapour systems, psychrometry, air conditioning, mechanical vapour compression refrigeration, absorption refrigeration, heating and cooling load calculations, air quality and human thermal comfort."
CIVENG 3K03,Introduction to Transportation Engineering,"A transportation impact study serves as the focus for group projects, and provides the context for application of material on traffic flow characteristics, capacity and control for signalized and unsignalized intersections, and travel demand forecasting. Safety; social impacts."
COMMERCE 4QA3,Operations Modelling and Analysis,A course that looks at productions and operations management as practiced in engineering and manufacturing industries and the services sector.
ENGINEER 3N03,Electronics and Instrumentation,"Semiconductor devices; diodes, transistors and silicon-controlled rectifiers. Transistor characteristic and load lines. Amplifier circuits with and without feedback. Rectifier and passive filter circuits. Operational amplifiers and active filters. Digital circuits, Microcomputers, Interfacing."
MECHENG 4C03,Production Systems Engineering,"Analytical tools to evaluate and design production systems to meet specified performance metrics. Quantitative and qualitative evaluation of production cells, flexible manufacturing systems and production lines."
MECHENG 4K03,Robotics,"Fundamental theory and practical applications of robotic manipulators and mobile robots. Equations of motion, robot dynamics and statics, motion planning, introduction to machine vision, basics of robot programming."
MECHENG 4D03,Manufacturing Processes (Metal Removal),"Fundamentals of metal removing processes, including mechanics and tribological aspects of material removal. Application of theory to the practice of machining processes such as turning, milling, drilling and grinding."
