Course Number,Course Name,Course Description
COMM 1050U,Technical Communications,"This course will assist students in developing professional writing and presentation skills required for university assignments and for their professional work in the future. It will start with basic writing and speaking skills and will emphasize their application in the preparation of reports and other technical writing. Topics for the course include using correct grammar and punctuation, organizing ideas, formulating persuasive arguments, and preparing narrative and written technical reports. Part of the process will involve students in the critical analysis of the writing and speaking of others as a means of developing one's own skills."
ENGR 1015U,Introduction to Engineering,"An introduction to engineering, the profession and core skills of engineers. Topics include: history of engineering; fields in engineering; how systems work; an overview of computer systems; information technology trends and state-of-the-art applications (scientific computing, communications and signal processing); role of engineers in society; core engineering skills including freehand sketching, basic engineering graphics and drafting techniques, engineering report writing and introduction to MAT programming; occupational health and safety, and safety standards."
MATH 1010U,Calculus I,"Applications to science and engineering using differential calculus. Emphasis on limits, continuity, the derivative, Mean Value Theorem for derivatives and integrals, approximation by differentials, Fermat's Theorem, differentiation and anti-differentiation, definite integrals, areas between curves, and the Fundamental Theorem of Calculus."
MATH 1850U,Linear Algebra for Engineers,"Develops the fundamental ideas of linear algebra and demonstrates their applications to other areas. Topics include the algebra of matrices; systems of linear equations; determinants and matrix inverses; real and complex vector spaces, linear independence, bases, dimension and co-ordinates; inner product spaces and the Gram-Schmidt process; least squares and regression; linear maps and†matrices, change of basis and similar matrices; eigenvalues, eigenvectors and matrix diagonalization; quadratic forms."
PHY 1010U,Physics I,"This calculus-based course is intended for students who have completed high school calculus. It gives an introduction to basic mechanics, Newton's laws of motion; kinematics and dynamics in one and two dimensions; work and energy; friction; momentum and collisions; angular momentum, torque and rotation of rigid bodies; gravitation; simple harmonic motion; mechanical and sound waves; static equilibrium; fluid mechanics; kinetic theory of gases and thermodynamics."
CHEM 1800U,Chemistry for Engineers,"Introduction to the four sub-disciplines of modern chemistry: analytical, inorganic, organic and physical. Atoms, molecules, stoichiometry and gas laws; reactions, chemical kinetics, thermochemistry, entropy and free energy; electronic structure of atoms, bonding and molecular structure with emphasis on organic molecules; intermolecular forces, liquids and solids; electrochemistry, fuel cells and electrolytic cells."
ENGR 1025U,Engineering Design,"A project-based introduction to the engineering design process, computer-aided drafting, and the use of design tools and software packages for engineering design. Open-ended design-build projects by individuals and groups and written and oral technical communications. Basics of project management including organizing, planning, scheduling, controlling, and application of spreadsheets and project management software."
ENGR 1200U,Introduction to Programming for Engineers,"Introduction to the anatomy of a computer: CPU, memory, machine cycle, input and output devices, data representation; fundamental programming concepts: flowcharting, algorithm design, use of procedures, program control flow, arrays and vectors, arithmetic and logic operations, input and output, data declaration; programming in C++."
MATH 1020U,Calculus II,"A continuation of Calculus I or Introductory Calculus emphasizing integral calculus: problem solving, calculations and applications. Applications to volumes, arc length, polar co-ordinates and functions of two or more variables. Multivariable calculus: partial derivatives, differential equations, Taylor and MacLauren series, double integrals."
PHY 1020U,Physics II,"Introduction to electromagnetism and optics: electric charge and Coulomb's law; electric field, electric flux, Gauss' law; electrostatic potential, capacitance; Kirchoff's laws in DC circuits. Magnetic forces and magnetic field; Biot-Savart law; Ampere's law; magnetic flux, Faraday's law, inductance; AC circuits. Electromagnetic waves; wave propagation; waves in matter. Geometrical and wave optics; special relativity."
SSCI 1470U,Impact of Science and Technology on Society,"In this course, students will engage in analyses of scientific and technological developments from the perspective of broad social impacts. Special attention will be paid to controversial issues currently receiving media attention, but the major emphasis will be on ways of thinking critically about both the remediation of already existing problems (e.g. toxic substance clean-up) and the prevention of future problems (e.g. environmental impact analyses and or economic impact analyses). Canadian examples will be of primary concern, but students will also learn to think about impact globally since large-scale problems do not respect political boundaries."
MANE 2220U,Structure and Properties of Materials,"Atomic structure and atomic bonding in solids, structure of crystalline solids, solidification and defects, role of crystalline defects on material properties, strengthening mechanisms, diffusion, binary isomorphous and eutectic systems and related alloys, mechanical properties of materials, polymers, crystalline ceramics, composites."
