Course Number,Course Name,Course Description
MECH 202,Mathematical and Computational Tools for Mechanical Engineers I,"This course will provide students with an introduction to vector calculus, analytical, and numerical solution methods for ordinary differential equations. The topics of the course will be prresented through problems, models and applications relevant to the Mechanical Engineering Program. On completion of the course students will be able to: manipulate vectors; perform numerical integration; solve first- and higher-order ordinary differential equations analytically and numerically.Students will solve problems analytically and computationally in an active learning, tutorialenvironment."
MECH 211,Manufacturing Methods,"The objective of this course is to achieve a knowledge and understanding of a wide variety of manufacturing processes involving plastics and metals. This course forms the basis for improved product and machine design, and will assist the mechanical engineer to function in the areas of design, manufacturing and general engineering. Training in the use of machine and welding tools found in a modern job shop is a required activity practiced in the machine tool laboratory in MECH 212."
MECH 217,Measurement in Mechatronics,"This course is composed of online instruction in measurement theory andactive lab and tutorial modules that provide hands-on practical experience making measurements, doing analysis, and drawing conclusions from them.On completion of the course, students will be able to: Identify and Quantify measurement objectives in practical engineering applications; Apply statistical analysis, including uncertainty, for interpreting test results; Specify,Select, and Apply transducers, acquisition systems, and procedures to measure pressure, strain, temperature and position;Apply physical principles to predict static and dynamic system performance for pressure, strain, temperature and position measurements;Install and test a micro controller system for data acquisition and control; Acquire and process digital and analog data; Formulate conclusions supported by data and comparison of results to appropriate models; Discuss the limitations of data employed, key findings, trends evident, uncertainty and error;Students willuse mathematical and computationalskills typically acquired in MECH 202 & APSC 143. (CEAB App. 3 qualified)"
MECH 221,Solid Mechanics I,"Review of statics, forces and equilibrium, internal forces in simple structures and other material from first year. Further development of axial, torsion, shear and bending moment diagrams, andconcepts of stress and strain. Introduction to mechanical properties of materials, centroids and moments of areas, axial stress, flexural stress, transverse shear stress, calculation of displacement by integration, combined loading, and stress transformation. This course is designed primarily for mechanical engineering students."
MECH 213,NOT OFFERED 2020-2021 Manufacturing Methods,"The objective of this course is to achieve a knowledge and understanding of a wide variety of manufacturing processes involving plastics and metals. This course forms the basis for improved product and machine design, and will assist the mechanical engineer to function in the areas of design, manufacturing and general engineering. Training in the use of machine and welding tools found in a modern job shop is a required activity practiced in the machine tool laboratory. NOTE: It is highly advised that MME students take MECH 270concurrently with this course."
MECH 230,Thermodynamics I,"An introductory course in thermodynamics. Topics include: properties and behaviour of pure substances, concepts of heat, work and energy, the First and Second Laws of Thermodynamics, and the analysis of a variety of power and refrigeration cycles."
MECH 270,Materials Science and Engineering,"This course provides the student with a background in the basic structural concepts of materials and the relationships between processing, structure, properties and performance. The topics will range from atomic bonding and arrangements, through micro-and macro-structures and their influence on properties, to the processing techniques required to produce the desired structures. All current types of engineering materials, including metals, ceramics, polymers, composites and semiconductors are covered."
APSC 200,Engineering Design and Practice II,"In this course students will participate constructively on teams to create solutions to open-ended complex problems, using standard design methods and tools. This project-based course provides instruction primarily in the first 6 weeks of the semester focusing on problem scoping, creativity and idea generation, decision making incorporating technical, economic, societal, and environmental factors, safety, engineering codes and regulations, and engineering ethics. The final 6 weeks of the course centre around a design project delivered by each discipline. This course is integrated with APSC 293, and coordinated by the same instructor."
APSC 293,Engineering Communications l,"This course provides an introduction to effective engineering writing and speaking skills with the emphasis on professional correspondence, engineering reports, oral briefings, and formal oral presentations. These skills are developed in lectures and small group tutorials. This course is integrated with APSC 200, and coordinated by the same instructor."
MECH 203,Mathematical and Computational Tools for Mechanical Engineers II,"This course will introduce numerical and statistical methods for the solution of engineering problems, to complement those discussed in MECH 202. The topics of the course will be presented through problems, models and applications relevant to the Mechanical Engineering Program. On completion of the course students will be able to: solve linear systems of equations;analyze random processes;perform local optimization and hypothesis testing; interpolate and fit discrete data sequences.Students will solveproblems analytically and computationally in an active learning, tutorialenvironment. The course will include a design project."
