Course Number,Course Name,Course Description
APSC 381,NOT OFFERED 2020-2021 Advanced Design and Skills for Innovation,"This multidisciplinary project-based course will provide students with a broad range of knowledge and skills for design and innovation. Topics span the breadth of the innovation process, including advanced topics such as risk analysis, FMEA, reliability, and elements of six sigma methodologies. Elements of project management, market and economic analysis, and other professional practice topics are interwoven. Students work in multidisciplinary teams on relevant and realistic projects, simulating the real-world engineering environment. This course provides direct entry to the elective final year capstone project course ""APSC 480 Multi-disciplinary Industry Engineering Design Project FW |  K9""ù, and provides an excellent foundation for innovation in both intrapreneurial and entrepreneurial opportunities"
APSC 400,"NOT OFFERED 2020-2021 Technology, Engineering & Management (TEAM)","Multidisciplinary teams of engineering, commerce, law, and/or science students, as appropriate, undertake consulting projects with industrial, government, and not-for-profit clients. &nbsp;Typical project types include Process Improvement, Feasibility & Design, Business Strategy/Marketing, Environmental, Start-ups, Blue-Sky, or a combination of topics which are selected based on prevailing industry trends. Following a phase of self-directed problem and scope definition, students will execute their projects in groups, guided by experienced professionals. Students will receive formal training in project management and participate in guest lectures by industry experts. Students interact regularly with clients at a technical and management level. The course concludes with a comprehensive report and presentation to the client. Participation in the course is by selection. Students must apply for admission into the course by providing a copy of their resume, unofficial transcript, and a cover letter substantiating their interest in the course. More information can be found on the course website: http://team.appsci.queensu.ca/ *Replaced CHEE 400"
APSC 401,Interdisciplinary Projects,"Multidisciplinary teams of engineering, commerce, law, science, social science, and humanities students, as appropriate, undertake consulting projects with industrial, government, and not-for-profit clients. Typical project types include social innovation, process improvement, business strategy/marketing, environmental, start-ups, blue-sky, or a combination of topics which are selected based on societal and industry interests. This is a winter term course, but students will meet with their teams and client at the end of the fall term. Following a phase of self-directed problem and scope definition, students will execute their projects in groups, guided by experienced professionals. Students will receive formal training in project management, effective teaming, client interaction, and communication in professional environments. Students interact regularly with clients at a technical and management level. The course concludes with a comprehensive report and presentation to the client. Participation in the course is by selection. Students must apply for admission into the course by providing a copy of their resume, unofficial transcript, and a cover letter substantiating their interest in the course. This course is co-taught with instructors teaching the equivalent courses in other Faculties."
CHEE 400,"DELETED Technology, Engineering & Management (TEAM)","Multidiscipline teams of engineering, commerce, law, and/or science students, as appropriate, act as consultants to industrial and governmental clients. Projects include a phase of self-directed problem definition and project scope definition in the fall term, followed by project execution in the winter term. Typical projects involve evaluation of technical alternatives (with an emphasis on health, safety, and environmental), preparation of detailed recommendations, and both market and financial analysis. Project topics vary widely and are provided by a diverse list of fee paying clients. The course includes seminars on project management. There are several meetings during the fall term to organize groups and select projects, but regularly scheduled lectures do not begin until the Winter term. Teams interact regularly with clients at both a technical and a management level, and are also assigned an industrial project mentor. Students master project management skills, by managing their own budget, travel arrangements etc. The course concludes with a comprehensive report and presentation to the client. The course is managed by the Department of Chemical Engineering Changed to APSC 400 Nov 2018 Nov 2018Academic Units:Mathematics 0Natural Sciences 0Complementary Studies 42Engineering Science 0Engineering Design 42PREREQUISITE(S): Permission of the instructor"
CHEE 490,Polymer Formulations and Processing Technology,"The design and manufacture of polymer products is reviewed, with particular emphasis on material selection and processing technology. The engineering properties of elastomers, thermoplastics, adhesives, fibres and coatings are discussed in terms of processing characteristics and end-use performance. Industrial processing operations such as extrusion, molding, mixing and film manufacture are presented in detail. The design component of the course requires students to select appropriate materials and processing methods for an engineering application. Examples include medical catheters, engine gaskets, drug capsules and biodegradable packaging."
ELEC 280,Fundamentals of Electromagnetics,"A study of the fundamental aspects of electromagnetic fields. The following topics are covered: the Maxwell's equations and the 3-dimensional wave equation for transmission lines; vector analysis, including orthogonal coordinate systems, and the calculus of field quantities; electrostatic fields including the concepts of electric potential, capacitance, and current and current density; magnetostatic fields including inductance; time-varying fields and the complete form of Maxwell's equations; basic transmission line phenomena including steady-state sinusoidal behaviour and standing waves, transient performance and impedance matching."
ELEC 333,Electric Machines,"An introduction to the basic principles, operating characteristics, and design of electric machines. Topics to be studied include: three-phase circuits; magnetic circuits; transformers; steady state behaviours of dc generators and motors; rotating magnetic fields; steady state operation of induction machines and synchronous machines; introduction to fractional horsepower machines; speed control of electric motors."
MECH 330,Applied Thermodynamics II,"A continuation of MECH 230with selected topics such as gas and vapour power cycles, refrigeration, mixtures of gases and vapours, combustion and available energy."
MECH 341,Fluid Mechanics II,"A second course in fluid mechanics covering the differential form of conservation laws, boundary layer and external flows, compressible flows and the operation of rotational fluid machinery. On completion of the course students will be able to: Apply control volume analysis to mass, momentum and energy conservation; Apply differential form of mass and momentum conservation to the concept of flow field and its properties, including Navier Stokes equations; Apply stream function and velocity potential to the analysis of two-dimensional inviscid flows, and use the superposition principle to build complex flow fields from building block ingredients; Calculate drag and lift on solid bodies such as airfoils; Explain boundary layer flows, including the concept of various boundary layer thicknesses, shape factor, flow separation and the difference between laminar and turbulent boundary layers; Explain compressible flow features based on one-dimensional compressible subsonic and supersonic flows, with and without normal shock waves; Calculate design parameters of rotational fluid machinery, including centrifugal pumps and wind turbines."
MECH 361,"NOT OFFERED 2020-2021 - Project Based Engineering: Conceive, Design, Implement and Operate","This course provides academic credit for 3rd year students who take a lead role in design and implementation of an engineering device of substantial complexity that is part of a student project. The student has to demonstrate significant involvement with the project during the Fall term and be recommended by an academic advisor in order to qualify and be approved by the course coordinator. Students who are permitted to take this course will be required to ""conceive, design, implement and operate""ù a sub-system or complete competition entry using the knowledge and skills acquired in earlier courses. Successful course completion will consist of specification of function, analysis, selection of materials and/or components, preparation of working drawings, manufactured prototype, completed with a major report and poster presentation. The evaluation will be based on joint assessment by the project academic advisor and the course coordinator."
MECH 370,Principles of Materials Processing,"The basic mechanisms of mass transport and phase transformations in materials are developed from thermodynamic and kinetic principles. Topics include phase equilibria, diffusion, solidification and solid-state transformations. The application of these phenomena to materials processing methods, such as casting, forming, heat treatment and sintering is described."
MECH 371,Fracture Mechanics and Dislocation Theory,"Fracture Mechanics are developed to explain crack propagation in materials and structures. This includes development of the strain energy release rate (GIC) and the critical stress intensity factor (KIC). Emphasis will be placed on developing the correlation between microstructure control and the resistance to crack propagation which this variable produces. Dislocation theory will be evoked to analyze the stress fields of point, line and plane defects. Plasticity and fracture will be detailed, which includes the time dependent aspects of such processes as static fatigue and creep fracture."
MECH 393,Biomechanical Product Development,"This course focuses on design, manufacturing and product management of various implantable biomechanical devices, such as artificial joints, ligaments and various other external devices for persons with disabilities. Some aspects, such as the determination of the geometry and different sizes for artificial joints are product specific, while safety criteria, standards, rational choice of alternatives, design procedures and product management are applicable when designing a much larger variety of products. Much of the theory will be based on examples of artificial joints, and on external devices and instruments."
MECH 394,Frontiers in Biomechanical Engineering,"This course addresses the fundamental principles of biomechanical engineering through four introductory modules, each dedicated to one topic: biology, biomechanics, biotransport, and mechatronics. Each module introduces the background and technical principles required to understand topics in biomechanical engineering. This course content emphasizes the multidisciplinary approaches needed to understand a problem from both biology and mechanical engineering perspectives and includes guest lectures given by biomechanical engineering experts with a goal of providing students with exposure to the current biomechanical engineering research landscape. Students are presumed to have sound background in mechanical measurement, solid mechanics, kinematics and dynamics typically acquired from MECH 217, 221, 228, 321 and 328."
MECH 420,NOT OFFERED 2020-2021 - Vibrations,"Considers mechanical vibration, the problems it presents and the means of dealing with it. Completes the treatment of systems with two degrees-of-freedom (introduced in MECH 328) and proceeds to systems with higher number of degrees-of-freedom. Co-ordinate systems, types of coupling, matrix formulation, vibration absorbers and dampers, specific and hysteretic damping, Rayleigh's method, torsional vibration, Holzer method, introduction to the finite element method, beam vibration."
