Course Number,Course Name,Course Description
ENE100,Introduction to Literary Studies and University Writing Skills,"This course provides an introduction to literary studies through a range of critical approaches, national perspectives, historical contexts, literary genres, and critical terms. Students will compose persuasive arguments that demonstrate close reading skills, logical reasoning, and a competence in writing at the university level."
PSE103,Introduction to Human Psychology,"This course is designed to provide the student with an understanding of basic psychological principles. The essentials of the scientific method and its application to psychology will be presented. Concepts such as development, learning, memory, motivation, intelligence, stress and health, personality, psychological disorders, and social psychology will be discussed."
CSE101,Introduction to Algorithms and Computing,"The subject of this course is the design and implementation in a high level language of computational solutions to simple problems. The course includes basic algorithms useful in problem solving and introduces the student to computational thinking. Basic computational tools such as sequence, selection and iteration are covered as well as algorithms for tasks such as searching, sorting and pattern matching. The use of assemblers, compilers, and interpreters will be discussed as well as low-level concepts that support the execution of programs on modern computers, such as representation of data, the structure of the Von Neumann machine, and their impact on correct program execution. The student will also be introduced to software testing and program documentation."
CCE101,Introductory Chemistry,"The course is designed to present the fundamental principles of chemistry taught in the context of military science and engineering applications. The course begins with a review of stoichiometry and chemical theory of bonding (orbitals, Lewis structures, hybridization, molecular orbital theory). The course continues with the study of gases (real and ideal), acid-base equilibria, colligative properties and solubility. Chemical kinetics and nuclear chemistry are studied next. They are followed by thermodynamics, including the First and Second Laws, energy, work, heat, enthalpies of reaction, entropy changes in simple physical and chemical processes, and Gibbs free energy. The final topics are electrochemistry (redox reactions, electrochemical cells and batteries) and organic chemistry (nomenclature, functional groups, polymers). Laboratory periods in this course form an application of the topics covered by lecture material."
MAE101,Introductory Calculus,"Fall term: Introduction to real numbers. Real sequences. Functions: algebraic, exponential and trigonometric functions and their inverses. Limits, continuity and derivatives. Rules for differentiation. Main theorems of the differential calculus. L'Hôpital's rule. Applications of derivatives."
PHE104,General Physics,"Introduction to the principles of physics involved in Optics and Electricity, Mechanics."
ATE101,"Foundations of Fitness, Health and Sports","ATE101 is designed to provide students the tools they need in order to take charge of their personal fitness and health, as well as introduce them to leadership development through sports. Theoretical and practical aspects of these topics are covered. ATE101 is divided into 4 twelve-week units. Foundations of Fitness, Foundations of Health and two terms of Foundations of Sports. Foundations of Health unit is further divided into 3 four-week components including aquatics, health promotions and combatives. Students must pass all three components in order to successfully complete the course."
MAE129,Introduction to Algebra,"Introduction to sets. Vectors in 2, 3 and higher dimensions; operations on vectors; geometric applications.  Equations of lines, planes and hyperplanes.  Linear systems of equations, solution using row reduction. Matrices: matrix algebra, inverses and determinants. Solution of matrix equations. Introduction to eigenvalues and eigenvectors.  Complex numbers, arithmetic, powers and roots. Fundamental theorem of algebra, solution of polynomial equations, factorization of polynomials."
GEE167,Engineering Graphics I,"The course introduces the students to the use of engineering graphics in the engineering design process. Graphical communication and visualization are emphasized by both paper sketching and computer-aided methods. The student is introduced to computer-aided drafting and design techniques using SolidWorks 3D CAD software. Topics studied are sketching, applied geometry, solid modeling, multi-view and pictorial projection, sectional views, auxiliary views and dimensioning."
HIE207,History of Canada,"This course introduces students to the social, economic, political, and cultural history of Canada from the mid-19th century to the present day. The course emphasizes four major themes: the diversity of the Canadian experience and identity; Canada's place in the North Atlantic World; the development of the Canadian economy; and the growth and development of the Canadian state. By the end of the course, students will have a better knowledge of Canadian history and a general understanding of historiography, and will be able to produce a university level research paper."
MAE226,Multivariable and Vector Calculus,"Vector-valued functions, curves. Functions of several variables. Partial derivatives. Extreme values. Scalar and vector fields. Gradient, divergence, curl. Line and surface integrals. Green's, divergence and Stokes' theorems."
PHE205,Mechanics,"Oscillatory motion is studied including: undamped and damped harmonic motion, forced harmonic motion and resonance, damped forced oscillations, standing and progressive waves, conditions for static equilibrium in two and three dimensions, and introduction to fluid statics and fluid dynamics."
MEE233,Introduction to Manufacturing Processes,"This course presents an introduction to a wide variety of fabrication processes used in modern manufacturing such as casting, forging, composite construction, joining and rapid prototyping. Emphasis is placed on understanding the strengths and limitations of each approach. Other topics include manufacturing standards, such as fits and tolerances, geometric dimensioning and tolerancing (GD&T), engineering drawings, intellectual property and safety."
GEE241,Electrical Technology,"This course provides the fundamentals of electrical engineering, with an emphasis on the generation of electrical energy, its transmission, and its use in motors and other loads. Students completing this course will be able to analyze electric circuits and will have an understanding of the essentials of electric power. Topics include: electric circuit concepts; DC and AC circuit analysis; sources of energy, including renewable energy sources such as wind and solar energy; three-phase AC circuits; ideal transformers; synchronous generators; and synchronous, induction, single-phase, and DC motors."
GEE293,Managing Engineering Projects,"An introduction to the management of engineering resources, specifically time, money, and risk. Specific topics include: fundamentals of project management; scheduling; time-value of money; cash flows and equivalence; depreciation concepts and analysis; economic equipment replacement decision; effects of inflation; standards in engineering; financial and project risks, multi-criteria decision making; and, the engineer's responsibility towards employee health and safety."
HIE203,Introduction to Canadian Military History,A survey of the military history of Canada from the rise of New France to the present. Emphasis will be given to the evolution of the Armed Forces.
POE205,Canadian Politics and Society,"This introduction addresses political culture and socialization, federalism and the regions, parties and the electoral system, federal institutions, organization and accountability of the public service and armed forces, equity and diversity, role of the media, and Canada's place in the world."
MAE209,Probability and Statistics,"Foundations of Probability and Statistics. Brief review of set operations. Definitions and examples of sample space and probability space. Random variables, various discrete and continuous distributions. Mean, variance and general expectations. Sampling, tests of hypothesis for mean and variance, power of tests."
MAE227,Differential Equations and Infinite Series,"Ordinary differential equations: theory, methods of solution and applications of first order and higher order linear. Limit of sequences. Infinite series: definition of convergence, tests, power series, Taylor polynomials and remainder, Taylor series and applications."
MEE231,Structural Analysis and Introduction to Strength of Materials,"This course exposes students to various types of supports and external forces acting on an elastic body and to the static equilibrium equations for 2-D and 3-D structures. Calculation of reactions for structural members subjected to external forces and moments is presented. Engineering statics is further emphasized with many examples of calculations of internal forces and the concept of free body, axial, torsion, shear force and bending moment diagrams. Students acquire the ability to visualize associated deflected shapes and to perform the structural analysis of mechanisms, statically determinate and statically indeterminate struts and shafts. Properties of cross-sections are presented, including the location of the centroid and the first and second area moments. The course includes the definition and calculation of basic stress and strain components at a point due to the internal loadings found in typical mechanical and aerospace systems, such as struts, trusses, beams, frames, shafts, bolts, gears, spars, ribs, etc. Hooke's law including thermal stresses and strains is also presented. Finally, students are introduced to the calculation of 2-D and 3-D combined stresses and to the basic concept of stress transformation at a point."
MEE245,Applied Mechanics,"This course builds upon the foundations established in PHE104. The principles of kinetics and kinematics of particles are reviewed. Planar and 3D kinematics of rigid bodies is presented. Newton's Second Law, Work and Energy, and Impulse and Momentum are applied to planar and 3D rigid body kinetics. Practical engineering applications are used as examples to illustrate the theory and as problem assignments."
PSE301,Organizational Behaviour and Leadership,"This course is designed to familiarize students with basic theories, concepts, and skills related to organizational behaviour and effective leadership. Students will examine how individuals in organizations, groups in organizations, and organizational processes can be impacted by leaders in order to enhance organizational effectiveness. A special emphasis is placed on how leaders can use their knowledge and understanding of organizational behaviour to improve performance and increase the well-being of members. Major topics include motivation theories and applications, diagnosing performance discrepancies, performance feedback, power and influence, leadership theories and applications, organizational culture, organizational structure, and overall change strategies. Part of the material will be presented in a didactic form. A number of individual and group exercises will be used as a supplementary learning tool to reinforce class lectures and assigned readings. Student class participation is highly encouraged."
MAE328,"Differential Equations, Boundary Value Problems and Complex Variables",Laplace transforms and the solution of ordinary differential equations. Fourier series. Partial differential equations and the method of separation of variables. Boundary value problems. Functions of a complex variable. Practical examples applied to problems in Mechanical and Aeronautical Engineering.
MEE311,Fluid Mechanics I,"This course emphasizes the basic concepts of fluid dynamics. The course includes a study of the following: fluid properties, fluid statics, fundamental equations of fluid motion, control volume concept applied to the continuity, momentum, and energy equations, the Euler and Bernoulli equations, flow measuring devices, similitude and dimensional analysis, incompressible flow in conduits, introduction to the concepts of boundary layer in laminar and turbulent flows, external flows, and hydraulic turbo machines. The lectures are supplemented by problem assignments and experiments conducted in the laboratory, including forces on submerged surfaces, velocity measurements in internal flows, and pumps."
MEE331,Strength of Materials,"This intermediate course in strength of materials develops the relationships between stresses, strains, deformations, and external loads for linear elastic bodies in three dimensions. Emphasis is given to the following topics: stress and strain at a point, strain-displacement relationships, the principle of superposition, combined stresses, stress and strain transformation at a point, principal stresses, overall maximum shear stress using Mohr's circles for stress, strain and moments of inertia. Other topics include non-homogeneous bars, indeterminate beams in bending, non-symmetric bending of beams, shear stresses and shear flow in thin-webbed beams, concept of shear center, column buckling, failure criteria etc.."
MEE333,Metallurgy and Engineering Materials,"This course in materials science and engineering emphasizes the relationships between the structure and the mechanical properties of engineering materials. The effects of different strengthening mechanisms and thermal processing are studied. Failure mechanisms such as ductile and brittle fractures, fatigue, creep, and corrosion are covered. Emphasis is placed on properties and processing of metallic materials. The lectures are supplemented by tutorials, assignments on theory and applications, and laboratory experiments with cold working, heat-treating and metallography."
MEE351,Thermodynamics I,This course is a study of classical Thermodynamics by examining its application to practical devices such as engines and refrigeration systems. The First and Second Laws of Thermodynamics are analyzed in detail and applied to gases and two phase mixtures used in the studied devices. The lectures are supplemented by problem assignments and experiments during laboratory periods.
ATE301,"Unarmed Combatives, Military Skills and Individual Sports","ATE301 is designed to provide students basic unarmed combative skills, military fitness skills and introduce them to individual sports. In the combatives and military fitness units students are placed in environments outside of their comfort zone in order to enhance their gumption, resiliency and grit. The individual sports unit introduces them to new skills that will foster healthy and active lifestyle habits once they graduate. Students must pass all three components in order to successfully complete the course."
HIE271,Introduction to Military History and Thought,"This course is an introductory survey of military history from Antiquity to the present. It traces the development of strategic thought and the impact of new technologies. Key topics include: Ancient warfare, naval warfare, war in the Middle Ages, the gunpowder revolution, the levée en masse, the industrial revolution, the total wars of the twentieth century, air power, nuclear weapons, small wars, and limited wars. The relationship between war and society will also be examined. The course will impart to students a thorough understanding of how warfare developed in the Western World, as well as an ability to analyze war at the tactical, operational, strategic, and grand strategic levels."
MEE301,Machine Design,"Previous work in mechanics, stress analysis, and metallurgy, as well as new knowledge regarding safety factors, failure criteria, stress concentration factors and fatigue, is applied to the practical design of machinery. The course is oriented towards the specific design of various machine elements such as shafts, welds, cables, bolts, journal bearings, gears, gear trains, belt drives, brakes, etc.."
