Course Number,Course Name,Course Description
CEN 100,Introduction to Engineering,"This course is aimed at familiarizing the first year students with the basic information of the academic structure and expectations. Exposure to public and worker safety and the impact of engineering activities on health as well as safety standards and safety codes will be covered. The course also stresses integration with other first year courses. The principal objectives of the course are to provide a general introduction to the field of engineering; to convey the social, professional, and ethical responsibilities of engineers and why they are important to an engineering education; to introduce the undergraduate engineering programs available at Ryerson University; and to provide a general description of the skills needed to become a practicing engineer. Case studies in engineering are used to illustrate engineering fields and scientific principles."
CEN 199,Writing Skills,"All engineering students are required to write a mandatory Writing Skills Test (WST) administered during Orientation Week before the beginning of the first semester. Students who pass the WST (grade of 'B' or higher) may enrol in their chosen breadth elective (liberal studies) courses. Those students who do not pass the WST will be required to enrol in LNG 111, LNG 112, LNG 113, or LNG 121 as a breadth elective (lower level liberal studies) course. Students who do not pass the WST will have three additional chances to write the WST. The second test will be scheduled in May following the completion of the first year Engineering curriculum. The third and fourth WST will be administered during the next academic year Orientation Week, and again, in May. This course must be successfully completed prior to enrolling in third-year engineering courses. This course is graded on a pass/fail basis."
CHY 102,General Chemistry,"This course is intended for Engineering students. This course deals with stoichiometry, gases, liquids and solids, chemical equilibria, thermodynamics, kinetics, nuclear chemistry and electrochemistry. The treatment of these topics will emphasize problem solving and calculation."
MTH 140,Calculus I,"Limits, continuity, differentiability, rules of differentiation. Absolute and relative extrema, inflection points, asymptotes, curve sketching. Applied max/min problems, related rates. Definite and indefinite integrals, Fundamental Theorem of Integral Calculus. Areas, volumes. Transcendental functions (trigonometric, logarithmic, hyperbolic and their inverses)."
MTH 141,Linear Algebra,Systems of linear equations and matrices. Determinants. Vector spaces. Inner product spaces. Eigenvalues and eigenvectors.
PCS 211,Physics: Mechanics,"Vector forces: forces along a line, coplanar force systems - essentials of vector algebra in two and three dimensions. Moment of a force; moment of a couple; principle of moments. Free body diagrams and equilibrium conditions. Centre of mass and centroids of bodies. Rectilinear and curvilinear motion kinematics. Newton's laws and equations of motion. Friction. Work and Energy; Linear momentum and angular momentum."
CPS 188,Computer Programming Fundamentals,"This course introduces concepts, theory and practice of computer programming, using the C programming language. It serves as a foundational course for higher year programming dependent engineering courses. In-depth emphasis is on program form/organization, pseudo-code, data types, conditional expressions, repetition, standard C libraries, casting,functions, arrays, pointers, sorting, recursion, matrix operations, dynamic storage, structures, linked lists, I/O. This is a required course in Biomedical, Computer, Electrical, Industrial, and Mechanical Engineering programs. (Students in other engineering programs can enrol with permission from their respective departments.)"
ECN 801,Principles of Engineering Economics,"Engineering economics is concerned with the problem of investment decision making or capital expenditure analysis.  An ""investment"" problem involves making a decision to allocate financial resources to acquire productive assets that will generate cash flows in future time periods. Engineering economics seeks to develop and apply a logically consistent methodology for evaluating investment projects.  Discounted cash flow methods are used in analyzing such projects.  In this course we will assume certain cash flows and ignore taxation implications.  After developing the mathematics of cash flow equivalence, absolute and relative measures of project worth will be developed and applied to individual and multiple projects.  The emphasis will be on private project decisions, but similar methods will be applied to public sector projects."
MEC 222,Engineering Graphical Communication,"Introduction to technical drawing in compliance with Canadian and international standards: orthographic and auxiliary views, sections, dimensioning and tolerancing, assembly and detailed drawings. Dimensioning, standard notation symbols, drawings with off-the-shelf parts and parts lists will be covered. Labs will introduce both free-hand sketching and CAD-based methods."
MTH 240,Calculus II,"Integration techniques. L'H̫pital's Rule. Improper integrals. Partial derivatives. Infinite sequences and series, power series. First-order differential equations, with applications."
MTL 200,Materials Science Fundamentals,"Atomic structure, atomic bonding in materials, crystallinity, lattice structure. Crystal systems, x-ray diffraction, amorphous materials. Imperfections and diffusion in solids. Phase diagrams and phase transformations. Structures of metals, polymers and ceramics. Corrosion and degradation. Thermal and electrical properties of materials. (2 hr. Lab every other week)"
PCS 125,Physics: Waves and Fields,"Simple harmonic motion; motion of mechanical waves, wave speed; sound, Doppler effect, interference, standing waves, beats and resonance; gravitational fields and potential energy; electric fields and potential energy; electric potential; magnetic fields."
CMN 432,Communication in the Engineering Professions,"Communication lies at the heart of the engineering professions. This course introduces students to the unique and varied communication challenges of their discipline. Through a combination of lectures, workshops, readings, and online simulations, students are exposed to the types of communication they will engage in as professionals and given the opportunity to refine their analytical, writing, presentation, and problem-solving skills."
MEC 323,Statics and Mechanics of Materials,"Statics will cover rigid body equilibrium, including: two and three-force members, trusses, frames and machines. Mechanics of materials will cover introductory stress and strain, Hooke's Law, axial and torsional loading and statically indeterminate problems."
