Course Number,Course Name,Course Description
EES 508,Digital Systems,"Number systems, codes and coding, minimization techniques applied to design of logic systems. Component specifications. Discussion of microprocessors, memory and I/O logic elements. Microcomputer structure and operation. I/O modes and interfacing. Machine language and Assembler programming. Design and application of digital systems for data collection and control of pneumatic hydraulic and machine systems. Laboratory work includes the use of microcomputers."
EES 612,Electric Machines and Actuators,"The single-phase transformer and its applications. DC and AC motor characteristics, and their application in mechanical drives. Power electronic circuits, H bridges, PWM control, interfacing, power amplifiers. DC servo and stepper motors, AC synchronous and induction motors. Transformers. Introduction to typical speed and torque control techniques of motors."
MEC 430,Solid Mechanics I,Stresses and deflections; statically indeterminate problems. Stress transformation; principal stresses; Mohr's Circle; theories of failure. Flexural analysis; the method of superposition; design of beams and shafts for strength. Columns: Euler's formulae for buckling; various end attachments; transition slenderness ratio; the parabolic formulae; eccentric loading and the secant formulae.
MEC 514,Applied Thermodynamics,"Rankine cycle, steam turbine cycles, reheat and regenerative feed-water heating. Gas turbine cycles, regenerators. Combustion, stoichiometric, lean and rich mixtures. Nozzles. Convergent and convergent-divergent nozzles. Principles of vapour compression refrigeration cycles. Basic air-conditioning processes."
MEC 516,Fluid Mechanics I,"Dimensions and units, continuum fluid mechanics. Properties of fluids. Fluid statics, the standard atmosphere. Manometry and pressure measurement. Forces on submerged planes. Flow characteristics: laminar and turbulent flow, steady and unsteady flow, streamlines. Flow analysis: control volume/control system and differential approaches for mass, momentum and energy conservation. Applications of the conservation equation, Euler and Bernoulli equations. Dimensional analysis, similitude and model testing. (2 hr. Lab every other week)"
MTH 510,Numerical Analysis,"Review of Taylor's formula, truncation error and round off error. Solutions of Non linear Equations in one variable. Linear Equations. LU-decomposition. Eigenvalues and eigenvectors. Jacobi, Gauss-Seidel methods. Interpolation and curve fitting. Numerical integration. Numerical solution of ordinary differential equations. (Initial value problems.)"
MEC 411,Mechanics of Machines,"Dynamics of complex, multi-component systems; gears, simple, compound and epicyclic gear trains; power screws and belt drives; flywheels and gyroscopes."
MEC 613,Machine Design I,"Review of stress analysis procedures; combined stresses; simple Design Factor approach; Variable loads and stresses with stress concentrations; bolts, bolted joints and springs; shaft and bearing design; brakes and brake systems; welded joints."
MEC 701,Heat Transfer,"A fundamental course in heat transfer including conduction, convection and radiation. Analytical, graphical and numerical solutions for conduction in the steady and unsteady state. Experimental and analytical techniques in convection. Basic ideas in black and gray surface radiation including the effect of geometry. Heat exchanger theory and design, including compact heat exchangers. (2 hr. Lab every other week)"
MEC 709,Control Systems,"Mathematical model representation of physical control systems which involve mechanical, hydraulic, pneumatic and electrical components. Open and closed-loop control system analysis. Block diagram algebra. First, second and higher order system stability analysis using techniques such as: Bode diagrams, Routh-Horowitz analysis, Root Locus analysis. Introduction to system compensation such as Lead-Lag Compensators."
MEC 721,Vibrations,"The dynamic behaviour of vibrating mechanical systems is studied. Topics include: Single degree of freedom systems in free and forced vibration, with and without damping. Instrumentation for vibration measurement. Vibration isolation. Vibration of multi-degree of freedom and continuous systems. Introduction to sound and acoustics, with emphasis on the prediction and abatement of industrial noise. Acoustics of enclosures and barriers. Noise control criteria."
MEC 733,Microprocessor Systems,"This course introduces industrial microprocessor systems with emphasis on software and integration. Introduction to Microprocessor-based Systems. Introduction to Digital Systems: Digital Logic and design of logic networks. Microprocessor architecture and structure 8, 16, and 32-bit systems. Assembly language and high-level languages. Basic input/output serial and parallel communications overview of single-chip microprocessors and controllers. Memory design and analysis. The internal structure and design of peripheral devices. Hardware and software timing. Interrupts and exceptions. Use of compilers, assemblers, simulators. Case studies will include sample microprocessor system studies."
MEC 751,"Measurements, Sensors and Instruments","Application of modern instrumentation to experimental measurements of mechanical and thermal systems is covered in this course. Fundamental concepts of static and dynamic measurements are reviewed. Transducers, signal conditioning, data transmission, and digital data acquisition systems are discussed."
MEC 830,Mechatronics Systems Design,"This course provides a focused interdisciplinary theme for electromechanical systems design. Introduction to Mechatronic Systems. Modeling and simulation of physical systems. Review of Electrical and Computer Engineering fundamentals. Review of Analog signal processing using Amplifiers, Integrators, Differentiators, Comparators, Sample and Hold circuits. Review of Digital Circuits: binary logic, Karanaugh Maps, flip-flops, time, trigger, counter. Real-time interfacing: data acquisitions, A/D, D/A, I/O. Signal conditioning. Sensors and Traducers. Actuators. Microprocessor-based control. Mechatronic systems case studies."
ELE 719,Fundamentals of Robotics,"This course provides a comprehensive treatment on the fundamentals of robotic manipulators and mobile robots. Topics include: homogeneous transformations, the Denavit-Hartenberg representation of linkages, solution of the forward kinematics problem. Closed-form and numerical solutions of the inverse kinematics problem. Differential kinematics and motion, Jacobian matrix, singularities. Kinematic and dynamic model of mobile robots. Path planning, trajectory planning and motion control for mobile robots."
MEC 617,Manufacturing System Control,"This course introduces the fundamental elements of industrial automation control logic systems using fluid power and microprocessor based circuits, standard sensor technology and peripheral equipment. Industrial operation circuits are studied and designed using Boolean Algebra for the combinational and sequential logic requirements. These circuits are constructed and tested on pneumatic and electronic-pneumatic (i.e. Programmable Logic Controller) equipment. Circuits are documented using ANSI circuit symbology and PLC software."
MEC 626,Applied Finite Elements,"Fundamentals of finite elements method will be explained. Direct stiffness method. Application of finite elements to stress, heat transfer and fluid mechanics. Trusses, beams, frames and plate elements will be introduced. Applications using engineering software. (2 hr. Lab every other week)"
MEC 713,Project Management,"The objective of this course is to examine the fundamentals of project management within a life-cycle approach, i.e., from idea generation to termination/close phase. It treats human, mathematical, engineering and managerial issues surrounding project management to equip students with tools to effectively manage engineering projects. This course will cover topics such as: project screening and selection, evaluation methods of projects, project structures, management and control, project scheduling, resource management, life-cycle costing, research and development projects, computer support for project management, and project termination. (Equivalent to IND 713)"
MEC 813,Flexible Manufacturing Systems,"This course provides students with an overview of the planning, design, implementation, and control of flexible manufacturing systems. It discusses the concept of flexible manufacturing and types of manufacturing systems such as cellular manufacturing and the application of various artificial intelligence techniques to the design of cellular manufacturing systems. It also includes an overview of the basic components of flexible manufacturing systems: selection of automated material handling systems, part type selection and tool allocation models, workpieces and tools routing, capacity planning, and scheduling for flexible manufacturing systems. (Equivalent to IND 810)"
CEN 800,Law and Ethics in Engineering Practice,"Study of the legal and ethical aspects of engineering practice, including Canadian legal system and business organizations, tort liability, business contract law, intellectual and industrial property, principles of arbitration and alternative dispute resolutions, the practice of engineering, occupational health and safety, ethical aspects of engineering practice, ethical dilemmas in project management, sustainable development and ethical behaviour, and globalization and international standards for ethical and social responsibility."
ELE 709,Real-Time Computer Control Systems,"This course deals with practical techniques for the specification, design and implementation of real-time computer control systems. Topics include: overview of computer control strategies; introduction to real-time systems; hardware and software requirements; implementation of digital control algorithms; design of real-time computer control systems; design analysis; considerations for fault detection and fault tolerance. The lab work and project require solid background in C programming."
MEC 825,Mechanical Design,"Integrated design of mechanical or electromechanical products or systems. Working in teams, students will develop design solutions to applied problems. Methods of collaborative engineering will be emphasized. Design methods to address function, form, manufacturability, cost, environmental impact, safety, reliability, integrity and other factors will be treated. A formal technical report and oral presentation will be made at the end of the term."
ELE 819,Control of Robotic Manipulators,This course deals with motion and force control and visual servoing of robotic manipulators. Topics include: Dynamics: Euler-Lagrange and Newton-Euler formulations. Path and trajectory planning. Motion and interaction control of robotic manipulators. Visual servoing for robotic manipulators.
ELE 888,Intelligent Systems,"Machine learning and pattern classification are fundamental blocks in the design of an intelligent system. This course will introduce fundamentals of machine learning and pattern classification concepts, theories, and algorithms. Topics covered include: Bayesian decision theory, linear discriminant functions, multilayer neural networks, classifier evaluation, and an introduction to unsupervised clustering/grouping, and other state-of-the-art machine learning and AI algorithms."
MEC 809,Integrated Manufacturing,"This course covers integrated manufacturing from CAD to CAM. Topics to be covered include: Computer Aided Process Planning, Production Planning and Control, Material Handling, Manufacturing Databases, Quality Control, Information Flow and Networks. Robot topics such as, sensors, actuators, kinematics and dynamics, motion control, programming and advanced applications will be investigated. Course work will consist of assignments, projects and laboratories. (Equivalent to IND 715)"
MEC 816,Topics in Manufacturing Engineering,"This course exposes the student to relevant topics in Manufacturing Engineering. The topics include but are not limited to: the interpretation of design intent in engineering drawings, GD and T, dimensional metrology, concepts of process capability, statistical process control, and other quality control methods. Design of small tools, jigs, fixtures, and functional gages will also be presented."
MEC 832,Reliability and Decision Analysis,"The purpose of this course is to present analytical approaches to reliability engineering, decision analysis and risk assessment. In the first part of the course, students will be introduced to reliability functions, reliability distributions, analysis of failure data, reliability of systems, design for reliability, maintenance, reliability testing. The focus of the second part of the course is placed on the methodology to model, construct, solve and interpret various decision problems. Decision tree, value of information, risk assessment, utility theory, and multiple objective decision-making will be presented."
