Course Number,Course Name,Course Description
ENGR 401,Bioinstrumentation,"Bioinstruments used for tracking vitals, diagnosis, and treatment of disease in the vascular, muscular, nervous, and respiratory systems. Introduction to the fundamentals of each body system, electrical safety, signal acquisition, biosensors, transducers, amplifiers, and analysis of human physiological measurements. Hands on experience with sensors, biomedical devices, and design through labs. [3-2*-0] Prerequisite: All of APSC 193, APSC 254."
ENGR 406,Microelectromechanical Systems,"Mechanisms, design, fabrication, and testing of microsensors, actuators, and MicroElectroMechanical systems (MEMS).  Credit will not be granted for both ENGR 406 and ENGR 506 [3-2*-0] Prerequisite: Fourth-year standing in the B.A.Sc. Program"
ENGR 458,Power Electronics,"Applications and roles of power electronics, power semiconductor devices, diode rectifiers, phase-controlled rectifiers, DC-DC converters, DC-AC converters, resonant converters. Examples drawn from residential and industrial applications. Credit will be granted for only one of ENGR 458 or ENGR 558. [3-2*-0] Prerequisite: ENGR 320."
ENGR 475,Materials Selection and Design,"Review of materials classifications, ASTM standard for ferrous materials and non-ferrous alloys. Material property charts. Materials selection and material indices. Introduction to various materials processing. Process selection and materials selection with multiple constraints and objectives, cost analysis. [3-0-1*] Prerequisite: All of APSC 259, ENGR 376."
ENGR 482,Biomedical Engineering I,"Introduction to the microcirculation; gas exchange in organs, including diffusion, perfusion and ventilation; surface energy in biological systems; principles of hemodynamics including vascular resistance and flow regimes at different levels of organs, tissues and cells; principles of tissue mechanics; introduction to tissue engineering; introduction to medical devices design and development. [3-0-0] Prerequisite: Fourth-year standing"
ENGR 484,Heat and Mass Transfer,"Heat exchanger design, heat transfer with phase change, radiation heat transfer, steady and transient mass diffusion, convective mass transfer, simultaneous heat and mass transfer. Credit will be granted for only one of ENGR 484 or ENGR 584. [3-0-0] Prerequisite: All of ENGR 310, ENGR 385."
ENGR 491,Computational Fluid Dynamics,"Computational fluid dynamics theory and methods for the numerical simulation of heat and fluid flow. Governing equations, meshing strategies and mesh requirements, finite difference methods, finite volume methods, solution of algebraic systems of equations, compressible flows, turbulence modelling. [3-0-0] Prerequisite: ENGR 310."
ENGR 450,Clinical Engineering,"The clinical environment, clinical tools (for screening, diagnostics, treatment, monitoring, and rehabilitation) and regulatory requirements. [3-2*-0] Prerequisite: APSC 193 and fourth-year BASc standing."
ENGR 454,Motor Drive Systems,"Three-phase AC/DC PWM inverter, converter modulation techniques, abc/qd reference frame theory, brushed DC machine drives, induction motor drives, permanent magnet AC machines, brushless dc motors and drive circuits. [3-2*-0] Prerequisite: ENGR 320."
ENGR 469,Polymer Engineering,"Introduction to polymer science and technology, molecular structure of polymers, polymer synthesis, structure-property relationship in polymers, physical properties of polymers, reinforced polymers, polymer composites and nanocomposites, polymer characterization, polymer processing, and forming. [3-0-0] Prerequisite: All of APSC 259, APSC 260."
