Course Number,Course Name,Course Description
MATH 254,Multivariable and Vector Calculus for Mechanical Engineering,"Partial differentiation, extreme values, multiple integration, vector fields, line and surface integrals, the divergence and Stokes' theorems; applications to fluid mechanics: buoyancy, hydrostatic force, pipe flow, drag; applications to thermodynamics: work, entropy, heat transfer; numerical methods. Emphasis on mechanical engineering applications. [3-0-1*] Prerequisite: MATH 101 and one of MATH 152, MATH 221, MATH 223. Corequisite: All of MECH 222, MECH 225."
MATH 258,Differential Equations for Mechanical Engineering,"First-order equations; linear equations; linear systems; Laplace transforms; trajectory analysis of plane nonlinear systems; translational and rotational vibrations; applications to RLC circuit analysis; numerical and graphical methods. Emphasis on mechanical engineering applications. [3-0-1*] Prerequisite: MATH 101 and one of MATH 152, MATH 221, MATH 223. Corequisite: All of MECH 221, MECH 224."
MECH 220,Technical Skills Practicum,"Engineering graphics, spatial visualization, CAD, equation solvers, machine shop practice, electronic circuit construction and troubleshooting, elements of engineering science. This course is not eligible for Credit/D/Fail grading. [1-3-3] Prerequisite: All of APSC 160, MATH 101, MATH 152, PHYS 158, PHYS 170 and one of APSC 100, APSC 150, APSC 151 and one of BMEG 102, PHYS 159 and one of APSC 176, ENGL 112, WRDS 150. Corequisite: MECH 221."
MECH 221,Engineering Science I,"Rigid body kinetics and kinematics, basic electrical circuits, work and power, stress and strain, torsion, bending, engineering materials, probability and statistics. This course includes the content of ELEC 203. This course is not eligible for Credit/D/Fail grading. [11-2-1] Prerequisite: All of MATH 101, MATH 152, PHYS 158, PHYS 170 and one of BMEG 102, PHYS 159 and one of APSC 176, ENGL 112, WRDS 150. Corequisite: All of MECH 220, MECH 224."
MECH 222,Engineering Science II,"Fluid properties, equations of state. Pressure, buoyancy, hydrostatic forces. Conservation of mass, momentum, and energy. Work and heat; internal energy and enthalpy. Bernoulli's equation. Dimensional analysis, modelling. Turbulent flow in pipes; turbomachinery. Second law and the Carnot cycle; entropy; first and second law analysis of systems. This course is not eligible for Credit/D/Fail grading. [5-2-1] Prerequisite: All of MECH 220, MECH 221. Corequisite: All of MECH 223, MECH 225."
MECH 223,Introduction to the Mechanical Design Process,"Design methodology, synthesis and analysis. Design projects representing both mechanical mechanism design and thermofluid systems. This course is not eligible for Credit/D/Fail grading. [3-8-0] Prerequisite: All of MECH 220, MECH 221. Corequisite: MECH 222."
MECH 224,Integration of Engineering Concepts I,"Integration of the theory and practice of Mechanical Engineering to illustrate the commonality and conceptual connectivity of seemingly different technical areas. Emphasis on dynamics, solid mechanics, materials, electronics, and mathematics. This course is not eligible for Credit/D/Fail grading. [1-0-1] Corequisite: MECH 221."
MECH 225,Integration of Engineering Concepts II,"Integration of the theory and practice of Mechanical Engineering to illustrate the commonality and conceptual connectivity of seemingly different technical areas. Emphasis on thermodynamics, fluid mechanics, and mathematics. This course is not eligible for Credit/D/Fail grading. [1-0-1] Corequisite: MECH 222."
MECH 226,Technical Communication for Mechanical Engineers,"Written and oral communication. Preparation of design reports, business correspondence, verbal, online, and visual presentation of technical material.  Restricted to students in the second year of Mechanical Engineering. This course is not eligible for Credit/D/Fail grading. [1-0-1;1-0-1] Prerequisite: A score of 65% or higher in one of ENGL 112, WRDS 150, APSC 176. Corequisite: All of MECH 220, MECH 221, MECH 222, MECH 223, MECH 224, MECH 225."
MECH 227,Approaches to Technical Communication for Mechanical Engineers,"Written and oral communication. Preparation of design, business correspondence, verbal, online and visual presentation of technical material. Focus on the linguistic structure and style of technical communication. Restricted to students in Mechanical Engineering. Credit will be granted for only one of MECH 226 or MECH 227. This course is not eligible for Credit/D/Fail grading. [3-0-4] Prerequisite: MECH 220 and one of APSC 176, ENGL 112, WRDS 150."
