Course Number,Course Name,Course Description
APSC 461,Global Engineering Leadership,"Introduction to concepts, theory, and practice of engineering leadership, including characteristics; individual and cultural differences, service and management contexts; managing change, conflicts, and crises; real-world ethics and core values. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: Completion of third year."
MECH 386,Industrial Fluid Mechanics,"Analysis of piping networks. Review of pumps, turbines and hydraulic motors. Flow measurement devices such as flow meters and transducers for measuring velocity and pressure. Multiphase flows. Introduction to turbulence, mixing and buoyancy driven flows. This course is not eligible for Credit/D/Fail grading. [3-1-0] Prerequisite: MECH 380."
MECH 410,Special Topics in Mechanical Engineering,Lectures and readings on specialized topics of current interest in Mechanical Engineering. This course is not eligible for Credit/D/Fail grading.
MECH 435,Orthopaedic Biomechanics,"Musculoskeletal anatomy. Muscle and joint loads. Muscle mechanics. Musculoskeletal dynamics. Gait. Tissue mechanics of tendon, ligament, articular cartilage, and bone. Biomaterials. Application examples in orthopaedics including joint replacement and fracture fixation. Students who have received credit for BMEG 230 or 330 cannot also receive credit for MECH 435. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: Either (a) MECH 221 or (b) all of APSC 278, MECH 260."
MECH 436,Fundamentals of Injury Biomechanics,"Introduction to injury biomechanics. Anatomy. Impact experiments. Multi-body dynamic simulation and finite element analysis. Skull, face, brain, spine, eye, pelvis, abdomen, and extremity injury. Anthropomorphic test devices, seat belts, airbags, child restraints, and helmets. Credit cannot be obtained for both MECH 436 and MECH 536. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: MECH 360 and one of MECH 224, BMEG 330."
MECH 460,Advanced Mechanics of Materials,"Axisymmetric membrane stresses in thin shells of revolution, stresses in thick-walled cylinders and rotating disks, beams on elastic foundations, axisymmetric bending of cylindrical shells, axisymmetric bending of circular plates. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: MECH 360."
MECH 470,Energy Conversion Systems,"Energy supply and demand. Energy conversion chain. Electrical power generation using thermal power plants, renewable energy, and fuel cells. Rankine cycle steam power. Brayton cycle gas turbine power plants, intercooling, reheat, and regeneration. Internal combustion engines. Exhaust gas after treatment. Combined and binary cycles. Nuclear power. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: All of MECH 327, MECH 375."
MECH 473,"Heating, Ventilating and Air Conditioning","Principles of air conditioning; psychometrics and refrigeration. Heat transfer through building materials. Estimation of heating and cooling loads including the use of current software. System design. Ground, air and water source heat pumps. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: MECH 375."
MECH 477,Aerospace Propulsion,"Cycle analysis of jet engines, thermodynamic cycles, mechanics and thermodynamics of combustion, components and the performance characteristics of chemical rockets. The detailed analysis of operating characteristics of turbojet, turbofan, turboprop, afterburning, and ramjet propulsion systems. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: All of MECH 327, MECH 375, MECH 380."
MECH 479,Introduction to Computational Fluid Dynamics,"Techniques for numerical solution of ordinary and partial differential equations, including an introduction to the finite difference, finite volume and finite element approaches. Simulation of laminar and turbulent flows, including common turbulent models. Validation techniques. This course is not eligible for Credit/D/Fail grading. [3-1-0] Prerequisite: MECH 380."
MECH 481,Aerodynamics of Aircraft I,"Analysis of airfoils and wings. Potential flow, thin airfoil theory, lifting line analysis of wings. Predicting viscous drag. Numerical methods for analysis and design of airfoils and wings. Use of wind tunnels for experimental study of aerodynamics. This course is not eligible for Credit/D/Fail grading. [3-1*-0] Prerequisite: MECH 380."
MECH 485,Aircraft Design: Structures,"Structural components of aircraft, introduction to the finite element method, bending and buckling of thin plates. Design of aircraft wing and fuselage structures, moments of inertia for complex shapes. This course is not eligible for Credit/D/Fail grading. [3-0-1]"
MECH 488,Introduction to Ship Hydrodynamics,"Ship terminology, lines plans, ship hydrostatics, transverse and longitudinal stability of ships, dimensional analysis, ship resistance prediction; ship propulsion methods, propeller selection and design. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: One of MECH 380, CIVL 315 or permission of instructor."
MECH 491,Computer-Aided Manufacturing,"NC programming and machining with interactive CAD/CAM systems. Curve and surface geometry for tool-path generation. Tool-path generation methodologies. Geometric modelling techniques for simulation and verification of manufacturing processes. Introduction to Computer-Aided Process Planning. Supplementary tutorial laboratory experiments. This course is not eligible for Credit/D/Fail grading. [2-2-0] Corequisite: One of MECH 392, MANU 380."
MECH 493,Introduction to Academic Research,Research project directed by a faculty member in Mechanical Engineeing. This course is not eligible for Credit/D/Fail grading. [0-5-1] Prerequisite: Fourth-year standing and at least 80% average in third-year courses and permission of instructor.
MECH 502,Fluid Mechanics,"Governing equations; viscous incompressible flow, incompressible potential flow; incompressible boundary layers, stability and turbulence; compressible potential flow. This course is not eligible for Credit/D/Fail grading."
MECH 433,Biofluids,"Review of principles, Navier-Stokes equations, biorheology, circulatory biofluid mechanics, synovial fluid in joints, biofluid dynamics of the human brain, respiratory biofluid mechanics, flow and pressure measurement techniques in human body. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: Either (a) MECH 225 or (b) one of MATH 255, MATH 256 and one of CHBE 251, CIVL 215, MECH 280."
MECH 445,Fuel Cell Systems,"Energy system architecture and electrochemical energy conversion: fuel cell thermodynamics and electrochemistry; Proton Exchange Membrane Fuel Cells (PMFCs) and Solid Oxide Fuel Cells (SOFCSs); hydrogen production, storage, and distribution. Credit cannot be obtained for both MECH 445 and MECH 545. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: All of MECH 327, MECH 375."
MECH 462,Finite Element Analysis,"Theory and element selection. Virtual work and weighted residual formulation. Linear elastic analysis. Heat transfer analysis. Isoparametic elements. Development of computer programs for simple problems. Utilization of existing computer packages. Application to mechanical engineering problems. This course is not eligible for Credit/D/Fail grading. [2-3*-0] Prerequisite: Either (a) all of MECH 360, MECH 375 or (b) all of MECH 360, MTRL 264."
