Course Number,Course Name,Course Description
Aerospace Engineering 410,Aerospace Analysis and Design,"Basics of aircraft performance. Topics include: equations of motion; forms of drag; thrust and power; aircraft configuration; weight estimates; and sizing. Teams will design, build and fly a remotely piloted aircraft designed to achieve a certain mission requirement. Students will present their designs with formal design reports and flight demonstrations."
Aerospace Engineering 411,Avionics and System Design,"Introduction to avionics (aviation electronics) in modern aerospace vehicle systems. Impact on vehicle design and performance. Topics include: basic concepts of communication, navigation and surveillance (CNS); radio navigation systems; inertial navigation systems; principles of radar systems; and major communication networks. Students will attain a broad understanding of flight instrumentation, computer control of aircraft, flight control algorithms and system-level analysis. Issues of human-computer interaction will also be discussed."
Electrical Engineering 301,"Instrumentation, Sensors and Interfacing","An introduction to essential elements of instrumentation and sensing technology. Topics include embedded system programming, basic inputs such as sensors, switches, and keyboards; basic outputs such as motors, relays, LEDs, displays, and speakers; associated circuitry for inputs and outputs; the basics of communications between devices; and power supplies such as linear, switching, and batteries. Topics will be reinforced through weekly hands-on labs."
Engineering 501,Senior Capstone Design Project I,"A team-based design course in which students apply the knowledge and skills acquired in earlier courses while refining their skills in teamwork and project management. Students work towards innovative, solutions to industry-sponsored design projects, and engage in individual critical reflection on their course activities, team performance, and on their growth as an engineering designer within their undergraduate program."
Engineering 502,Senior Capstone Design Project II,"A continuation of the capstone design project, where student teams build on their design work in Part I."
Geomatics Engineering 333,Computing for Geomatics Engineers,"Review of procedural programming and introduction to object-based programming using high level compiled and interpreted languages. Binary and ASCII File I/O, use of function libraries and class libraries. Construction of simple classes. Inheritance and polymorphism. Programming for Geomatics Engineering applications. Visualization and data representation."
Computer Engineering 511,Embedded System Interfacing,"Review of computer architecture; microcontrollers and their instruction sets; interfacing using common input/output devices, debugging and other software engineering practices, strategies for interrupt handling and exception handling; Interfacing using high level and assembly languages; software and hardware optimizations to achieve real time operations; real time operating systems; Embedded real-time applications."
Electrical Engineering 519,Special Topics in Electrical Engineering,Current topics in electrical engineering.
Electrical Engineering 503,Computer Vision,"Introduction to the fundamentals of image processing and computer vision. Image/video acquisition and raw data matrix manipulation; image processing operations and compression methods; object detection, isolation, and classification; 3D tracking and ego-motion with projective transformations."
Electrical Engineering 541,Control Systems II,"Introduction to sampled-data control systems, discretization of analog systems, discrete-time signals and systems, causality, time-invariance, z-transforms, stability, asymptotic tracking, state-space models, controllability and observability, pole assignment, deadbeat control, state observers, observer-based control design, optimal control."
Electrical Engineering 569,Electronic Systems and Applications,Introduction to electronic systems; the four elements of electronic monitoring systems; system modelling; sensors; amplifiers; noise characterization; power supplies; frequency conditioning; active filters; analog to digital conversion and anti-aliasing requirements; multichannel data acquisition; real-time conditioning of signals; real-time control.
Electrical Engineering 574,Microwave Engineering,"Modelling and analysis of lumped and distributed RF networks, analysis and design of passive structures and impedance matching networks, S parameters, linear modelling of transistors. Power, noise and distortion calculations for communication transceivers, analysis and design of wireless radio link and satellite communication link. Theory, analysis and design of small signal amplifiers, low noise and balanced amplifiers. Prototyping using printed circuit board technology, introduction to Computer Aided Design (CAD) tools and Computer Aided Testing Equipment."
Software Engineering 401,Software Architecture,Software architectures and design for non-functional software properties. Introduction to program comprehension skills including analysis of existing architectures.
