Course Number,Course Name,Course Description
Chemistry 379,Materials Chemistry for Engineers,An introduction to materials chemistry with industrial applications. Theories of chemical bonding and the relationship between chemical structure and observable properties. Chemical and physical properties of mixtures and interfaces. Structure and applications of polymers and soft materials.  
Digital Engineering 319,"Probability, Statistics and Machine Learning","Presentation and description of data, introduction to probability theory, Bayes' theorem, discrete and continuous probability distributions, estimation, sampling distributions, tests of hypotheses on means, variances and proportions; Introduction to fundamental machine learning including linear regression, classification and correlation. Applications are chosen from engineering practice from all disciplines. Course Hours: Prerequisite(s): Antirequisite(s): Also known as: "
Digital Engineering 407,Computational Numerical Methods,"Numerical computational procedures to solve engineering problems. Introduction to computational libraries that support matrix operations. Developing and implementing programs for: solution of linear and non-linear equations, curve fitting, solution of the algebraic eigenvalue problems, interpolation, differentiation, integration and solution of differential equations. The course will include the programming projects that address comprehensive engineering problems. Algorithm development and application labs. "
Engineering 311,Engineering Thermodynamics,"Energy, thermodynamic systems, properties and state, temperature and the zeroth law, equilibrium, properties of the pure substance, equations of state. Work, reversibility, heat, first law, specific heats, enthalpy, ideal gas, flow systems. Entropy and the second law, Carnot cycle, thermodynamic temperature scale, process efficiencies, cycles, calculation of entropy change, exergy analysis."
Engineering 349,Dynamics,"Kinematics of particles and rigid bodies: rectilinear, curvilinear and general plane motion. Kinetics of particles and planar rigid bodies: Newton's 2nd Law, Principle of Work and Energy, Principle of Impulse and Momentum. Introduction to three dimensional rigid body dynamics."
Manufacturing Engineering 417,Manufacturing and Production Processes,"The role and characterization of manufacturing technology within the manufacturing enterprise. Overview of deformation processes, joining processes, consolidation processes, material-removal processes, and material alteration processes. Process selection and planning."
Mechanical Engineering 101,Mechanical and Manufacturing Engineering Block Course,"Special topics in Mechanical and Manufacturing Engineering. Research and industry presentations, software training, informational sessions, and field trips as resources permit."
Mechanical Engineering 317,Mechanics of Deformable Solids I,"Review of axial-force, shear-force, bending moment and torque diagrams. Review of vector and matrix algebra. Kinematics of deformation and strain. Concept of stress. Constitutive equations. The states of plane stress and plane strain. Solutions to elementary elasticity problems - axial force, torsion, bending, shear force. Deflection of beams. Euler buckling. Yield criteria."
Mechanical Engineering 337,Computing Tools for Engineering Design,"The application of computer tools to solve practical engineering problems; advanced engineering computing including algorithm development, debugging, and verification and interpretation of results; mathematical modelling using high-level programming languages and fundamentals of numerical analysis; introduction to data analysis using machine learning concepts."
Mechanical Engineering 339,Engineering Graphics and CAD,"Technical sketching. Orthographic projections. Multiviews, auxiliary views and section views. Dimensions and tolerances. Working drawings. Design applications. Computer-Aided Design (CAD) software is used for 3D modelling and 2D drawing."
