Course Number,Course Name,Course Description
Software Engineering for Engineers 310,Fundamentals of Software Design and Development,Introduction to design and implementation of software systems for engineering applications. Software design lifecycle. Source code management systems. Debugging and testing techniques. Illustration of common data structures and fundamental algorithms using a high-level language. Libraries for input/output. Software tools to facilitate data analysis and visualization.
Software Engineering for Engineers 311,Advanced Software Design and Development,"Principles of software modeling and design. Key elements of object- oriented design. Advanced topics such as concurrent programming, socket programming, event-driven programming, and database programming. Systems integration techniques to build practical applications from engineering domains."
Software Engineering for Engineers 410,Fundamentals of Applied Artificial Intelligence,"Techniques for extracting, cleaning, and visualizing data from engineering applications. Basic numerical computation techniques underlying learning algorithms. Fundamental supervised and unsupervised learning algorithms. Emphasis will be on designing practical applications that leverage existing software libraries and frameworks to solve problems in various engineering disciplines."
Software Engineering for Engineers 411,Advanced Applied Artificial Intelligence and Machine Learning,Advanced supervised and unsupervised learning algorithms. Introduction to modern neural network architectures. Emphasis will be on designing practical applications that leverage existing software libraries and frameworks to solve engineering problems.
Software Engineering for Engineers 510,Cyber-Physical Systems,"Fundamental principles related to the design of cyber-physical systems. Techniques to ensure reliability, performance, and security of cyber-physical systems. Emphasis will be on developing practical applications from engineering domains."
Software Engineering for Engineers 511,Industrial Internet of Things Systems and Data Analytics,Fundamentals of Industrial Internet of Things (IIoT) Systems. Digital and software frameworks to support IIoT data analytics.
Chemical Engineering 537,Computational Thermodynamics,"Amalgamation of thermodynamic models and computational techniques with application to industrially important thermodynamic problems such as multi-component flash calculations, reacting systems, phase stability and gas hydrates."
Chemical Engineering 561,Machine Learning for Energy Systems,"Applications of Machine Learning, Artificial Intelligence and Optimization in Energy Systems. Review of Statistics, Probability and Data Science Concepts; Supervised and Unsupervised Learning in Python including Regression and Clustering; Data Engineering for Data Filtering and Feature Selection; Optimization. Focus on Application to Problems in the Energy Industry."
Chemical Engineering 565,Process Sensors and Data Acquisition,"Introduction to chemical engineering sensors and information processing techniques. Basic concepts of process measurement methods and signals. Data acquisition hardware and software. Identifying errors and uncertainties in process measurements. Filtering and smoothing of process signals. Introduction to Fourier analysis. Devices for measuring temperature, pressure and chemical composition. Common failure modes and error sources. Process instrument calibration."
Electrical Engineering 503,Computer Vision,"Introduction to the fundamentals of image processing and computer vision. Image/video acquisition and raw data matrix manipulation; image processing operations and compression methods; object detection, isolation, and classification; 3D tracking and ego-motion with projective transformations."
Electrical Engineering 573,Computer Networks,Overview of the network protocol stack. Reliable communications over a link; medium access; packet routing; the transport and application layers. Data and network security. Internet and telecommunications packet network architectures. Mathematical network analysis and network performance software tools.
Electrical Engineering 592,Undergraduate Research Thesis I,"A directed studies research project in an area of interest, directed by a project advisor/faculty member. Includes an independent student component covering the scientific process, ethics, review of literature, and writing scientific proposals and manuscripts. Projects may involve experimental, analytical or computer modelling studies."
Engineering 515,Project Management for Engineers,"Covers the application of project management principles such as planning, scope development, design, procurement, construction, commissioning and start-up to engineering projects. Class reviews aspects of a current major engineering projects and case studies."
