Course Number,Course Name,Course Description
"Energy and Environment, Engineering 355",Introduction to Energy and the Environment,"History of energy technologies, energetics of natural systems and agriculture, formation, extraction, and transformations of fossil fuels, renewables such as biomass, solar and wind; and the electricity system, environmental impacts of energy systems, technical options for transforming energy systems to reduce environmental impacts."
"Energy and Environment, Engineering 377",Introduction to Environmental Engineering and Sustainability,"Theory and practice of environmental engineering. Theory and practice of sustainable development, with a multidisciplinary approach, including components such as engineering, economics, carbon foot-print, policy planning, social license. Comparison of the roles of environmental engineering and sustainable development in society. Environmental and sustainability focused ethics issues including Indigenous engagement, treaty rights and Indigenous rights. Indigenous environmental perspectives. "
Energy Management 301,Electricity Regulation,"An examination of energy development and the business, law and policy issues arising from the development of different electricity sources (nuclear and renewable energy sources)."
Science 529,"Project Course in Sustainable Energy, Environment and Economy","Intended to achieve integration across the interdisciplinary energy, environment and economy programs."
Chemical Engineering 530,Electrochemical Engineering,"Electrochemical kinetics and thermodynamics. Mass transport in electrochemical cells. Design and modelling of electrochemical cells. Application of electrochemistry to fuel cells, batteries, and water treatment."
Civil Engineering 502,Civil Engineering Aspects of Sustainable Communities,"Definition of sustainability; global urbanization; emissions from transportation systems; economics of urban development from a civil infrastructure point of view, water/wastewater, land use/transportation; public transportation; travel demand management for sustainability; construction industry - energy use and emissions."
Civil Engineering 508,Environmental Aspects of Energy,"Environmental assessment and management in the energy sector. Ecological footprint introduction. Site investigation, field techniques and program implementation; remedial planning and design; cost and time analysis; physical, chemical and biological remediation techniques; biomass and waste to energy; energy use and emissions in transportation systems; energy efficiencies and emissions in building construction; assess problems with energy use from an environmental setting; develop and apply engineered solutions; ecological and environmental footprints of energy industries."
Civil Engineering 581,Environmental Engineering II,"Water and wastewater quantities and quality, water distribution and wastewater collection systems, hydraulic considerations, design of sanitary sewers, storm drainage systems, physical, chemical, and biological processes for water and wastewater treatment; aeration, coagulation, flocculation, sedimentation, single and multi-media filtration, disinfection, activated sludge system and trickling filter, adsorption, reverse osmosis, membrane filtration, advanced oxidation, sludge processing and disposal, industrial water and wastewater treatment, water conservation, reuse and recycling."
Computer Engineering 509,Fundamentals of Biometric Systems Design,"Biometric systems, sensors and devices, Integration of Biometric-based hardware and software, Biometric applications."
Computer Engineering 511,Embedded System Interfacing,"Review of computer architecture; microcontrollers and their instruction sets; interfacing using common input/output devices, debugging and other software engineering practices, strategies for interrupt handling and exception handling; Interfacing using high level and assembly languages; software and hardware optimizations to achieve real time operations; real time operating systems; Embedded real-time applications."
