Course Number,Course Name,Course Description
ENGG*2410,Digital Systems Design Using  Descriptive Languages,"Review of Boolean algebra and truth tables,  Karnaugh maps. Design, synthesis and realization  of combinational circuits. Design, synthesis and  realization of sequential circuits. VHDL:  structural modeling, data flow modeling,  synchronous & asynchronous behavior descriptions,  algorithmic modeling. Designing with PLDs.  Digital design with SM charts. Designing with  PGAs and complex programmable logical devices.  Hardware testing and design for testability.  Hierarchy in large designs. The course will  primarily be concerned with the design of  multi-input, multi-output digital controllers  which provide the central control signals that  orchestrate the collection of hardware devices  (from SSI to VLSI) found in a digital system. An  introduction to FPGA-based, as well as  microprocessor-based digital systems design will  be given. Design examples will include systems  such as UART, microcontroller CPU, ALU and data  acquisition system."
ENGG*3070,Integrated Manufacturing Systems,"Common production machines and manufacturing  systems are dealt with, particularly automated  systems, robotics, computer control and  integration techniques, materials handling,  inspection processes and process control. The  course addresses societal and environmental  issues related to manufacturing."
ENGG*3080,Energy Resources and Technologies,"The challenges of changing the global energy  system to reduce dependence on finite fossil  energy sources, and transition to environmentally  sustainable energy sources, are examined. The  reserves, consumption, applications and  environmental and human impacts of oil, coal and  natural gas usage are examined. The fundamental  principles, applications and status of a range of  renewable energy sources and technologies will be  covered to provide a solid background for further  study of sustainable energy."
ENGG*3150,Engineering Biomechanics,The following topics related to biomechanics are  covered in this course: kinematic and kinetic  analysis techniques; electromyography; current  techniques in laboratory instrumentation and  biomedical applications.
ENGG*3390,Signal Processing,"This course will establish the fundamental  analysis and design techniques for signal  processing systems. Topics covered include:  definition and properties of linear  time-invariant systems; impulse response and  convolution; continuous-time Laplace transform,  Fourier series, Fourier transform; discrete-time  Fourier transform, discrete-time Fourier series,  fast Fourier transform, Z transform; complex  frequency response; filter analysis and design  for both continuous and discrete time systems.  Students will be able to design continuous-time  filters and both design and implement  discrete-time digital filters using  computer-based tools."
ENGG*3450,Electronic Devices,"This course explores the theory and principles of  modern electronic devices and their applications  in circuits. Course topics include: intrinsic and  doped semiconductors; drift and diffusion  currents; metal-semiconductor contacts and MOS  capacitors; pn junctions and breakdown phenomena;  solid-state diodes; bipolar and MOS field-effect  transistors; current-voltage characteristics and  biasing; small-signal models and operation;  circuit integration; analysis and design of  application circuits, operational  transconductance amplifiers, and logic gates."
ENGG*3640,Microcomputer Interfacing,"This course focuses on the subject of interfacing  microcomputers to external equipment. Topics  include peripheral devices, hardware interfaces,  device driver software and real time programming.  Advanced programming: debugging of embedded  systems, data structures and subroutine calls,  high-level system programming. Interrupts and  resets, real time events, signal generation and  timing measurements. Synchronous and asynchronous  serial communication. Parallel I/O ports and  synchronization techniques. I/O interfacing,  microcomputer busses, memory interfacing and  direct memory access (DMA). Data acquisition  topics include signal conditioning analog to  digital conversion and digital signal processing."
ENGG*3700,Optimization for Engineers,"This course serves as an introduction to  optimization. Topics to be covered include but  are not limited to: linear programming,  sensitivity analysis, linear integer programming  technique, dynamic programming, Markov chains,  transportation method, decision analysis, and  queuing theory."
ENGG*4230,Energy Conversion,"The course introduces the technical criteria for  the design of efficient energy conversion  processes and systems. It includes the review of  boilers and cycles, fuel and combustion  calculations, and fundamentals of both traditional  and emerging energy conversion processes and  systems for production of thermal, mechanical, and  electrical energy. Topics include fossil, biomass  and nuclear fuels, as well as wind, solar,  geothermal energy and fuel cells. Mechanisms for  storing energy generated from each of these are  also studied. The course also explores conversion  of automobile systems, renovation of old fossil  fuel fired plant technology, co-firing of  opportunity fuels, waste to energy technology,  emissions, and economics of energy projects."
ENGG*4460,Robotic Systems,"This course covers robot technology fundamentals,  mathematical representation of kinematics,  planning and execution of robot trajectories,  introduction to robot languages, programming of  robotic systems, different application domains  for robots (e.g. assembly, manufacturing,  medical, services, etc.), and robot sensors. The  goal of this course is to provide students with a  comprehensive background, approaches and skills  to apply robotics technology to real world  engineering applications and problems."
