Course Number,Course Name,Course Description
MECH 3520,Aerodynamics,"(Lab required) Aeronautical definitions, compressible flow, plane normal shock waves, Mach. no. and shock waves in two-dimensional flow, potential flow theory in two-dimensional and axisymmetric flows. Two-dimensional wing theory, finite wing theory panel methods, elements of boundary layer theory. Compressibility and wings, wing design, flow control."
MECH 4182,Aerospace Structures: Analysis and Design,"(Lab required) Methodology and techniques for design of aerospace structures and components to preclude failure with minimum weight, cost and resource consumption. Analysis of structural, air, gust and manoeuvre loads. May not be held for credit with MECH 4180."
MECH 4192,Aerospace Materials and Manufacturing Processes,"(Lab required) Properties of aerospace structural materials including glass and graphite fibre composites, light metal alloys and high strength steels. Properties of high temperature materials; superalloys ceramics, intermetallic compounds, metal matrix composites. Specialized methods for manufacture of these materials. May not be held for credit with MECH 4190."
MECH 4200,Gas Turbine Propulsion Systems,"(Lab required) Gas turbine systems, shaft power cycles, gas turbine propulsion cycles, centrifugal compressors, axial flow compressors, combustion systems, design performance predictions, off-design operations and transient behaviour of gas turbines. Design performance predictions."
MECH 4452,"Aircraft Performance, Dynamics and Design","(Lab required) A study of the morphology of aerospace vehicles; basic components and their functions, Aircraft performance; drag, thrust, lift, basics of orbital mechanics. May not be held for credit with MECH 4450."
MECH 3582,Manufacturing Planning and Quality Control,"(Lab required) The course covers topics such as: group technology, just-in-time, computer aided process planning, statistical process control and manufacturing planning and control. Issues related to the integration of several areas that fall within CIM are emphasized. Systems approach is introduced. May not be held with the former MECH 3580."
MECH 4482,Applied Aerospace Instrumentation,"(Lab required) Principles and practices of test and measurement system design and analysis for aerospace applications. Topics include transducers, signal conditioning, data acquisition and analysis, uncertainty analysis, calibration and correlation, system design and maintenance, and piping and instrumentation diagrams, and an introduction to LabVIEW software. This course may include a field trip component. May not be heldfor credit with MECH 4322 when titled ""Applied Instrumentation""."
MECH 4432,Systems Engineering,"(Lab required) The engineering support process as applied to the entire product life cycle from requirements definition to disposal. Focus on the system as a whole; from the outside, its interaction with its environment and other systems; and from the inside, its design requirements and implementation. May not be held with MECH 4342 when titled ""Systems Engineering.""ù Restricted to students in third year or above."
ENG 4110,Operational Excellence,"(Lab required) Methodical application of operational excellence and engineering principles and theory to address real industry problems, with emphasis on the data and fact-based engineering method of problem solving. Grounded in the Plan-Do-Study-Act system. Covers the seven step problem solving method (problem definition, examine the current situation, root cause analysis, action planning and testing, study the results, standardize the changes, and draw conclusions), applied concepts (Lean Six Sigma Management) and the fundamentals of teamwork, team dynamics and change management. It is expected that students will be challenged in terms of their understanding of the method, concepts, analytics, and the tools, and their application to solving 'real' operational problems. Students must attend both lecture and tutorial. Students will be required to attend meetings at industrial partner facilities. May not be held with MECH 4342 where the topic is Operational Excellence."
MECH 4350,Topics in Engineering Material 1,(Lab required) This course will cover contemporary topics in engineering materials. The specific topics and a detailed outline will be available prior to the start of registration period for the session in which the course will be offered.
MECH 4360,Topics in Engineering Materials 2,(Lab required) This course will cover contemporary topics in engineering materials. The specific topics and a detailed outline will be available prior to the start of registration period for the session in which the course will be offered.
MECH 4620,Corrosion of Metals and Alloys,"(Lab required) Electrochemical basis of corrosion, corrosion prevention by cathodic protection, inhibitors, alloying and heat treatment, passivation, stress corrosion cracking, corrosion fatigue; ionic and electronic conduction; oxidation of metals and alloys."
MECH 4870,Fracture and Failure of Engineering Materials,"(Lab required) Criteria for crack initiation and propagation leading to structural failure. Fracture mechanics and fracture toughness phenomena. Effects of structure geometry, loading rate, environment, temperature, composition and microstructure on material integrity."
MECH 4472,Mechanical Vibration,(Lab required) Nonlinear Vibrations: mathematical theory for lumped vibratory systems; response of systems to nonharmonic excitation; solutions by Laplace transforms and Fourier analysis; introduction to the matrix formulation of vibration problems and vibration of distributed systems.
MECH 4510,Fundamentals of Finite Element Analysis,"(Lab required) Fundamentals of the Finite Element Method, basic components in a Finite Element procedure, application of FEM to solve engineering problems and use of commercial software."
MECH 4532,Advanced Strength of Materials,"(Lab required) Stress and strain in three dimensions; thick walled cylinders, beams of elastic foundations, unsymmetrical bending and sheet-stringer construction, curved beams. Additional topics such as the analysis of fibre-composite material, techniques in experimental stress analysis and studies in metallics fatigue may be presented. May not be held for credit with MECH 4530."
MECH 4550,Noise Control,"(Lab required) An elective course open to all branches of Engineering; a recommended course for students taking Air Conditioning. Wave propagation, transducers and measurement techniques, psycho-acoustic criteria, legislation, techniques of noise and vibration control."
MECH 4672,Advanced Mechanism Design,"(Lab required) Graphical, analytical and computer techniques for the analysis and design of mechanisms to produce a desired set of motion characteristics; design of linkages, double lever, slider and dwell mechanism; cognate linkages. Kinetic synthesis tasks function generation, path generation and motion generation. May not be held for credit with MECH 4670."
MECH 4292,IC Engines,(Lab required) Thermodynamics of internal combustion engines and engine cycles; fuels and fuel systems; combustion; emission control systems; electronic engine controls and strategies; intake and exhaust systems; camshafts and valvetrain dynamics; balancing; performance and testing. May not be held for credit with MECH 4290.
