Course Number,Course Name,Course Description
APSC3953,Basis of Biomedical Engineering,"This course introduces the general aspects of Biomedical Engineering, which is the application of engineering principles to study biology, medicine, behaviour and health. A number of areas are covered by this broad topic, including anatomy, muscle physiology, biomedical instrumentation, biomechanics, and prosthetics. It will also introduce students to the idea of Biomedical Engineering as a career choice."
ME4860,Senior Design Project,"A mechanical engineering design is developed and documented in the form of a technical report. Students normally work in approved teams. Industrial projects are developed in cooperation with industry and may require some period of time on site. University-based projects are developed in cooperation with university faculty. The first stage of this process involves definition of the project topic, background studies, and development of a conceptual design. An oral examination is conducted towards the end of the first term, and a written preliminary report is submitted. In the second term, a detailed design is prepared, the project is completed and orally examined, and a final report is submitted. One of the laboratory weekly hours is designated for a scheduled meeting with project advisor(s). Workshops involve practice exercises, relevant to student projects, on: problem definition and formulation, project planning, teamwork, information and communication; conceptual, parametric and configuration designs; and professional, environmental, social, human factors, and safety aspects of design."
ENGG4000,Senior Design Project ,"Full-year design course (fall and winter of same academic year) which may be taken by senior students in any engineering program. Working preferably in multidisciplinary teams of three to five individuals, students design a structure, system, process or new product. Many of the projects are sponsored by outside clients. Proposed solutions involve the use of modern engineering tools and design methods, and must meet a broad range of constraints including health and safety, sustainable development and environmental stewardship. Deliverables include progress reports and presentations, a final report with appropriate engineering drawings, and if applicable, a prototype. Weekly lectures cover topics relevant to the design projects and include presentations by guest speakers. The weekly tutorial hours are designated for scheduled meetings with project co-mentors."
TME4025,Product Design and Development,"Full-year Product Design and Development course (fall and winter of same academic year) which may be taken in place of the final-year design course in most engineering program. The cornerstone is a project in which teams of 4 or 5 students conceive, design and prototype a product. The proposed solution would use modern tools and methods for product design and development, and should meet a broad range of constraints including health and safety, sustainable development and environmental stewardship. Weekly class sessions are conducted in lecture or workshop mode and employ cases and hands-on exercises to reinforce the key ideas. Topics include identifying customer needs, concept generation, product architecture, industrial design, and design-for-manufacturing."
ME4173*,Robot Kinematics,Structure and specification of robotic manipulators. Homogeneous transformations and link descriptions. Manipulator forward and inverse displacement solutions. Jacobians in the velocity and static force domains. Singular configurations and workspace analysis. An introduction to trajectory planning and manipulator dynamics. Lab experiments explore several robotic manipulators.
ME4622*,Human Factors Engineering ,"An interdisciplinary study of the interaction of humans and their workspace. Physiological principles of work and energy. Anthropometry. Biomechanics. The ergonomics of workspace and job design. Fatigue. Work/rest schedules and nutrition. The physiological and psychological effects of human noise, vibration, lighting, vision, and the workspace environment. Lab periods include seminars and practical design exercise applying human factors and ergonomic theory to workspace problems."
ME4703*,Mechanical Engineering Measurements,"Discusses a variety of measurement techniques used in Mechanical Engineering.  Topics include analog and digital measurement systems, frequency response, calibration and assessment of uncertainty. The focus is on the analysis and design of measuring instruments.  Laboratory exercises include measures of time and rate, displacements, stress and strain, force, pressure, flow, temperature, and vibrations."
ME5173*,Advanced Kinematics of Manipulators,Various methods for solving the forward and inverse displacement problems are described. Particular emphasis is made on the use of screw theory for the derivation of the Jacobian matrix. The selection of alternate frames of reference for describing the Jacobian are also discussed. Methods used in the solution of the inverse displacement problem and the inverse and forward velocity problems for kinematically redundant manipulators are discussed.
ME5223*,Finite Element Analysis,"Introduction to the basic concepts of finite element analysis (FEA) including domain discretization, element types, system matrix assembly, and numerical solution techniques. Application of FEA to solve static, dynamic and harmonic problems of linearly elastic solid bodies and heat transfer will be covered in detail. Graduate students enrolling in this course must submit an additional project in order to receive credit for this course."
ME5653*,Predictive Control and Intelligent Sensors,"Study on the design and practical implementation of model predictive controllers and intelligent sensors for industrial type processes. Topics to be studied include sensor selection and instrumentation, signal processing and conditioning, process modelling and identification, computer interfacing, predictive control, optimization techniques, algorithm design and intelligent sensor modelling. The course is project oriented and includes the use of Matlab and LabWindows CVI software."
ME5913*,Biomechanics I,"A number of topics in biomechanics are examined. Of particular interest is the mechanics of joints, and relation of the internal mechanics of joints to externally applied loads. Analysis techniques are introduced to facilitate analysis of the problems addressed in the course."
CS3025,Human-Computer Interaction,"Software design for interactive computing. Topics include: human-computer interaction principles, interface design guidelines, the design and execution of usability studies. The characteristics of various styles of interaction are explored. Emphasis is on user-oriented interfaces. Students design, implement, and perform a usability study on an interactive software application."
ECE4343,Haptic Robotics,"Haptics is the science and technology of creating the sensation of touch using robotic devices. This course will cover the three interelated domains of human physiology, mechatronics and control, to develop haptic robots that render a variety of environments."
KIN3041,Disability Awareness,"This course aims to introduce students to the issues and challenges faced by persons with disabilities by exploring: disability concepts from a social, medical and political perspective; the impacts of disability on the person, family unit and labor force; disability issues in movement activities, from daily living to sport and recreation skills. Disability awareness training includes an introduction to appropriate terminology, knowledge of specific disorders that cause disability, and experience working with disabled individuals in the community."
KIN3061,Advanced Biomechanics,"Examines, through lecture and the use of lab-based data, the theoretical and applied aspects of the biomechanics of human performance."
KIN3161,Human Factors in Ergonomic Design,"This course introduces the physical, biomechanical, psycho-social and cognitive demands on workers in both office and industrial settings. Through lectures, student projects and review of current research, the role of proper human factors as a component of the improvement of health and well-being of the worker are explored. The understanding of human physical and psychological capabilities and limitations are incorporated in proper ergonomic design of the workplace environment."
KIN3041,Disability Awareness,"This course aims to introduce students to the issues and challenges faced by persons with disabilities by exploring: disability concepts from a social, medical and political perspective; the impacts of disability on the person, family unit and labor force; disability issues in movement activities, from daily living to sport and recreation skills. Disability awareness training includes an introduction to appropriate terminology, knowledge of specific disorders that cause disability, and experience working with disabled individuals in the community."
