Course Number,Course Name,Course Description
CHE2501,General Materials Science,"Principles relating the properties and behaviour of engineering materials to their structure; atomic bonding forces and strength of interatomic and intermolecular bonding forces, atomic arrangements in solids, structural imperfections and atom movements in solids; principles of phase diagrams and their application to multiphase materials, with particular reference to the iron-carbon system; mechanical and electrical properties of engineering material; semiconductors, polymers and ceramics; and their relation to internal structure."
CHE2506,Materials Science Laboratory,Laboratory experiments are conducted to illustrate behaviour of materials and other concepts covered in CHE 2501.
CHEM1982,General Applied Chemistry,"Intended primarily for non-science majors. Building on examples from environmental chemistry, polymers, fuel cells and corrosion, this course covers chemical material properties, solutions & solubility, kinetics & equilibrium, acids & bases, thermodynamics and electrochemistry. NOTE: Credit can be obtained for only one of CHEM 1012 or CHEM 1982."
CHEM1987,General Applied Chemistry Laboratory,"Intended primarily for non-science majors students. Topics include: ideal gases, heats and rates of reactions, chemical equilibria, acid-base equilibria, redox titrations, and voltaic cells. NOTE: WHMIS certification required (see beginning of Chemistry Courses section for details). NOTE: Credit can be obtained for only one of CHEM 1017 or CHEM 1987."
CS1003,Programming and Problem Solving for Engineers,"Introduction to the use of digital computers for problem solving and communicating solutions. Covers use of procedures, decisions, loops and arrays focusing on scientific and engineering problem analysis, algorithm design, and program structure. Also includes organizing, tabulating, and graphing program output with different software tools to communicate results. This course is currently taught primarily in Python. NOTE: This course is not intended for BCS or BScSwE students."
CS3113,Introduction to Numerical Methods,"Intended for Computer Science and Engineering students. Error analysis, convergence and stability. Approximation of functions by polynomials. Numerical quadrature and differentiation. The solution of linear and non-linear equations and the solution of ordinary differential equations. This course will emphasize the understanding of numerical algorithms and stress applications in the applied sciences, as well as the influence of finite precision and arithmetic on computational results. Credit will be given for only one of CS 3113 or MATH 3413 or ECE 2412."
MATH3413,Introduction to Numerical Methods,"Intended for Mathematics, Science or Engineering students. Error analysis, convergence and stability. Approximation of functions by polynomials. Numerical quadrature and differentiation. The solution of linear and nonlinear equations and the solution of ordinary differential equations. This course will emphasize the understanding of numerical algorithms and stress applications in the applied sciences, as well as the influence of finite precision and arithmetic on computational results. Credit will not be given for both MATH 3413 and CS 3113."
ECE1813,Electricity and Magnetism,"An introduction to the fundamentals of electricity and magnetism and applications. Covers concepts of charge, electric fields, voltage, current, power, energy, magnetic fields and the link between electricity and magnetism for the creation of machines. Includes resistors, resistance, Ohm's law, Kirchoff's voltage and current laws, some electrical properties of materials. Electric sources, simple series, parallel, and series-parallel DC circuits and mesh analysis are examined. Energy conversion and simple electric machines are examined. The behaviour and use of common sensors and transducers are discussed."
ECE2683,Electric Circuits and Machines (for non-electricals),"Network analysis including AC. Introduction to transformers, DC machines and AC machines. Cannot be used for credit by students in the Electrical Engineering and Computer Engineering programs."
ECE2701,Electric Circuits and Electronics (for non-electricals),"Network analysis including AC. Introduction to electronic devices, circuits, and motors. Cannot be used for credit by students in the Electrical Engineering and Computer Engineering programs."
ECE2711,Electric Circuits,"Basic DC circuits: Network analysis and theorems. AC circuits: introduction of phasors, Network analysis and theorems applied to AC circuits."
ENGG1001,Engineering Practice Lecture Series,A guest lecture series intended to introduce students to the engineering profession. Speakers from various engineering disciplines and job functions share their career experiences and discuss exciting engineering projects underway in the region.
ENGG1003,Engineering Technical Communications,"Oral, written and visual communication skills are developed as important tools used by engineers. Technical writing style is taught through the preparation of reports and summaries, and oral communication skills are improved through public speaking and the preparation of formal presentations. Computer-aided design is introduced and used to enhance visualization skills. The importance of information literacy is stressed. Various types of engineering drawings are presented and engineering unit conversions are practiced."
ENGG1015,Introduction to Engineering Design and Problem Solving,"This course introduces engineering design methodology and develops basic problem solving techniques. Under the supervision of senior students and with the guidance of industry engineers, students work both individually and in teams on real engineering design projects for the local community in a simulated engineering consulting environment. Project planning, team- building, leadership and responsible care are discussed. Laboratories are used to demonstrate problem solving techniques for analytical and open-ended problems, and life-long learning is emphasized by having students integrate co-requisite and researched material into a structured design process. Restricted to students with fewer than 60 ch of program credit upon first admission to the Faculty of Engineering or with permission of the instructor."
ENGG1082,Mechanics for Engineers,"Introduction to the fundamental concepts of vector analysis, and its application to the analysis of particles and rigid bodies. The static analysis of particles and rigid bodies, including practical applications such as the analysis of trusses, frames and machines. The static analysis of structural systems including the analysis of internal forces and bending moments in beams. The analysis of kinematics of particle motion along straight and curved paths. The analysis of kinetic motion for particles based on force and acceleration, and work and energy. The course topics focus on visualizing concepts in mechanics, and developing problem solving strategies."
ENGG4013,Law and Ethics for Engineers,"General introduction to the legal and ethical aspects of engineering practice. Social responsibilities of engineers, the engineering act and code of ethics, occupational health and safety, sustainable development, environmental stewardship, employment equity, legal duties and liabilities of the professional engineer, contracts, the tort of negligence, labour law, intellectual and industrial property, conflict resolution. Restricted to students with at least 100 ch in the engineering program. Limited enrolment; priority given to students in their final year of engineering."
MATH1003,Introduction to Calculus I,"Functions and graphs, limits, derivatives of polynomial, log, exponential and trigonometric functions. Curve sketching and extrema of functions. NOTE: Credit may be obtained for only one of MATH 1003, MATH 1053, MATH 1823 or MATH 1843. NOTE: Part-time students will be charged a course fee for the MATH 1003 credit."
MATH1013,Introduction to Calculus II,"Definition of the integral, fundamental theorem of Calculus, Techniques of integration, improper integrals. Ordinary differential equations. Taylor polynomials and series. NOTE: Credit may be obtained for only one of MATH 1013 or MATH 1063."
MATH1503,Introduction to Linear Algebra,"Lines and planes, the geometry and algebra of vectors, systems of linear equations, matrix algebra, linear independence, linear transformations, determinants, complex numbers, eigenvectors, diagonalization, rotation matrices, quadratic forms, least squares."
MATH2213,Linear Algebra I,"This course introduces the basic concepts of linear algebra, mainly in finite dimensional real vector spaces.  Systems of linear equations, vector and matrix algebra, bases and dimension of subspaces, row and column spaces, linear transformations and matrix representations, inner products, determinants, eigenvectors and diagonalization.  Applications as time permits."
MATH2513,Multivariable Calculus for Engineers	,"Functions of several variables, partial derivatives, multiple integrals, vector functions, Green's and Stokes' Theorems."
MATH3503,Differential Equations for Engineers,"Nonhomogeneous differential equations, undetermined coefficients, variation of parameters, systems of 1st and 2nd order ordinary differential equations, Laplace transforms, Fourier series."
ME1312,Computer Aided Design,"Introduces the technology of 3D parametric geometric modeling to design and model mechanical engineering parts, assemblies and devices. Geometric variables and their interrelationships will be covered by projects involving the design of mechanical components, assemblies and machines to meet functional requirements. Manufacturing requirements including Geometric Dimensioning and Tolerancing. The use of the model for analysis, optimization and simulation will be stressed. Presentation of the model through engineering drawings and pictorial renderings. Animation of mechanisms. A comprehensive commercial CAD program will be utilized."
ME2003,Dynamics for Engineers,"The dynamic analysis of linear particle systems based on momentum. The analysis of centroids and moments of inertia for rigid bodies. Introduction to the rotation of a rigid body about a fixed axis, motion of a rigid body in a plane. The dynamic analysis of a rigid body with general planar motion using Newton’s second law, work and energy, momentum and angular momentum."
ME2111,Mechanics of Materials I,"Basic concepts, uniaxial stress and strain, Hooke’s law, torsion, pure bending, bending design, shear flow, transverse loads, stress and strain transformation, Mohr’s circle, strain measurement, yield criteria."
CE2023,Mechanics of Materials ,"Elastic and plastic stress, strain; behaviour of beams and columns; torsion; material strength."
ME2122,Mechanics of Materials II,"Fatigue, thin-wall pressure vessels, strength and deflection of beams, buckling of columns, instability, indeterminate beams, energy methods, Castigliano’s theorem."
ME2125,Mechanics of Materials Design Project,Analysis of the strength of a mechanical device. Shapes and materials will be modified to meet deflection and stress limits. Written reports will document choices made and assessment of design. Group oral reports.
ME2143,Kinematics and Dynamics of Machines,"Fundamental concepts of linkages; displacement, velocity and acceleration analysis using graphical and analytical methods. Static and dynamic force analysis of linkages. Design of cams, gears and gear trains; including ordinary and planetary gear trains. Balancing rotating masses. Simple gyroscopic effects."
ME2145,Kinematics and Dynamics Design Project,"Student groups to design and build working model of planar linkage mechanism, based on a mechanical application. Cooperation and project management skills. Written reports to document choices made; evaluation of working model performance; and position, velocity, acceleration and force analyses. Group oral reports."
ME2352,Design Optimization,"Optimization of any design is essential either to remain competitive or to improve product efficiency and quality. Several optimization methods are presented through a variety of mechanical design and industrial engineering problems. Topics include: single and multi-variable unconstrained optimization, linear programming, transportation, assignment and network problems. Other topics such as constrained and global optimization are introduced."
ME2413,Thermodynamics,"Properties of a pure substance -- work and heat. First law and applications in non-flow and flow processes. Second law and reversibility: entropy, applications of the second law to non-flow and flow processes. Analysis of thermodynamic cycles: Otto and Diesel cycles. Thermodynamic relationships."
ME2415,Thermodynamics Laboratory,Laboratory experiments and measurements related to Thermodynamics 1. Laboratory reports and readings are assigned.
ME3222,Manufacturing Engineering I,"Introduction to manufacturing processes; design criteria for material and process selections. Fundamentals of mechanical behaviour of materials, particularly the yield behaviour under triaxal stresses. Crystal structures; failure modes and the effect of various factors; manufacturing properties of metals. Surface structures and properties; service texture and roughness; friction, wear, and basic lubrication surface treatment design. Metal casting processes and equipment; casting design; heat treatment design. The laboratory exercises are: heat treatment, precipitation stregthening, Jominy centrifugal testing casting and impact toughness test."
ME3232,Engineering Economics,"Application of engineering economic analysis to mechanical and industrial engineering systems. Major emphasis will be given to decision-making based on the comparison of worth of alternative courses of action with respect to their costs. Topics include: discounted cash flow mechanics, economic analyses, management of money, economic decisions. Restricted to students with at least 60 ch."
CE3963,Engineering Economy,"Basic methods of engineering economy including time value of money, compound interest models, interest and discount rates, and depreciation; critical path methods. Emphasis is placed on commonly used computational procedures. Restricted to students with at least 60 ch completed."
ME3341,Machine Design,"Review of design process. Safety, environmental and sustainability issues of machine design. Design of shafts, power screws, threaded fasteners. Tolerances and fits. Contact stresses. Lubrication, journal bearings and rolling element bearings. Gearing design: spur, helical, bevel and worm gearing. Critical speeds of rotating systems. Couplings, seals."
ME3345,Machine Design Project ,"Applies many topics of first 2 years in mechanical engineering. Practical aspects of detailed machine design project in team environment. Student groups to design, build and test a mechanical device for a client. Written reports will document choices made and assessment of design. Group oral reports."
ME3433,Heat Transfer I,Conduction: One-dimensional steady conduction and applications. Thermal properties. The differential equations of conduction; analytic and numerical solutions to two-dimensional problems and applications. Unsteady conduction lumped and differential approaches with applications. Temperature measurement. Convection: Dynamic similarity and dimensional analysis; boundary layer theory and applications to flow over heated/cooled surfaces; laminar and turbulent flow-free convection. Heat transfer with change of phase. Radiation: the laws of black body radiation; Kirchhoff's law and gray body radiation. Combined modes of heat transfer: heat exchanger design; augmentation of heat transfer; fins and thermocouples. Environmental heat exchange. Equivalent to CHE 3304.
CHE3304,Heat Transfer,"A comprehensive first course in heat transfer. Thermal conductivity and unsteady state conduction. Convection heat transfer coefficients: forced convection, free convection. Boiling, evaporation, and condensation. Heat exchanger design. Radiation heat transfer."
ME3435,Heat Transfer I Laboratory,Laboratory experiments and measurements related to Heat Transfer I. Laboratory reports and readings are assigned.
ME3511,Fluid Mechanics,"The principles of fluid mechanics are introduced and methods are presented for the analysis of fluid motion in practical engineering problems. Specific topics include: fluid statics; integral balances of mass, momentum, angular momentum and energy; boundary layer theory and introduction to the Navier-Stokes equations; dimensional analysis; and liquid flow in piping networks with pumps and turbines. Pressure and flow measurement and experimental uncertainty."
ME3515,Fluid Mechanics Laboratory,Laboratory experiments and measurements related to Fluid Mechanics I. Laboratory reports and readings are assigned.
ME3522,Applied Fluid Mechanics,"The performance and selection of hydraulic pumps and turbines, the lift and drag on immersed objects, and compressible flow in piping and nozzles."
ME3524,Fluid Systems and Design,"Students work in groups on design projects that apply fluid mechanics. Examples include: pump and turbine selection; piping for conveyance of gases and liquids; gas and steam nozzles; lift and drag on air and water craft, land vehicles and projectiles; fluid forces on solid structures."
ME3613,System Dynamics,"System concepts. Development and analysis of differential equation models for mechanical, electrical, thermal, and fluid systems, including some sensors. Systems are primarily analyzed using Laplace transforms and computer simulation methods. Analysis concepts cover first, second, and higher order differential equations, transient characteristics, transfer functions, stability, dominance, and frequency response. Properties of systems: time constant, natural and damped frequency, damping ratio."
ME3623,Automatic Controls I,"Philosophy of automatic control; open loop, sensitivity, components of a control loop; closed loop control, error analysis. Design of P, I, PI, and PID-controllers based on closed-loop specifications. Stability criteria: Routh-Hurwitz. Lead/lag controller design using Root Locus and Bode diagrams. Sensor frequency response to classical inputs. Application of electronics and sensors to control systems based on frequency response. Basic digital analysis including digitization, sampling, aliasing, A/D and D/A devices, and phase loss due to time delays."
ME4283,Manufacturing Engineering II,"Principles and physical phenomena of the basic manufacturing processes. A review of the attributes of manufactured products will precede lectures on forging, sheet metal working, machining and joining. Material behaviour during manufacturing. Processing of polymers, particulate metals and ceramics is presented. Design of manufacturing systems and the design of components based on criteria and constraints of manufacturing systems and equipment is included in each topic area of the course. A combination of lectures and experimental labs round out the course content."
