Course Number,Course Name,Course Description
CHM 1311,Principles of Chemistry,"Chemical bonding, molecular geometry, chemical equations and quantitative relations, gas, liquids and solids, solutions, redox reactions,  electrochemistry, kinetics and equilibrium,  ionic equilibria, acids and bases in solution, pH. Courses CHM 1311, CHM 1301 cannot be combined for units. Previously CHM 1310."
ENG 1112,Technical Report Writing,"Practice in the writing of technical reports. Topics include exposition, argumentation, presentation of technical data, and effective communication. Frequent written exercises and development of composition skills. Use of Writing Centre resources required outside regular class hours."
GNG 1103,Engineering Design,"A hands-on, team-based introduction to engineering design for engineers and computer scientists. Topics include design thinking, engineering design process, prototyping, engineering economics, safety, ethics and project management."
GNG 1105,Engineering Mechanics,"Concepts of engineering mechanics. Statics of particles and rigid bodies. Free body diagrams. Simple structures, including trusses, frames and machines. Rectilinear and curvilinear motion."
GNG 1106,Fundamentals of Engineering Computation,Introduction to computer systems. Problem solving for engineering case studies. Emphasis is on the design of algorithms and their implementation for solving engineering problems using C.  Introduction to Visual Basic.
MAT 1320,Calculus I,"Intuitive definition of limits; continuity, statement of intermediate value theorem.  Quick review of basic derivative formulas: products, chain rule, exponentials, and trigonometric functions. Derivatives of quotients, logarithms, inverse trigonometric functions. Finite difference approximations of derivatives. Analysis of functions via the first and the second derivatives; statements of extreme and mean value theorems.  L'Hospital's rule. Implicit differentiation, related rates, optimization, linear approximation, Newton s method. The definite integral and the fundamental theorem of calculus. Antiderivatives of elementary functions, techniques of integration (integration by parts, substitutions, partial fractions).  Numerical integration: mid-point, trapezoidal rule and Simpson's rule; error analysis."
MAT 1322,Calculus II,"Improper integrals.  Applications of the integral.  Separable differential equations.  Euler's method for differential equations. Sequences, series.  Taylor's formula and series.  Functions of two and three variables.  Partial derivatives, the chain rule, directional derivatives, tangent planes and normal lines."
MAT 1341,Introduction to Linear Algebra,"Review of complex numbers. The fundamental theorem of algebra. Review of vector and scalar products, projections. Introduction to vector spaces, linear independence, bases; function spaces. Solution of systems of linear equations, matrix algebra, determinants, eigenvalues and eigenvectors. Gram Schmidt,  orthogonal projections. Linear transformations, kernel and image, their standard matrices. Applications (e.g. geometry, networks, differential equations)"
MCG 1100,Introduction to Mechanical Engineering,"Basics of graphical communication, conventional and computer-aided. Sketching, orthographic projections, assembly drawings, solid modelling. Dissection of simple mechanical systems, measurements, report writing."
PHY 1122,Fundamentals of Physics II,"Heat and thermodynamics.  Hydrostatics and hydrodynamics.  Geometrical optics.  Wave theory, Physical optics.  Electrostatics.  Direct current circuits.  A second course intended primarily for students in the physical sciences and engineering.  A familiarity with vector algebra and some understanding of calculus is assumed.  An additional problem class of one hour per week is offered with the course. Includes a 3 hour lab in alternate weeks. This course is normally a sequel to PHY 1121."
CVG 2140,Mechanics of Materials I,"Stress and strain, mechanical properties of materials, bending moment and shear force diagrams; stresses and deformations in members subjected to tension, compression, shear and torsion; flexural and shearing stresses in beams; deflection of beams; combined stresses."
ELG 2336,Electric Circuits and Machines for Mechanical Engineering,"Network theorems. Forced and transient response to deterministic inputs. Sinusoidal steady-state response of circuits. Magnetic theory and circuits. Transformers. Electromechanical energy conversion. Introduction to AC circuits, three phase power. DC machines, AC machines, torque-speed curves and efficiency. Laboratory experiments."
GNG 2101,Introduction to Product Development and Management for Engineers and Computer Scientists,"A hands-on, team-based introduction to product development and management principles for engineers and computer scientists and their impact on social and economic aspects of engineering practice. Topics include creativity and innovation product development process, engineering project management, market evaluation and identification, engineering economics, technology entrepreneurship."
MAT 2322,Calculus III for Engineers,"Extrema of functions of several variables.  Multiple integration and applications.  Vector fields and their derivatives.  Curves.  Vector differential operators.  Line integrals.  Surfaces and surface integrals.  Theorems of Stokes, Gauss, etc."
MAT 2377,Probability and Statistics for Engineers,"A concise survey of: combinatorial analysis; probability and random variables; discrete and continuous densities and distribution functions; expectation and variance; normal (Gaussian), binomial and Poisson distributions; statistical estimation and hypothesis testing; method of least squares, correlation and regression. The emphasis is on statistics and quality control methods for engineers. The courses MAT 2377, MAT 1371, MAT 1372, MAT 2371, MAT 2375, MAT 2378, MAT 2379, ADM 2303, ECO 3150, HSS 2381, PSY 2106 cannot be combined for units."
MAT 2384,Ordinary Differential Equations and Numerical Methods,"General concepts. First order equations. Linear differential equations of higher order. Differential operators. Laplace transforms. Systems of differential equations. Series solutions about ordinary points. Numerical methods including error analysis; numerical differentiation, integration and solutions of differential equations."
MCG 2101,Introduction to Design,The design process. Mechanical components-nomenclature and function. Project management. Technical report writing and oral presentations. Group design project.
MCG 2108,Mechanics II,"Review of co-ordinate systems and particle kinematics. Moving co-ordinates, rigid body kinematics of translation and rotation. Impulse and momentum, work and energy. D'Alembert formulation and multi-degree-of-freedom systems. Euler's equations, gyroscopic torques. Principle of virtual work, Lagrange's equations, generalized forces."
MCG 2130,Thermodynamics I,"Fundamentals of engineering thermodynamics. Properties and state, properties tables, first law of thermodynamics for control mass and control volume systems, second law, entropy and its applications."
MCG 2131,Thermodynamics II,"Extension of thermodynamics principles to mixtures, psychrometrics, real gases and chemical reactions. Application of thermodynamics to standard power and refrigeration cycles. Laboratory experiments."
MCG 2360,Engineering Materials I,"Introduction to structures of engineering metals and their mechanical properties. Defect structures; elastic and plastic deformation, strengthening processes. Introduction to equilibrium phase diagrams. Heat treatment of ferrous alloys. Introduction to fracture, corrosion, welding, and time dependent deformation in metals."
MCG 2361,Engineering Materials II,"Processing, strengthening mechanisms, properties and applications of structural ceramics, polymers and composite materials. Corrosion prevention and control. Laboratory experiments."
ELG 3336,Electronics for Mechanical Engineers,Semiconductor device characteristics and applications. Power supplies and regulators. Operational amplifiers and applications. Power amplifiers. Digital logic. Gates and gate circuits. Logic families. Combinational logic. Introduction to electronics for measurement and instrumentation. Introduction to power electronics. Laboratory experiments.
GNG 4170,Engineering Law,"Basic features of laws and practice relating to contracts, agency, property, water rights, forms of business organizations, sales, insurance, utilities, labour, government regulation of business, negotiable instruments, workers' compensation, liens, bankruptcy, patents, copyrights, trademarks; ethical responsibilities, professional registration; special emphasis on contract documents used on construction work."
MAT 3320,Mathematics for Engineers,"Series solutions of ordinary differential equations. Legendre and Bessel functions. Sturm-Liouville problems, orthogonal functions. Fourier series.  Partial differential equations:  introduction and applications."
MCG 3110,Heat Transfer,"Fundamental principles of heat transmission by conduction, convection and radiation. Application of these principles to the solution of engineering problems."
MCG 3130,Dynamics of Machinery,"Masses, motions and forces in machines. Engine force analysis. Flywheels and balancing. Vibrations of machinery and of shafting."
MCG 3131,Machine Design,The application of the theory of mechanics of materials to the design of machine elements.
MCG 3145,Advanced Strength of Materials,"Review of stress and strain at a point. Stress and strain transformations. Theories of failure and their application to design problems. Shear centre, bending of members in multiple plane. Energy methods, Castigliano's theorems, applications to straight and curved members. Torsion of these sections, non-circular sections. Impact stresses."
MCG 3306,System Dynamics,"Modelling of mechanical, electrical, fluid and thermal systems using lumped parameter approach. Concepts of through and across variables in systems. Block diagram for system representation. Linearization and solution of system equations. Transient and frequency response of physical systems."
MCG 3307,Control Systems,Feedback theory. Time and frequency domain analysis of feedback control systems. Stability criteria. Design of simple feedback control systems and compensation techniques. Statespace analysis of systems. Laboratory experiments.
MCG 3340,Fluid Mechanics I,Fundamental concepts. Fluid statics. Fundamental laws of fluid motion. Dimensional analysis and similitude. Internal flows.
MCG 3341,Fluid Mechanics II,"External flows, aerodynamics. Differential treatment of fluid motion. Computational fluid dynamics. Fluid machinery. Compressible flow. Laboratory experiments."
GNG 4120,Technology Entrepreneurship for Engineers and Computer Scientists,"Hands-on introduction to the many dimensions of starting and growing a technology company.  How to evaluate market opportunities, develop a product that customers need, raise capital and build a winning team.  Skills and tools to turn technical ideas into profitable sustainable businesses."
HIS 2129,"Technology, Society and Environment Since 1800","Examination of the role of technology in social, economic and environmental change in industrial and ""post-industrial"" society."
PHI 2394,Scientific Thought and Social Values,"The nature of scientific thought and the relationships between science and culture, religion, politics, technology and society at large."
MCG 4308,Mechanical Vibration Analysis,Analysis of natural frequencies of single degree and multi-degree-of-freedom discrete systems. Their response to excitation forces and amplitude. Analysis with complex variables. Analysis of natural frequencies of multi-degree-of-freedom and continuous systems such as beams and plates. Introduction to energy techniques for solving beam and plate problems.
MCG 4322,Computer-Aided Design,"Major group design project integrating concepts from all major areas of mechanical engineering.  The design process; conceptual design, synthesis and analysis, design optimization, parametric design and design system integration."
MCG 4328,Manufacturing,"Metal casting processes. Bulk deformation processes, including rolling, forging, extrusion and drawing. Sheet forming processes. Powder metallurgy. Machining. Joining processes. Laboratory experiments."
MCG 4340,Mechanical Engineering Laboratory,"Professional engineering practice and ethics, societal and environmental obligations of the engineer, workplace health and safety. Laboratory experiments on mechanical engineering systems."
MCG 4104,Building Energy Systems,"The theory and application of the principles of heating, ventilating and air conditioning are applied to engineering systems. The thermodynamic properties of air-water mixtures are discussed in relation to heating and cooling load calculations. Current engineering systems are studied."
MCG 4110,Fluid Machinery,"Review of fluid mechanics and thermodynamics of turbomachinery and positive displacement fluid machinery. Performance characteristics, selection and comparison of types."
MCG 4111,Internal Combustion Engines,"The theory, thermodynamics, and mechanical principles of internal combustion engines. Basic engine types and their operation. Engine testing. Theories of combustion. Economy and selection of various engines for different purposes. Fuels."
MCG 4126,Energy Conversion,"Fuels, combustion fundamentals, pollutant formation and control, nuclear energy, solar energy, refrigeration, and other energy conversion systems."
MCG 4128,Basic Nuclear Engineering,"Review of atomic structure and radioactive decay, nuclear reactions and the fission process; health physics and biological radiation protections. Radioisotope applications; engineering principles of nuclear reactors; energy production and distribution reactor, heat transfer; radiation damage and materials; reactor types."
MCG 4139,Computational Methods in Fluid and Heat Transfer,Models and simulation. Governing differential equations. Discretization concepts. Finite difference formulation. Control volume formulation. Examples of computer programs for the calculation of fluid flow and temperature fields.
MCG 4325,Gas Dynamics,"Compressible flow, wave propagation in compressible media; isentropic flow of a perfect gas; normal shock waves, oblique shock waves and their applications; Prandtl Meyer flow; flow with friction and flow heat addition or heat loss."
MCG 4345,Aerodynamics,Potential flow analysis. Thin airfoil theory. Computation of flow about bodies. Laminar and turbulent boundary layer techniques.
MCG 4102,Finite Element Analysis,"Review of matrix algebra and matrix structural analysis. Fundamentals of the finite element method. Simple one- and two-dimensional elements. Elementary programming in stress analysis, heat transfer and fluid flow. Preprocessing, post-processing. Use of commercial programs."
MCG 4107,Dynamics II,"Modelling, problem formulation and analysis of rigid body, multi-degree-of-freedom, mechanical, gyrodynamic, electro-mechanical, and vibrational systems using Newton, D'Alembert, Euler and Lagrange methods. Introduction to central force motion."
MCG 4127,Computational Methods in Mechanical Engineering,"Solution of ordinary and partial differential equations in mechanical engineering by numerical techniques on computers. Matrix methods. Eigenvalue computation. Finite difference and finite element methods for solid mechanics, fluid mechanics and heat transfer problems."
