Course Number,Course Name,Course Description
CMPT 141,Introduction to Computer Science,"An introduction to computer science and problem solving using procedural programming. This course introduces the basic computer science and computer programming principles of algorithms, abstraction, encapsulation, variables, conditional branching, repetition, functions, recursion, and elementary data structures. These concepts are applied to problem solving applications such as data analysis and visualization, simulation, text processing, and image processing. The programming skills acquired in this course are applicable in all fields of study, the work-place, and personal projects."
EE 204,Basic Electronics and Electrical Power,"This is a basic course on electrical topics for non-electrical engineering disciplines. It explores basic electrical and electronic devices as well as AC power and energy.  Topics include force on a wire carrying a current, Faraday's and Lenz's Laws, electromagnetic induction, inductors, self and mutual inductance, DC inductive transient circuits, basic generator and motor principles, basic transformer operation, single-phase and three-phase complex power and power factor correction, transistor switches, basic logic, operational amplifiers and integrated circuits, microprocessor-based controllers, protection devices and basic test equipment."
GE 213,Mechanics of Materials,"Building upon the concepts introduced in the courses in statics and dynamics and the properties of engineering materials, this course extends equilibrium analysis to deformable bodies. Emphasis is placed on understanding and applying the three fundamental concepts of solid mechanics - equilibrium, constitutive relationships, and geometry of deformation (compatibility). The fundamentals are introduced and reinforced in the context of specific behaviors, including axial tension and compression, pure bending, bending in combination with shear, and torsion of circular shafts. Transformation of stress in two dimensions is introduced."
MATH 223,Calculus III for Engineers,Vectors and coordinate geometry in 3- space; vector functions and curves; partial differentiation; applications of partial derivatives; multiple integration.
ME 214,Introduction to Materials and Manufacturing,"Provides an introduction to the relations between the structure and properties in engineering materials. It deals with the basics of structure, strengthening and deformation mechanisms of steels."
ME 227,Thermodynamics I,The fundamental mass and energy conservation laws and entropy balances are developed and applied to closed and open systems. The concepts of heat and work transfer between thermodynamic systems and their surroundings are discussed. The thermodynamic properties of common working substances are studied. These concepts are applied to the analysis of energy conversion systems. Thermal power plants and refrigeration systems are studied as specific examples. The course content is complemented by tutorials and laboratory experiments.
MATH 224,Calculus IV for Engineers,"Vector fields; vector calculus; ordinary differential equations; sequences, series, and power series."
ME 215,Fluid Mechanics I,"The basic principles of fluid mechanics are introduced. A generalized approach to fluid statics is used as an introduction to calculating the forces exerted by fluids on surfaces. Fluid dynamics is approached using a control volume formulation. Pipe flow, dimensional analysis and turbomachinery are introduced."
ME 226,Mechanics III,"Studies the mechanics (kinematics and kinetics) of plane motion. Velocity and acceleration for translational and rotational motion are treated. The force-acceleration, impulse-momentum, and work-energy methods for systems undergoing two-dimensional dynamics are discussed in detail."
ME 229,Introduction to Mechanical Engineering Design,"This group/project class guides the engineering student through a mechanical design process from problem definition through to prototype construction and validation. Lectures by the class coordinator and guest Professional Engineers include topics such as project management, literature searches, cost analysis, report writing, design ethics, safety in design, sustainability, engineering working drawings and legal responsibilities.  A tutorial on 3D solid modeling is provided."
ME 251,Engineering Analysis I,"Introduces some of the mathematical tools and procedures used to solve engineering problems. Topics include: intermediate linear algebra; numerical methods for linear systems; nonlinear equations, integration and differentiation; probability, statistics, and hypothesis testing. Applications of these tools to engineering problems will be stressed."
