Course Number,Course Name,Course Description
CHEM150,Engineering Chemistry,"Atomic and molecular structure; periodicity, chemical bonding; gases, liquids, and solids; phase equilibria; equilibrium; thermochemistry; chemical thermodynamics; electrochemistry."
CSC111,Fundamentals of Programming with Engineering Applications,"Fundamentals of computer programming with real-world engineering examples using an imperative programming language. Topics include variables, data types, statements, control structures, functions, parameter passing mechanisms, expressions, data structures, files, pointers, storage allocation, elementary searching and sorting, recursion, encapsulation, modularity, incremental development, testing and debugging."
ENGR110,Design and Communication I,"Introductory principles of engineering design processes through practical projects to be undertaken by teams of students; integrated development and demonstration of writing, research, design and presentation skills through research and design projects. Writing, research and organizational skills appropriate for University level writing."
ENGR120,Design and Communication II,"Principles of engineering science and design applied to practical projects undertaken by student teams; Integrated development and demonstration of writing, research, design and presentation skills; Referencing methods for scientific and technical literature; Characteristics of effective technical and scientific style; Emphasis on clarity, precision, and consistency; Practical experience in writing short technical documents such as memoranda, letters, abstracts, reports, papers, manuals, brochures, and specifications."
ENGR130,Introduction to Professional Practice,"Awareness of the role and responsibilities of Professional Engineers in society with respect to the environment, ethics, equity, public and worker safety and health considerations. Introduction to technical and other forms of work term and/or work experience report preparation, understanding national and international placement standards, WorkSafeBC standards, engineering logbooks. Development of effective interview techniques, skill assessment and analysis, career management and development. Preparation of resumés and cover letters."
ENGR141,Engineering Mechanics,"Forces, moments of forces, couples, resultants of force systems; distributed loads; hydrostatics; conditions of equilibrium and applications to particles and rigid bodies in two dimensions; analysis of statically determinate structures including beams, trusses and arches; bending moment and shear force diagrams; dry friction."
MATH100,Calculus I,"Review of analytic geometry; functions and graphs; limits; derivatives; techniques and applications of differentiation; antiderivatives; the definite integral and area; logarithmic and exponential functions; trigonometric functions; Newton's, Simpson's and trapezoidal methods; l'Hopital's rule."
MATH109,Introduction to Calculus,"A first course intended for students with no previous exposure to calculus. Review of analytic geometry; functions and graphs; limits; derivatives; techniques and applications of differentiation; antiderivatives; the definite integral and area; logarithmic and exponential functions; trigonometric functions; Newton's, Simpson's and trapezoidal methods; l'Hopital's rule."
MATH101,Calculus II,Volumes; arc length and surface area; techniques of integration with applications; polar coordinates and area; Taylor's formula; improper integrals; series and tests for convergence; power series and Taylor series; complex numbers.
MATH110,Matrix Algebra for Engineers,"Complex numbers, matrices and basic matrix operations, vectors, linear equations, determinants, eigenvalues and eigenvectors, linear dependence and independence, orthogonality."
PHYS110,Introductory Physics I,Newton's laws; particle dynamics and curvilinear motion; force and momentum; kinetic and potential energy; circular and rotational motion; thermal physics; gravitational and electric forces. Engineering and Physical Science applications.
PHYS111,Introductory Physics II,Heat engines; harmonic motion; wave motion; geometric and wave optics; modern physics. Engineering and Physical Science applications.
CSC116,Fundamentals of Programming with Engineering Applications II,"Development of software for real-world engineering applications using both imperative and object-oriented approaches. Topics include basic algorithms and data structures, abstract data types, generic collection types, design of large programs, using and building software libraries, user interfaces, debugging techniques, software documentation."
