Course Number,Course Name,Course Description
"ME 100 LAB,LEC,TUT 0.75",Introduction to Mechanical Engineering Practice 1,"This course is focused on fundamental knowledge and skills essential for academic and professional development in mechanical engineering. It covers basic methods and principles used by mechanical engineers, e.g., fundamentals of technical communication, the design process and problem solving, measurements and data analysis, engineering professionalism, safety, and intellectual property. The fundamentals of engineering graphical communication using computer-aided design (CAD) and freehand sketching will be a significant component of this course. Written, graphical and oral communications are emphasized. Examples are drawn from Mechanical Engineering. [Offered: F]"
ME 100B SEM 0.00,Seminar,"Discussion of the structure of and options within the mechanical engineering curriculum; of the operation of department, faculty, university, technical societies; of student team and graduate school opportunities; of safety training; and of subject material in support of core courses.  [Offered:  W,S]"
"ME 101 LAB,LEC,TUT 0.75",Introduction to Mechanical Engineering Practice 2,"This course is a continuation of ME 100 and is aimed at reinforcing the concepts related to technical communications, professionalism, and professional development, with emphasis on mechanical engineering concepts and practical examples. The fundamentals of programming are a significant component of this course, focusing on digital computing, and basic programming and algorithm writing. Programming examples are drawn from mechanical engineering. [Offered: W,S]"
"ME 115 LAB,LEC,PRJ,TST,TUT 0.50",Structure and Properties of Materials,"The relevance of materials to engineering practice. The microstructure of materials, crystallinity and crystal imperfections, glasses and amorphous solids. Elastic and plastic deformation in metals, viscoelasticity of plastics. Strengthening mechanisms in metals, polymers and ceramics. Fracture of brittle and ductile solids. Electrical and magnetic properties of materials. [Offered: W, S]"
"ME 123 LAB,LEC,TST,TUT 0.50",Electrical Engineering for Mechanical Engineers,"Definitions of electric and magnetic fields. Introduction to circuit theory (direct current) DC circuits, amplifiers, operational amplifiers, single- and three-phase (alternating current) AC circuits. Introduction to basic electronic devices. "
ME 200A LEC 0.00,Seminar,"Discussion of the structure of and options within the mechanical engineering curriculum; of the operation of department, faculty, university, technical societies; of student team and graduate school opportunities; of safety training; and of subject material in support of core courses. [Offered: F,W]"
ME 200B LEC 0.00,Seminar,"Discussion of the structure of and options within the mechanical engineering curriculum; of the operation of department, faculty, university, technical societies; of student team and graduate school opportunities; of safety training; and of subject material in support of core courses. [Offered: F,S]"
"ME 201 LAB,LEC,TUT 0.50",Advanced Calculus,"A continuation of First Year calculus, focusing on calculus of scalar and vector functions of several variables. Both classical calculus techniques and the computer implementation of numerical methods are discussed. Partial differentiation, total derivatives, chain rule, transformation of variables, Taylor series. Applications include geometrical problems, error estimation, maxima and minima, least squares curve fits. Multiple integration in standard coordinate systems, Jacobians. Vector calculus, divergence, curl, Laplacian, and Stokes', Green's and Divergence theorems. Scalar flux transport, work and energy, conservative force fields. [Offered: F, W]"
"ME 202 LEC,TUT 0.50",Statistics for Engineers,"Frequency distributions; measures of central tendency; standard deviation and other measures of dispersion. Probability. Binomial, Poisson, normal distributions. Techniques of sampling and statistical estimation. Tests of hypotheses; significance. The t-test and chi-squared test. Curve fitting by least squares. Statistical process control. Correlation and regression. Experimental design. [Offered: F, W]"
"ME 203 LEC,TUT 0.50",Ordinary Differential Equations,"Solution of ordinary differential equations. First and higher order differential equations. Nonlinear equations. Linear equations with constant and variable coefficients. Systems of linear equations. Applications involving simple dynamical systems and principles of mass, momentum and heat conservation will emphasize the role of ordinary differential equations in understanding the behaviour of physical systems. Introduction to the Laplace transform method for solving ordinary differential equations. [Offered: F, S]"
"ME 212 LEC,TUT 0.50",Dynamics,"An introduction to the kinematics of particle and rigid body motion. Impulse-momentum equations. Work-energy methods and Euler's equations. Simple gyroscopes. Vibrations. [Offered: F, S]"
"ME 219 LEC,TUT 0.50",Mechanics of Deformable Solids 1,"Concept of equilibrium, force analysis of structures and structural components, equilibrium of deformable bodies, stress and strain concepts, stress-strain relationships, stress analysis of prismatic members in axial, shearing, torsional and flexural deformations, shear force and bending moment diagrams. [Offered: F, W, S]"
"ME 220 LEC,TUT 0.50",Mechanics of Deformable Solids 2,"A general treatment of the behaviour of structural components from the study of stress and strain in solids. Topics include superposition, energy theorems, theories of failure, elastic and inelastic analysis of symmetrical bending, torsion of circular members, columns and stability, and virtual work. [Offered: F, S]"
"ME 230 LAB,LEC,TUT 0.50",Control of Properties of Materials,"Phase equilibria, non-equilibrium behaviour, heat treatment of metals, diffusion, strengthening processes. Alloying, composite materials, cold and hot working. Failure of engineering materials; creep, fatigue, corrosion and other environmental degradation processes. Prevention of service failures. [Offered: F, W]"
"ME 235 LAB,LEC,PRJ,TST,TUT 0.50",Materials Science and Engineering,"The microstructure of crystalline and amorphous materials including metals, polymers and ceramics.  Elastic and plastic deformation in metals, viscoelastic deformation of polymers and viscous deformation of ceramic glasses.  Fracture of brittle and ductile solids.  Phase equilibria, non-equilibrium behaviour, heat treatment of metals, diffusion, strengthening processes. [Offered: F]"
"ME 250 LEC,TUT 0.50",Thermodynamics 1,"The engineering science of energy. The scope and limitations of thermodynamics. Macroscopic approach to heat, work, energy and the First Law. Properties and state of simple substances. Control-mass and control-volume energy analysis. The Second Law of Thermodynamics, principle of increase of entropy, limiting cycle efficiencies, criteria for equilibrium. [Offered: F, S]"
"ME 262 LAB,LEC,TUT 0.50",Introduction to Microprocessors and Digital Logic,"Number systems, logic gates, Boolean algebra. Karnaugh maps and combinational logic design. Sequential logic and state machines. Programmable Logic Controllers (PLCs) and PLC programming using ladder logic and statement list.  Microcomputer structure and operation, I/O and interfacing. Assembly language programming. Laboratory work includes microcomputer and PLC programming. [Offered: F, S]"
"ME 269 LAB,LEC,TUT 0.50",Electromechanical Devices and Power Processing,"Review of circuit analysis. Basic electromagnetic theory. DC machines, synchronous generators, transformers, and induction motors. Introduction to typical speed and torque control techniques of machines using power electronic based devices.  "
ME 300A LEC 0.00,Seminar,"Discussion of the structure of and options within the mechanical engineering curriculum; of the operation of department, faculty, university, technical societies; of student team and graduate school opportunities; of safety training; and of subject material in support of core courses. [Offered: W,S]"
ME 300B LEC 0.00,Seminar,"Discussion of the structure of and options within the mechanical engineering curriculum; of the operation of department, faculty, university, technical societies; of student team and graduate school opportunities; of safety training; and of subject material in support of core courses. [Offered: F,W]"
"ME 303 LEC,TUT 0.50",Advanced Engineering Mathematics,"A continuation of ME 201 and ME 203 in which both classical calculus techniques and the computer implementation of numerical methods are discussed. Partial differential equations of mathematical physics: wave, diffusion, Laplace, Poisson equations. Boundary and initial conditions. Separation of variables. Numerical methods for ordinary and partial differential equations. Applications will emphasize the role of ordinary and partial differential equations in understanding the behaviour of physical systems. [Offered: W, S]"
"ME 321 LEC,TUT 0.50",Kinematics and Dynamics of Machines,"Principles of the geometry of motion, Uniform and non-uniform motion, linkage, gears, cams. Synthesis and analysis of mechanisms. Consideration of the static and dynamic forces in machines. Vibration analysis, response to shock, motion and force transmissibility, vibration isolation. [Offered: W, S]"
"ME 322 LAB,LEC,TUT 0.50",Mechanical Design 1,"Adequacy assessment and synthesis of machine elements with a focus on the design process.  Static failure of ductile and brittle materials, fatigue analysis of structures.  Topics include the design of welds, bolted connections, springs and shafts. [Offered: F, W]"
"ME 340 LAB,LEC,TUT 0.50",Manufacturing Processes,"The principles of manufacturing unit processes including casting, forming, machining and joining. Interactions between design, materials (metals, polymers, ceramics) and processes. Advantages and limitations, relative cost, and production rates of competitive processes. [Offered: W, S]"
"ME 351 LAB,LEC,TUT 0.50",Fluid Mechanics 1,"Physical properties of fluids and fundamental concepts in fluid mechanics. Hydrostatics. Conservation laws for mass, momentum and energy. Flow similarity and dimensional analysis as applied to engineering problems in fluid mechanics. Laminar and turbulent flow. Engineering applications such as flow measurement, flow in pipes and fluid forces on moving bodies. [Offered: F, W, S]"
