Course Number,Course Name,Course Description
Engineering Science 1050,FOUNDATIONS OF ENGINEERING PRACTICE,"Introduction to the principles and practices of professional engineering. The design studio fosters innovative thinking, improves problem solving, and provides context. Includes elements of need recognition, conceptualization, prototyping, and engineering design to satisfy commercial specifications. Emphasis on creativity, teamwork, communication and engineering skills necessary to practice in any engineering discipline."
Business Administration 1299E,BUSINESS FOR ENGINEERS,"Students learn business fundamentals in finance, marketing, engineering economics, organizational behaviour and general management. Students are taught business decisionmaking using the case method, wherein students explore real business issues, make management decisions, defend their position, and take action, within an active class environment of no more than 85 students."
Engineering Science 1022A/B/Y,ENGINEERING STATICS,"Analysis of forces on structures and machines, including addition and resolution of forces and moments in two and three-dimensions. The application of the principles of equilibrium. Topics: trusses; frames; friction; and centroids."
Chemistry 1302A/B,DISCOVERING CHEMICAL ENERGETICS,"An examination of how the fundamentals of energetics influence chemical processes. Topics include: gases, thermodynamics and thermochemistry, chemical equilibria, solubility, weak acids and bases, electrochemistry, and chemical kinetics."
Engineering Science 1021A/B,PROPERTIES OF MATERIALS IN ENGINEERING,"An introduction to the relationship between the microstructure and engineering properties of metals, ceramics, polymers, semi-conductors and composites."
Engineering Science 1036A/B,PROGRAMMING FUNDAMENTALS FOR ENGINEERS,"Designing, implementing and testing computer programs using Java and MATLAB to fulfill given specifications for small problems using sound engineering principles and processes. Awareness of the engineering aspects of the process of constructing a computer program."
Physics 1401A/B,PHYSICS FOR ENGINEERING STUDENTS I,"An introductory calculus-based laboratory course in physics covering the foundational principles of kinematics, force and motion, energy, linear momentum, rotation, torque and angular momentum, gravitation, fluids."
Physics 1402A/B,PHYSICS FOR ENGINEERING STUDENTS II,"An introductory calculus-based laboratory course in physics covering the foundational principles of oscillations, waves, electric fields and potential, DC circuits, magnetic fields, magnetic induction."
Biomedical Engineering 3201A/B,FUNDAMENTALS OF BIOMEDICAL ENGINEERING DESIGN,The objective of this course is to develop design skills and tools used in Biomedical Engineering. Integration of the engineering and life sciences will be illustrated by presenting design principles for medical devices and systems. Emphasis will be placed on engineering design for the cardiovascular and musculoskeletal systems.
Mechanical and Materials Engineering 2200Q/R/S/T,ENGINEERING SHOP SAFETY TRAINING,This course will provide mechanical engineering undergraduate students with consistent and appropriate training in the safe use of Engineering student shops.
Mechanical and Materials Engineering 2202A/B,MECHANICS OF MATERIALS,"Stress and strain, Mohr's stress circle, behaviour of structures, axial loading of columns and struts, torsion of shafts, bending of beams, buckling of columns and combined loading of components."
Mechanical and Materials Engineering 2204A/B,THERMODYNAMICS I,"Properties of a pure substance, first law of thermodynamics, processes in open and closed systems, second law of thermodynamics; ideal gases, compressors and energy conversion systems."
Mechanical and Materials Engineering 2213A/B,ENGINEERING DYNAMICS,"Topics include: rectilinear, angular and curvilinear motion; kinetics of a particle, a translating rigid body and a rigid body in pure rotation; definitions of different energies and energy balance: power and efficiency; and linear impulse and momentum."
Mechanical and Materials Engineering 2221A/B,COMPUTATIONAL METHODS FOR MECHANICAL ENGINEERS,"The objective of this course is to introduce data organization and processing techniques using spreadsheet tools; and numerical methods, model formulation and programming using advanced mathematical software tools. Applications in applied mathematics and mechanical engineering will be considered throughout the course."
Mechanical and Materials Engineering 2259A/B,PRODUCT DESIGN & DEVELOPMENT,Introduction to the engineering design and structured design methods. Topics include: mechanical design process; concept generation and evaluation; embodiment design; design for manufacture and assembly; design for product safety; principles of life-cycle engineering.
Mechanical and Materials Engineering 2260A/B,INDUSTRIAL MATERIALS,The principles and practice of shaping and strengthening industrial materials.
Mechanical and Materials Engineering 2273A/B,INTRODUCTION TO FLUID MECHANICS AND HEAT TRANSFER,"An introduction to fluid mechanics and heat transfer. The fluid mechanics covers fluid properties, fluid statics including buoyancy and stability, one-dimensional fluid dynamics including conservation of mass and energy and losses in pipe networks. Heat transfer covers development of the general energy equation for three dimensions and steady-state conduction in one and two dimensions."
Mechanical and Materials Engineering 2285A/B,ENGINEERING EXPERIMENTATION,"Measurement of physical quantities; experiment planning and design; characteristics of measurement systems; calibration, linearity, accuracy, bias and sensitivity; data acquisition systems; sampling theorem; signal conditioning; sources of errors; uncertainty analysis; data analysis techniques; systems for the measurement of displacement; velocity; acceleration; force, strain, pressure, temperature, flow rate, etc."
Statistical Sciences 2143A/B,APPLIED STATISTICS AND DATA ANLYSIS FOR ENGINEERS,"A data-driven introduction to statistics intended primarily for students in Chemical and Mechanical Engineering. Exploratory data analysis, probability, the Binomial, Poisson, Normal, Chi-Square and F distributions. Estimation, correlation and regression (model building and parameter estimation), analysis of variance, design of experiments. This course cannot be taken for credit in any module in Data Science, Statistics, Actuarial Science, or Financial Modelling, other than the Minor in Applied Statistics or the Minor in Applied Financial Modeling."
Biology 1001A,BIOLOGY FOR SCIENCE I,"The principles of biology taught using an integrative, question-based approach. Topics include inheritance, evolution and ecology. This course is intended for students registered in the Faculty of Science."
Biology 1002B,BIOLOGY FOR SCIENCE II,"The principles of biology taught using an integrative, question-based approach. This course is primarily intended for students enrolled in the Faculty of Science. Topics include enzyme structure/function, membrane structure/function, bioenergetics, photosynthesis, respiration, molecular genetics."
Mechanical and Materials Engineering 3303A/B,FLUID MECHANICS II,"Rigid-body motion and rotation, control volume method of analysis, conservation of mass, linear and angular momentum, centrifugal pumps, potential flow, dimensional analysis, viscous flow in channels and ducts, open channel flow, laminar and turbulent boundary layers, statistical description of turbulence"
