Course Number,Course Name,Course Description
MATH-1270,Linear Algebra,"This course will coverlinear systems,linear transformations, matrix algebra, determinants, vectors in Rn, dot product, orthogonalization,diagonalization,eigenvectorsand eigenvalues,in the context of and with an emphasis on a broad range of applications in Science and Engineering. (Prerequisite:"
MATH-1720,Differential Calculus,"This course will cover trigonometric functions and identities, inverse trigonometric functions, limits and continuity, derivatives and applications, mean value theorem, indeterminate forms and l'H√¥pital's rule, antiderivatives and an introduction to definite integrals. This course is for students who have taken both Ontario Grade 12 Advanced Functions (MHF4U) and Ontario Grade 12 Calculus and Vectors (MCV4U). Students who do not have credit for MCV4U should take MATH-1760. (Prerequisites: Ontario Grade 12 Advanced Functions (MHF4U) and Ontario Grade 12 Calculus and Vectors (MCV4U) or MATH-1780.) (Antirequisite: MATH-1760.) (3 lecture hours, 2 tutorial hours per week.)"
GENG-1110,Engineering Mechanics I,"Statics of particles and rigid bodies; trusses, frames, machines; centroids and centres of gravity; friction. (3 lecture, 2 tutorial hours a week.)"
GENG-1330,Engineering and Design,"Introductory engineering design course. Visualization techniques, graphical communication using sketching, isometric drawings, orthographic projection, section views, auxiliary views and descriptive geometry. Drafting portfolio.  Design portfolio consisting of open-ended problems: problem identification and formulation; analysis of the problem; problem solving techniques; graphical communication of the solution. Includes group work to develop personal, teamwork, leadership, and task completion skills.(3 lecture, 3 laboratory hours a week.)"
GENG-1180,Engineering and the Profession,"The Engineering and the Profession course is an introductory professional course for all Engineering students. The students will be introduced to and learn about various professional and academic topics, and may include but are not limited to: differences and similarities between the various engineering disciplines; academic performance, expectations, and procedures; strategies for academic success; extracurricular student opportunities; important career development issues; academic integrity and ethical considerations; sustainability considerations; and public health and safety responsibilities; and how engineering is broadly related to our society. The fundamentals of technical communications will be introduced, focusing on common technical writing needs, such as grammar, formatting, and style, as well as basic writing forms, such as memos and short documents. Additional topics may include the basics of common engineering measurements, technical principles and approaches, business and legal practices. (3 lectures hours a week.)"
CHEM-1103,Topics in General Chemistry,"An introduction to selected topics in modern chemistry for engineering: atomic and molecular structure, properties of matter and the periodic table, macroscopic chemical systems, stoichiometry, properties of the equilibrium state and applications to thermochemistry and electrochemistry. (Prerequisite: Grade 12""U""ù Chemistry or equivalent.) (3 lecture, 3 laboratory hours a week.)"
MATH-1730,Integral Calculus,"This course will cover antiderivatives, the definite integral and the fundamental theorem of calculus, techniques of integration, applications, improper integrals, sequences and series, convergence tests, power series, Taylor and Maclaurin series, and polar and parametric coordinates. (Prerequisite: MATH-1760 or MATH-1720.) (3 lecture hours, 1 tutorial hour per week.)"
PHYS-1410,Introductory Physics II,"Wave motion, sound, electricity and magnetism, light, and modern physics. (Prerequisite: PHYS-1400 or GENG-1110.) (3 lecture hours per week, 1 tutorial hour and 2 laboratory hours every week.) (Antirequisites: PHYS-1310) (Open to students in Engineering, Human Kinetics, Forensic Science, Bachelor of Arts and Science, and all programs within in the Faculty of Science; exceptions only with the permission of the Head or designate.)"
GENG-1200,Engineering Thermofluids,"Introductory thermodynamics, fluid mechanics, and heat transfer. Terminology and units; sources of and types of energy and their interchange; types of fluid flow and heat transfer; physical and thermal properties of fluids.  Solution of basic problems using laws of thermofluids; exploration of common thermofluid systems.  Includes demonstrations and laboratory-based experiments. (Prior knowledge from GENG-1110 or PHYS-1400 is recommended.)(3 lecture, 2 tutorial/laboratory hours per week)"
GENG-1190,Technical Communications,"The Technical Communications course focuses on teaching Engineering students effective oral and written communication techniques and approaches to improve their clarity and comprehensiveness when communicating to a variety of audiences. The topics covered may include but are not limited to: graphical communications, informative presentations; persuasive presentations; the use of visual aids for conveying technical/engineering information when speaking; resumes and job search communications; technical writing styles and formatting; information gathering and analysis; literature research techniques; topic development; summaries and abstracts; the use of visual tools such as graphs, figures, and tables; research documentation and referencing; developing and documenting instructions and procedures; proposals and technical reports. Ethical and legal issues in communications, such as plagiarism, will also be covered. Topics for discussion, assignments, and skills development activities may include issues and aspects taught in GENG-1180 or other relevant subjects. In addition, students will continue to receive periodic communications relevant to their academic and professional development."
MATH-2790,Differential Equations,"This course will cover first-order ordinary differential equations (ODEs), higher-order ODEs with constant coefficients, Cauchy-Euler equations, systems of linear ODEs, Laplace transforms, and applications to science and engineering. (Prerequisites: MATH-1730, and one of MATH-1250, MATH-1260 or MATH-1270.) (3 lecture hours, 1 tutorial hour per week.)"
GENG-2320,Engineering Software Fundamentals ,"Fundamental engineering problems and the application of digital computers to analyze these problems. Introduction to additional programming languages and computing concepts, and emphasizing the use of MATLAB in engineering computations(2 lecture, 2 tutorial hours a week.)"
GENG-2340,Electrical and Computing Fundamentals ,"Basic components of electric circuits; circuit laws and theorems; circuit analysis techniques; energy-storage elements; transient response of first and second-order circuits. (3 lecture, 3.0 laboratory/tutorial hours a week.) (Credit cannot be obtained for both GENG-2340 and ELEC-2140)."
MECH-2210,Dynamics,"Review of kinetics and kinematics of particles; work-energy and impulse-momentum methods; moments of inertia of areas and masses; kinematics of rigid bodies; plane motion;forces and accelerationsfor rigid bodies, energy and momentum methods for rigid bodies in plane motion.(Prerequisite: GENG-1110 or PHYS-1400)(3 lecture, 2 tutorial hours a week.)"
GENG-2500,Engineering and the Environment,"Introduction to: pollutants, natural cycles, natural energy use, human population and consumption, common environmental problems, effects on human health. Dimensions of environmental contamination and flow. Pollution Prevention: waste audits, mass balances (open and closed systems, with and without chemical change), waste reduction, industrial ecology, and design for the environment. Conversion of energy and efficiency. Energy: world consumption, sources and their potential, environmental effects. Occupational health and safety. Environmental legislation. Sustainability. (Prerequisite: CHEM-1103.) (3 lecture, 2 laboratory/tutorial hours or equivalent a week.)"
INDE-2010,Engineering Management and Globalization,"As globalization leads to an internationally integrated production and consumption of goods, cultural products, and services, local and national identities are challenged.  Globalization creates both challenges and opportunities for companies providing goods or services. This course discusses the impact of globalization on the industrial and systems engineering discipline, in a multidisciplinary and multi national context. For engineers to competently operate in a globalized environment, they must understand the context, methodologies content and outcomes. Critical thinking, systems thinking, integration of technical and, professional and business acumen is necessary. Stability requires knowledge about understanding the complexity involved and learning to manage it. The course will also deal with: impact on industrial, production, and national systems. It should help prepare students and giving them skills for solving complex systems, and life-long learning and continuous improvement.(Prerequisites: GENG-1190 and GENG-1330) (3 lecture, 2 laboratory hours a week.)"
MATH-2780,Vector Calculus ,"This course will cover quadric surfaces, vector differential calculus, functions of several variables, maximum and minimum problems, multiple integrals, vector differential operators, line and surface integrals, Green's theorem, Stokes' theorem and Gauss' theorem. (Prerequisites: MATH-1730, and one of MATH-1250, MATH-1260 or MATH-1270.) (3 lecture hours, 1 tutorial hour per week.)"
