Course Number,Course Name,Course Description
SC/CHEM 1100,Chemistry and Materials Science for Engineers,"The course is designed for Engineering students interested in refreshing and expending their general chemistry knowledge while exploring the relationship between structure of matter, properties and processing. This course will focus mainly at covering important introductory concept to understand solution chemistry including reactivity, thermochemistry, structure and properties of materials. The course is divided in six sections. The first section covers an introduction to the topic of Materials Science and its impact on our daily lives as well as future trends and review key chemistry concepts required for this course. The second section will present the states of matter (gas, liquid and solid), their physical characteristics and the forces holding materials together (bonding and intermolecular forces). The third section will expend on the liquid phase and properties of solutions including equilibrium, solubility, pH and pKa. The fourth section will deal with thermochemistry and its first law with an emphasis on enthalpy as well as phase changes and phase diagrams. Section six will present an introduction to the properties of solids (electronic and mechanical) and criteria in the selection of materials will also be discussed. Section seven will present in more details structure-properties and processing of soft materials (natural and artificial polymer) in the context of the material covered in the other sections. Prerequisites: 12U chemistry or equivalent. Course credit exclusion: SC/CHEM 1000 3.00."
LE/EECS 1011,Computational Thinking through Mechatronics,"The Objectives of 1011 are threefold: providing a first exposure to procedural programming, teaching students a set of soft computing skills (such as reasoning about algorithms, tracing programs, test-driven development), and demonstrating how computers are used in a variety of engineering disciplines. It uses problem-based pedagogy to expose the underlying concepts and an experiential laboratory to implement them. An integrated computing environment (such as MATLAB) is used so that students can pick up key programming concepts(such as variables and control flow) without being exposed to complex or abstract constructs. The problems are chosen with consultation with the various engineering disciplines in the Faculty with a view of exposing how computing is used in these disciplines. Course credit exclusions: LE/EECS1541 3.00."
LE/EECS 1021,Object Oriented Programming from Sensors to Actuators,"""Introduces student to computational thinking - a process-based approach to problem solving. It uses a problem-based pedagogy to expose the underlying concepts and an experiential laboratory to implement them. The programming language is chosen so that it is widely used in a variety of applications, is object-oriented, and is of industrial strength (Java is an example of such a language). The problems are chosen in order to expose abstract programming concepts by immersing them in relevant and engaging applications. The experiential laboratory is based on sensors and actuators that connect to a computer. The problems are chosen with consultation with the various engineering disciplines in the Faculty with a view of exposing how computing is used in these disciplines. Prerequisites: LE/EECS1011 3.00. Course credit exclusions: LE/EECS 1022 3.00. Previously offered as: LE/EECS1020 3.00, LE/CSE 1020 3.00."
LE/ENG  1101,"Renaissance Engineer 1: Ethics, Communication & Problem Solving","Who is an engineer and what are his/her ethical and academic integrity obligations; communications strategies for technical subjects in oral and written forms; dealing with ambiguity, uncertainties, and open ended problems in a technical context, problem definition strategies."
LE/ENG  1102,Renaissance Engineer 2: Engineering Design Principles,This course will cover: engineering design methodology; features and elements of good design with environment and human interface considerations; aesthetics in design and idea communication using graphics and technical drawings. Prerequisite: LE/ENG 1101 4.00.
LE/ENG  2001,"Engineering Projects: Management, Economics and Safety","Introduction to the management, economics and safety as they relate to engineering projects, including the following. Project management: work breakdown structures, Gantt charts, logic diagrams and change management. Engineering economics: time value of money, comparison methods, rates of return. Workplace safety. Group design projects. Prerequisites: LE/ENG 1101 4.00 or LE/ENG 1000 6.00."
LE/ENG  2003,Effective Engineering Communication,"Students learn to effectively employ communication strategies essential to a successful engineering career, including the social, rhetorical, ethical, and practical aspects of professional communications. The focus is on building individuals confidence and judgment through communications assignments based on case studies. Prerequisite: LE/ENG 1101 4.00."
LE/ENG  3000,Professional Engineering Practice,"An introduction to the legal and ethical frameworks of the engineering profession, preparing students for the Professional Practice Examination required for certification as a professional engineer. Also covered are associated professional issues such as entrepreneurship, intellectual property and patents. Prerequisites: LE/ENG 2001 3.00. Course credit exclusions: LE/EECS 3000 3.00"
LE/ENG  4000,Engineering Project (Capstone),"The project will include significant elements of design and implementation. The format is intended to resemble engineering projects in practice, including specifications, background research, innovative solutions, analysis, testing and communication. 2 terms. Prerequisite(s): 21 3000-level science or engineering credits in the Engineering Program, exclusive of LE/ENG 3000 3.00. Prerequisite or corequisite: LE/ENG 3000 3.00. Course credit exclusions: CIVL4000 , ESSE4000."
LE/ESSE 2210,Engineering and the Environment,"This course surveys a variety of Canadian case studies in environmental sustainability from an engineering perspective. The goal of this course is to provide students with exposure to the social aspects of large infrastructure projects, including the environmental assessment and stakeholder consultation processes. Climate change mitigation and adaptation are strong themes of this course."
SC/MATH 1013,Applied Calculus I,"Introduction to the theory and applications of both differential and integral calculus. Limits. Derivatives of algebraic and trigonometric functions. Riemann sums, definite integrals and the Fundamental Theorem of Calculus. Logarithms and exponentials, Extreme value problems, Related rates, Areas and Volumes. Prerequisite: SC/MATH 1520 3.00, or 12U Calculus and Vectors (MCV4U) or equivalent. Course credit exclusions: SC/MATH 1300 3.00, SC/MATH 1505 6.00, SC/MATH 1530 3.00, SC/MATH 1550 6.00, GL/MATH/MODR 1930 3.00, AP/ECON 1530 3.00, SC/ISCI 1401 3.00 and SC/ISCI 1410 6.00."
SC/MATH 1014,Applied Calculus II,"Calculus in Polar Coordinates. Techniques of Integration. Indeterminate Forms. Improper Integrals. Sequences, infinite series and power series. Approximations. Introduction to ordinary differential equations. Prerequisite(s): One of SC/MATH 1013 3.00, SC/MATH 1300 3.00, GL/MATH 1901 3.00, or SC/ISCI 1401 3.00 ; for non-science students only, six credits from SC/MATH 1530 3.00 and SC/MATH 1540 3.00, SC/MATH 1550 6.00, AP/ECON 1530 3.00 and AP/ECON 1540 3.00. Course credit exclusions: SC/MATH 1310 3.00, SC/MATH 1505 6.00, GL/MATH/MODR 1940 3.00, SC/ISCI 1402 3.00, SC/ISCI 1410 6.00."
SC/MATH 1025,Applied Linear Algebra,"Topics include spherical and cylindrical coordinates in Euclidean 3-space, general matrix algebra, determinants, vector space concepts for Euclidean n-space (e.g. linear dependence and independence, basis, dimension, linear transformations etc.), an introduction to eigenvalues and eigenvectors. Prerequisites: 12U Advanced functions (MHF4U) or equivalent. Course credit exclusions: SC/MATH 1021 3.00, SC/MATH 2221 3.00, GL/MATH/MODR 2650 3.00."
SC/MATH 2015,Applied Multivariate and Vector Calculus,"Topics covered include partial derivatives; grad, div, curl and Laplacian operators; line and surface integrals; theorems of Gauss and Stokes; double and triple integrals in various coordinate systems; extrema and Taylor series for multivariate functions. Prerequisite: One of SC/MATH 1010 3.00, SC/MATH 1014 3.00, SC/MATH 1310 3.00; or SC/MATH 1505 6.00 plus permission of the course coordinator. Course credit exclusions: SC/MATH 2010 3.00, SC/MATH 2310 3.00, GL/MATH 2670 3.00, GL/MODR 2670 3.00, GL/MATH 3200 3.00."
SC/MATH 2930,Introductory Probability and Statistics,"This is an applied probability and statistics course for engineering students. The aim is to provide an application oriented introduction to probability and statistics. The examples will be from a wide selection of engineering disciplines. The probability component is about 30% of the lectures. About 40% of the time, the lectures and tutorials focus on solving practical statistical problems that emerge from engineering problems. Prerequisites: SC/MATH 1014 3.00 or equivalent; SC/MATH 1025 3.00 or equivalent; LE/EECS 1011 3.00 or equivalent. Course credit exclusions: SC/MATH 1131 3.00; SC/MATH 2560 3.00; SC/MATH 2570 3.00; SC/MATH 2565 3.00."
SC/PHYS 1800,Engineering Mechanics,"Survey of the fundamental concepts of statics and dynamics with an emphasis on engineering applications. This is a calculus-based course intended primarily for engineering students. Prerequisites: 12U Physics or OAC Physics or SC/PHYS 1510 4.00. MHF4U Advanced Functions and MCV4U Calculus and Vectors, or 12U Advanced Functions and Introductory Calculus, or OAC Algebra and OAC Calculus. Corequisites: SC/MATH 1013 3.00 or SC/MATH 1300 3.00 or SC/MATH 1505 6.00. Course Credit Exclusions: SC/PHYS 1010 6.00, SC/PHYS 1410 6.00, SC/PHYS 1420 6.00; SC/ISCI 1310 6.00; SC/ISCI 1301 3.00."
SC/PHYS 1801,"Electricity, Magnetism and Optics for Engineers","A survey of physics in which fundamental concepts in electricity, magnetism and optics are emphasized through engineering applications. This is a calculus-based course intended primarily for engineering students. Prerequisite: SC/PHYS 1800 3.00 and SC/MATH 1013 3.00 or equivalent.  Corequisites: SC/MATH 1014 3.00 or SC/MATH 1310 3.00 or SC/MATH 1505 6.00. Course Credit Exclusions: SC/PHYS 1010 6.00, SC/PHYS 1410 6.00, SC/PHYS 1420 6.00; SC/ISCI 1310 6.00; SC/ISCI 1302 3.00."
LE/ESSE 1012,The Earth Environment,"Provides essential topics in Earth environment (Earth and oceanic science, atmospheric science, and geology) and explores the role played by global and local scale processes in shaping our planet. Concepts are described; the latest technology discussed, and links between engineering disciplines are provided. The course lectures are complemented by hands-on laboratory and field experience. Prerequisites: 12U calculus and vectors or 12U advanced functions, or SC/MATH 1515 3.00; 12U physics or SC/PHYS 1510 4.00. Corequisites: LE/ENG 1101 4.00; LE/ENG 1102 4.00; SC/PHYS 1800 3.00, SC/PHYS 1801 3.00."
