Course Number,Course Name,Course Description
GMC-3012,Introduction à la mécanique du bâtiment et aux énergies renouvelables,"Ce cours constitue une introduction à la mécanique du bâtiment en abordant les thèmes suivants : conditionnement de l’air, air humide, confort thermique, qualité de l’air intérieur, thermique du bâtiment, charge de chauffage, rayonnement solaire, charge de refroidissement, simulation énergétique, réseaux de distribution de fluide, éclairage. De plus, une partie du cours est consacrée aux énergies renouvelables, en particulier à la géothermie et à l’énergie solaire. Finalement, le cours propose à l'étudiant de réfléchir sur l’importance de l’énergie dans nos vies, dans un contexte de développement durable."
GMC-3015,Conception intégrée des systèmes CVAC-R,"Ce cours permet de mettre en application les principes du chauffage, de la ventilation, du conditionnement de l’air et de la réfrigération dans le cadre d’études de cas, d’analyse et de projets de conception. Il aborde des concepts et des stratégies liés à l’efficacité énergétique et au développement durable. L’étudiant apprend également à concevoir ou à choisir les principaux équipements utilisés en mécanique du bâtiment en utilisant des outils numériques de simulation de bâtiments. Le cours adopte une approche multidisciplinaire qui permet à l’étudiant d’interagir avec des intervenants d’autres domaines tels que l’architecture et le génie civil (conception intégrée)."
ARC-2001,Architecture et environnement,"Ce cours présente les notions fondamentales des sciences de l'environnement qui peuvent être utilisées en design architectural. Les effets du climat sur le confort de l'usager ainsi que sur la forme, l'orientation, le plan et les matériaux du projet d'architecture sont étudiés. Des méthodes de design visant la prise en compte du vent, de l'ensoleillement et de la neige, de même que le recours aux énergies renouvelables (passives et actives) sont également discutées."
ARC-3103,Acoustique architecturale,"Ce cours vise la compréhension des principes acoustiques appliqués à l'architecture. Il porte principalement sur la nature et les propriétés physiques du son; sur l'évaluation physiologique de l'intensité sonore; sur la conception, le contrôle et l'évaluation de l'acoustique des bâtiments (salles de concert, logement, etc.); et sur le choix et l'assemblage des matériaux et dispositifs appropriés."
GBO-2040,Charpentes en bois I,"Notions préliminaires : formes structurales, propriétés physiques et mécaniques du bois, produits du bois utilisés en charpente, calculs aux états limites. Calculs de conception des éléments de charpente selon la norme CSA-086.1 : objectifs et exigences, effets et combinaisons de charges, éléments fléchis (en bois massif et en bois lamellé-collé), éléments comprimés, éléments tendus, éléments subis à des charges combinées, assemblages (clous, boulons, etc.)."
GBO-4070,Enveloppe du bâtiment,"Ce cours comprend les fondements de l'enveloppe du bâtiment (les principes de science du bâtiment appliqués à la conception de l'enveloppe du bâtiment), l'introduction aux composants et systèmes typiques de l'enveloppe du bâtiment en Amérique du Nord, les méthodes et procédures d'essai ou d'évaluation du rendement de l'enveloppe du bâtiment, et les codes et les normes de construction pertinents. L'accent est mis sur la conception détaillée des enveloppes de bâtiment, y compris les murs, les fenêtres, les toits et les niveaux inférieurs. Les problèmes critiques tels que les performances à long terme, l'efficacité énergétique, la durabilité et la conception intégrée seront abordés."
GCI-2004,Structures de béton,"Théorie linéaire. Théorie à la rupture : règlement ACNOR A23.3. Poutres, poteaux et dalles. Moment de flexion et force axiale. Effort tranchant. Calcul des flèches. Flambement. Semelles de fondations. Cadres rigides plans. Structures et édifices."
GCI-2007,Structures métalliques,"Introduction et bases de calcul des charpentes d'acier. L'acier et ses propriétés. Dimensionnement des pièces en traction, en compression pure et en flexion. Calcul des assemblages."
GCI-3001,Impacts environnementaux,"Ce cours permet de s'initier aux études d'impacts et d'acquérir les outils méthodologiques pour de telles études. Il comprend la revue des processus fédéral et provincial d'évaluation des impacts et de leur cadre réglementaire; la revue des méthodes disponibles, des études de cas types sur des projets récents; l'identification et la gestion des conflits en matière d'impacts environnementaux. Notions de vérification environnementale."
GCI-3002,Gestion des eaux,Gestion des eaux par bassin versant et gestion des eaux en milieu urbain. Notions de qualité des eaux. Notions en production d'eau potable et en traitement des eaux usées. Comportement du milieu récepteur face à un déversement. Notions en gestion des eaux pluviales. Conception préliminaire des systèmes impliqués. Réutilisation des eaux.
GEL-2003,Électrotechnique,"Ce cours donne à l'étudiant les notions fondamentales de l'électrotechnique qui sont essentielles aux ingénieurs en génie électrique. Les circuits monophasés et triphasés sont étudiés en régime permanent : calcul de tension et courant, calcul et mesure de puissance. Les transformateurs monophasés et triphasés sont étudiés en régime permanent. La conversion de l'énergie électrique à l'aide de l'électronique de puissance est introduite. Les montages convertisseurs de base sont étudiés."
GEL-4100,Commande industrielle,"Ce cours porte sur la commande automatique appliquée aux procédés industriels. Tout d'abord, les principaux algorithmes monovariables sont traités dans le domaine continu : régulateur PID, commande de rapport, commande cascade, anticipation, prédicteur de Smith et commande à modèle interne. L'analyse et la commande des procédés multivariables sont ensuite présentées. L'accent est mis sur la commande continue algébrique décentralisée ou avec découpleurs. La gestion des contraintes est également considérée. Finalement, la commande numérique est abordée : chaîne d'acquisition de données, systèmes discrets, synthèse directe et commande à modèle interne. Les travaux pratiques, effectués en laboratoire, permettent une familiarisation avec les systèmes de commande industriels."
GEL-4799,Dangers de l'électricité,"Cette formation est requise pour l'accès à quelques-uns de nos laboratoires (locaux), et donc pour certains cours. Elle est exigée pour des raisons de norme technique de sécurité."
GMC-3551,Projet spécialisé,"Projet permettant de faire la synthèse ou d'appliquer des connaissances acquises dans un ou des cours du programme. Le travail est effectué sous la direction d'un professeur. Une proposition de projet doit être soumise pour approbation au responsable du cours, au plus tard pendant la première semaine du trimestre. Un rapport doit lui être remis à la fin du trimestre. Ce rapport est évalué suivant les modalités décrites dans le plan de cours."
GMC-4100,Commandes hydrauliques et pneumatiques,Identification des composantes d'un système hydraulique et pneumatique. Sélection des éléments requis par une fonction donnée. Élaboration de circuits simples et choix des composantes appropriées. Conception des systèmes hydrauliques et pneumatiques. Opération d'un système et détermination de la fonction des différents éléments. Asservissements hydrauliques et électrohydrauliques. Automatismes pneumatiques. Travaux pratiques.
ANL-2020,Intermediate English II,"Cours de niveau intermédiaire avancé destiné aux étudiants qui peuvent s'exprimer tant à l'oral qu'à l'écrit dans des situations courantes simples et qui peuvent lire et rédiger des textes relativement simples. Compréhension de l'oral et de l'écrit; expression orale et écrite. Structures grammaticales, vocabulaire et expressions idiomatiques, prononciation."
