Course Number,Course Name,Course Description
GLO-1901,Introduction à la programmation avec Python,"Ce cours introduit les principaux paradigmes de programmation servant à la résolution de problèmes en informatique. Il couvre notamment les programmations procédurale, fonctionnelle, orientée objet et événementielle. Pour illustrer ces paradigmes, il utilise le langage Python."
GMC-1001,Statique des corps rigides,"Statique des corps solides. Notion de force. Systèmes de forces : lois fondamentales de l'équilibre dans le plan et dans l'espace. Méthodes vectorielles. Treillis, cadres et machines. Application aux mécanismes simples. Centre de masse. Poutres et câbles. Frottement de Coulomb et glissement. Travaux virtuels."
GMC-1024,Modélisation 3D,"Introduction au dessin à vues multiples et au dessin isométrique, lignes cachées, représentation des filets, interprétation des dessins à vues multiples, coupes et sections, vues auxiliaire, concept de modélisation paramétrique par extrusion, révolution et autres méthodes plus avancées avec logiciel SolidWorks, axes, plans et entités de référence, règles de cotation des dessins, mise en plan, dessin d'ensemble et nomenclature, introduction aux assemblages, cotation de pièces, cotation fonctionnelle, mesures dimensionnelles, prise de mesures avec pied à coulisse et micromètre et incertitude de ces instruments de mesure, ajustements normalisés, chaînes minimales de cotes, introduction au tolérancement géométrique."
GML-1001,Matériaux de l'ingénieur,"Méthodes de caractérisation des matériaux. Cohésion et rigidité des matériaux. Architecture atomique. Matériaux sous contrainte. Comportement des mélanges. Propriétés mécaniques, thermiques, électriques et magnétiques. Métaux et alliages métalliques, polymères, composites, bois et bétons. Dégradation des matériaux."
MAT-1900,Mathématiques de l'ingénieur I,Calcul différentiel des fonctions de plusieurs variables : théorie et applications. Nombres complexes; polynômes. Équations différentielles du premier ordre et du premier degré; méthodes numériques. Équations différentielles du second ordre de types spéciaux. Équations différentielles linéaires d'ordre n à coefficients constants. Systèmes d'équations différentielles. Applications.
GMC-1003,Introduction à la mécanique des fluides,"Propriétés du fluide et concepts fondamentaux. Statique des fluides. Cinématique des fluides. Dynamique d'un fluide incompressible non visqueux. Applications élémentaires des principes de conservation de la masse, de la quantité de mouvement, du moment cinétique. Quelques techniques de mesure en mécanique des fluides. Analyse différentielle des écoulements des fluides : conservation de la masse, écoulements potentiels, équation de Navier-Stokes incompressible. Analyse dimensionnelle et théorie des modèles."
GMC-2001,Résistance des matériaux,Efforts internes dans un système mécanique. Révision de quelques propriétés mécaniques de matériaux usuels. Effort normal. État de contrainte et de déformation en un point d'un solide chargé. Moment de flexion et effort tranchant dans les poutres longues à faible courbure. Moment de torsion. Poutres en compression : le flambage.
MAT-1910,Mathématiques de l'ingénieur II,"Intégrales simples, calcul formel et numérique. Intégrales multiples, coordonnées curvilignes, applications. Calcul des champs de vecteurs. Intégrales sur les courbes et les surfaces : applications, circulation, travail, flux. Théorèmes fondamentaux : Stokes, Gauss; applications à la physique."
MAT-2910,Analyse numérique pour l'ingénieur,Calcul numérique. Algèbre linéaire. Résolution de systèmes non linéaires. Approximation. Intégration et dérivation. Différences finies. Équations différentielles du premier ordre.
GMC-1002,Introduction à la thermodynamique,"Concepts de base et définitions. Propriétés des substances pures, équilibre des phases, tables de variables thermodynamiques. Travail et chaleur. Notions de systèmes et de volumes de contrôle. Premier principe. Second principe. Notions de machines, de réfrigérateurs et de pompes thermiques. Rendements. Entropie. Mélanges de gaz parfaits : analyse volumétrique et gravimétrique, propriétés."
