Course Number,Course Name,Course Description
GMN-2902,Santé et sécurité pour ingénieur III,"Problèmes de santé et de sécurité du travail, lois et règlements. Accidents et maladies professionnelles. Éléments d'ergonomie et postures de travail. Conséquences des accidents, incidents et maladies professionnelles. Organisation de la sécurité en entreprise. Systèmes de prévention. Évaluation en sécurité. SIMDUT. Notions du risque. Types d'expositions. Fondements de normes. Évaluation des risques associés aux poussières, aux bruits, aux vibrations, à la contrainte thermique et à l'éclairage. Méthodes de mesure, contrôle et protection, normes et règlements. Sécurité industrielle. Mesure du niveau de danger. Acceptabilité du risque. Gestion du risque. Santé publique, sécurité et environnement. Devoirs et responsabilités juridiques des ingénieurs. Lois, normes et règlements en matière de sécurité, risques et gestion de risques. Maladies infectieuses et santé des travailleurs expatriés."
MED-1100,Santé et sécurité au travail : notions de base,"L'objectif de ce cours est d'initier l'étudiant aux notions de base des différentes disciplines liées à l'évaluation des problèmes de santé et de sécurité au travail et de le familiariser avec les moyens d'intervention susceptibles d'améliorer cette situation. Il s'intéresse à l'apport de disciplines telles que : l'hygiène industrielle, la toxicologie industrielle, l'épidémiologie, la sécurité au travail, l'ergonomie, la psychologie industrielle. Ce cours aborde aussi les structures ainsi que les mécanismes d'intervention en santé et sécurité au travail comme : la législation, la CNESST, le réseau public de la santé au travail, les syndicats et les employeurs."
GMC-4150,Introduction à l'aérodynamique,La statique de l'atmosphère. Équations intégrales de base en dynamique des fluides. Équations de Navier-Stokes. Écoulements incompressibles non visqueux : équations d'Euler et de Bernoulli; circulation et vorticité; théorème de Kelvin. Écoulements potentiels : équation de Laplace; solutions élémentaires; méthodes des panneaux source. Condition de Kutta; théorème de Kutta-Joukowski; génération de portance. Paramètres géométriques et aérodynamiques des ailes. Théorie des ailes minces symétriques et cambrées. Méthode de panneaux de vorticité. Aile d'envergure finie : vitesse et traînée induite; théorème de Helmholtz; loi de Biot-Savart; théorie de la ligne portante de Prandtl. Aérodynamique numérique et méthodes expérimentales.
GMC-4151,Propulsion aéronautique et spatiale,"Application des principes fondamentaux de la mécanique des fluides et de la thermodynamique à l'analyse des systèmes de propulsion. Les domaines à l'étude incluent les turboréacteurs, les turbopropulseurs, les turbosoufflantes et les statoréacteurs ainsi que leurs composantes internes tels les compresseurs, les foyers de combustion et les turbines. Enfin, une discussion sur l'évolution des fusées et les exigences pour une mission spatiale est présentée."
PHY-2100,Sciences de l'espace,Ce cours s'adresse aux étudiants inscrits à un programme de sciences et génie ou de géomatique. Il constitue une introduction à la recherche spatiale et aux problèmes spécifiques de l'espace. Sondes spatiales et satellites artificiels. L'environnement spatial et son utilisation. Luminescence atmosphérique terrestre et atmosphères planétaires. Les sources d'énergie cosmiques. Éléments d'astrodynamique. Exploration de l'espace. Programmes scientifiques et techniques. Politique spatiale canadienne.
ARC-2001,Architecture et environnement,"Ce cours présente les notions fondamentales des sciences de l'environnement qui peuvent être utilisées en design architectural. Les effets du climat sur le confort de l'usager ainsi que sur la forme, l'orientation, le plan et les matériaux du projet d'architecture sont étudiés. Des méthodes de design visant la prise en compte du vent, de l'ensoleillement et de la neige, de même que le recours aux énergies renouvelables (passives et actives) sont également discutées."
ARC-3103,Acoustique architecturale,"Ce cours vise la compréhension des principes acoustiques appliqués à l'architecture. Il porte principalement sur la nature et les propriétés physiques du son; sur l'évaluation physiologique de l'intensité sonore; sur la conception, le contrôle et l'évaluation de l'acoustique des bâtiments (salles de concert, logement, etc.); et sur le choix et l'assemblage des matériaux et dispositifs appropriés."
GBO-2040,Charpentes en bois I,"Notions préliminaires : formes structurales, propriétés physiques et mécaniques du bois, produits du bois utilisés en charpente, calculs aux états limites. Calculs de conception des éléments de charpente selon la norme CSA-086.1 : objectifs et exigences, effets et combinaisons de charges, éléments fléchis (en bois massif et en bois lamellé-collé), éléments comprimés, éléments tendus, éléments subis à des charges combinées, assemblages (clous, boulons, etc.)."
GBO-4070,Enveloppe du bâtiment,"Ce cours comprend les fondements de l'enveloppe du bâtiment (les principes de science du bâtiment appliqués à la conception de l'enveloppe du bâtiment), l'introduction aux composants et systèmes typiques de l'enveloppe du bâtiment en Amérique du Nord, les méthodes et procédures d'essai ou d'évaluation du rendement de l'enveloppe du bâtiment, et les codes et les normes de construction pertinents. L'accent est mis sur la conception détaillée des enveloppes de bâtiment, y compris les murs, les fenêtres, les toits et les niveaux inférieurs. Les problèmes critiques tels que les performances à long terme, l'efficacité énergétique, la durabilité et la conception intégrée seront abordés."
GCI-2004,Structures de béton,"Théorie linéaire. Théorie à la rupture : règlement ACNOR A23.3. Poutres, poteaux et dalles. Moment de flexion et force axiale. Effort tranchant. Calcul des flèches. Flambement. Semelles de fondations. Cadres rigides plans. Structures et édifices."
GCI-2007,Structures métalliques,"Introduction et bases de calcul des charpentes d'acier. L'acier et ses propriétés. Dimensionnement des pièces en traction, en compression pure et en flexion. Calcul des assemblages."
GCI-3001,Impacts environnementaux,"Ce cours permet de s'initier aux études d'impacts et d'acquérir les outils méthodologiques pour de telles études. Il comprend la revue des processus fédéral et provincial d'évaluation des impacts et de leur cadre réglementaire; la revue des méthodes disponibles, des études de cas types sur des projets récents; l'identification et la gestion des conflits en matière d'impacts environnementaux. Notions de vérification environnementale."
