Course Number,Course Name,Course Description
GMC-3351,Éléments de robotique,"Introduction. Rappels de cinématique et de dynamique, mouvement des corps rigides dans l'espace. Modèles géométrique, cinématique et dynamique des manipulateurs. Planification de trajectoires et de tâches à réaliser. Principes de la commande d'un robot."
GEL-4250,Commande des systèmes avancée,"Représentation d'état : représentation continue et discrète, propriétés, observabilité et gouvernabilité. Observateurs : Luenberger, filtre de Kalman. Commande modale : continue et discrète, ajout d'une action intégrale, ajout d'un observateur. Commande linéaire quadratique (LQ) : continue et discrète, ajout d'une action intégrale, ajout d'un filtre de Kalman (commande LQ Gaussienne). Commande prédictive : principe de l'horizon fuyant, critère de commande, équations de prédiction, paramètres de réglage, contraintes. Commande robuste : performances fréquentielles, incertitudes, stabilité et performance robustes, design des régulateurs."
GIF-1003,Programmation avancée en C++,"Programmation orientée objet en C++. Éléments de syntaxe et sémantique. Implantation de classes : encapsulation, méthodes et attributs de classe. Surcharge des méthodes et des opérateurs. Notion de contrat et test unitaire. Normes de programmation. Héritage, hiérarchie de classes et polymorphisme. Gestion de la mémoire. Gestion des erreurs et des exceptions. Librairie standard du C++ (STL)."
GIF-4101,Introduction à l'apprentissage automatique,"Ce cours porte sur les méthodes permettant l'inférence à partir d'observations de modèles de classement, de régression, d'analyse de données ou de prise de décision. Ces méthodes se caractérisent par une phase d'entraînement à partir de données ou d'expériences, afin d'effectuer des tâches qui seraient difficiles ou impossibles à faire par des moyens algorithmiques plus classiques. Le cours aborde différentes approches actives en apprentissage et cherche à expliquer leurs mécanismes de base. Une perspective applicative de ces différentes techniques est également présentée, avec un accent particulier sur l'utilisation d'outils logiciels modernes."
GLO-4001,Introduction à la robotique mobile,"Ce cours offre un aperçu des principes généraux de la robotique mobile. Les composantes de bases utilisées en robotique mobile, telles que les actionneurs et les capteurs (sonar, laser, caméras et centrale inertielle), sont présentées. Une brève introduction aux boucles d'asservissement est aussi abordée. La partie algorithmique du cours traite de la locomotion, la localisation, la navigation, l'exploration et la cartographie de l'environnement."
GMC-3300,Mécatronique,"Apprentissage des concepts de la mécatronique à l'aide de projets. Rappels sur les éléments de base, les circuits logiques et analogiques, les capteurs, les transistors de puissance et les actuateurs. On insiste particulièrement sur la programmation d'un microcontrôleur, le langage C, le langage machine et l'interfaçage avec les systèmes mécaniques. Commande de puissance, amplification, pont, modulateur d'ondes et asservissement PID. L'étudiant est amené à réaliser des projets sur l'acquisition de données, le conditionnement de signal, la commande de moteurs à pas et CC asservis, une valve proportionnelle et son intégration dans un système de contrôle, etc."
GMC-3551,Projet spécialisé,"Projet permettant de faire la synthèse ou d'appliquer des connaissances acquises dans un ou des cours du programme. Le travail est effectué sous la direction d'un professeur. Une proposition de projet doit être soumise pour approbation au responsable du cours, au plus tard pendant la première semaine du trimestre. Un rapport doit lui être remis à la fin du trimestre. Ce rapport est évalué suivant les modalités décrites dans le plan de cours."
GMC-4048,Analyse et synthèse cinématique des mécanismes,"Classification des mécanismes, mobilité et contraintes cinématiques, rappels de cinématique des corps rigides. Analyses graphique et algébrique de la cinématique des mécanismes plans. Analyse statique et équilibrage des mécanismes plans. Synthèse des mécanismes. Éléments de la théorie des vis."
GMC-4100,Commandes hydrauliques et pneumatiques,Identification des composantes d'un système hydraulique et pneumatique. Sélection des éléments requis par une fonction donnée. Élaboration de circuits simples et choix des composantes appropriées. Conception des systèmes hydrauliques et pneumatiques. Opération d'un système et détermination de la fonction des différents éléments. Asservissements hydrauliques et électrohydrauliques. Automatismes pneumatiques. Travaux pratiques.
GMC-4200,Fabrication assistée par ordinateur,"Automatisation de la fabrication. Machines-outils à commande numérique : technologie; langages machine et conversationnel; cellules et applications. Robotique : technologie des robots; langages, Karel, cellules robotisées, applications diverses. Les systèmes de fabrication automatisée : véhicules autoguidés et convoyeurs, AS/RS; conception de systèmes TG; pilotage, automates (API) et langages; simulation. Intégration : CAO-FAO, communication et réseaux locaux (MAP). Justification économique. Des laboratoires d'usinage sur-MOCN, de robotique pour l'assemblage, de systèmes de fabrication piloté par automate, ainsi que de CFAO sont prévus."
ANL-2020,Intermediate English II,"Cours de niveau intermédiaire avancé destiné aux étudiants qui peuvent s'exprimer tant à l'oral qu'à l'écrit dans des situations courantes simples et qui peuvent lire et rédiger des textes relativement simples. Compréhension de l'oral et de l'écrit; expression orale et écrite. Structures grammaticales, vocabulaire et expressions idiomatiques, prononciation."
