Course Number,Course Name,Course Description
GCIV4011,Développement durable et ing.,"(3-0)Préalables :  GCIV3220 ou GELE3211 ou GMEC3412Notions de développement durable. Conséquences de pratiques non durables. Outils de mesure de la durabilité. Analyse du cycle de vie. Processus de conception durable en ingénierie. Idées, outils et principes d'efficience environnementale des techniques et des technologies.

OBJECTIFS DE COURS :

À la fin du cours, l'étudiante ou l'étudiant pourra : analyser les aspects sociaux, environnementaux et économiques des activités liées au génie; analyser le cycle de vie d'un projet d'ingénierie; comprendre les interactions du génie avec les aspects économiques, sociaux et environnementaux; intégrer des défis que présente le concept de développement durable pour la profession d'ingénierie; analyser les incertitudes liées à la prévision des interactions entre les activités liées au génie et les aspects environnementaux, sociaux et économiques."
GCIV5010,Lois et déontologie,"(3-0)Préalables :  GCIV3220 ou GELE3211 ou GMEC3412 ou ADGO2432Lois et règlements liés à la profession d'ingénieur; éthique, déontologie et conflit d'intérêt; code de déontologie des ingénieurs; lois de l'hygiène et santé au travail, normes et codes du travail; notions ergonomiques; enquête et analyse d'accidents au travail; préparation à la certification SIMDUT ou équivalent; projets d'application.

OBJECTIFS DE COURS :

À la fin de ce cours, l'étudiante ou l'étudiant: aura développé les aptitudes nécessaires au respect des principes d'éthique et de la responsabilité professionnelle ainsi que de l'équité; aura appris à agir selon les normes et principes de la santé et de la sécurité au travail; pourra analyser le respect ou non de ces principes dans le contexte de son travail."
GELE1012,Outils d'ingénierie,"(3-1)Formulation et solution de problèmes d'ingénierie à l'aide d'outils de calcul informatisés : calculs symbolique et numérique. Principes de programmation : algorithmes, variables, types, structures de contrôle, fonctions, éléments graphiques, vecteurs et matrices, manipulation de fichiers. Applications à des problèmes de génie civil, électrique et mécanique."
GELE2012,Circuits électriques,"(3-2)Préalables :  MATH1173 et PHYS1373Éléments de circuits. Lois d'Ohm et lois de Kirchhoff. Circuits résistifs et circuits réactifs : mise en équations et solutions. Circuits équivalents Thévenin et Norton. Régime transitoire. Régime sinusoïdal permanent; théorie des phaseurs; relations de puissance. Code canadien de l'électricité et sécurité au travail.

OBJECTIFS DE COURS :

À la fin du cours, l'étudiante ou l'étudiant doit : connaître les concepts fondamentaux des circuits électriques; comprendre les techniques d'analyse des circuits électriques passifs et actifs; connaître les comportements des circuits en régimes transitoire et permanent."
GELE4010,Économie en ingénierie,(3-0)Préalables :  MATH2023Prinicipe d'équivalence. Valeur actuelle nette. Valeur annuelle équivalente. Coût capitalisé. Taux de rendement interne et externe. Rapport avantages/coûts. Délai de récupération. Seuil de rentabilité. Indice de rentabilité. Estimation des coûts et inflation. Analyse de remplacement. Durée de vie optimale. Analyse économique après taxes.
GMEC1013,Dessin et conception en ing.,"(3-2)Normes et conventions des dessins industriels. Visualisation de pièces : projection orthogonale, cotation, coupes et sections. Réalisation et interprétation des plans d'ingénierie : normes canadiennes, plans techniques de génie civil, électrique et mécanique. Dimensionnement géométrique et tolérances. Modélisation solide. Initiation au processus de design en équipe par projet."
GMEC1014,Matériaux en ingénierie,"(3-1)Préalables :  CHIM1013 ou CHIM1014Méthodes de caractérisation des matériaux, contraintes et déformations, propriétés mécaniques, cohésion et rigidité, architectre atomique, matériaux sous contraintes, mélanges et phases, modification des propriétés, fluage, fatigue, dégradation des matériaux."
GMEC2010,Statique,(3-1)Préalables :  GELE1012 et MATH1173Concomitant :  MATH2023Même description que GCIV2010.
GMEC2210,Résistance des matériaux,(3-2)Préalables :  GMEC1014 et (GCIV2010 ou GMEC2010) et GCIV1011Même description que GCIV2210.
GMEC2311,Dynamique,"(3-1)Préalables :  GCIV1011 et (GCIV2010 ou GMEC2010)Particules : cinématique, 2e loi de Newton, énergie et travail, impulsion et quantité de mouvement. Systèmes à masse variable. Corps rigides : cinématique, relation entre l'effort, l'inertie et l'accélération, moments d'inertie et produits d'inertie, énergie de travail, impulsion et quantité de mouvement. Introduction aux vibrations."
