Course Number,Course Name,Course Description
GEN0009,Atelier : santé et sécurité au travail,"Identifier les principales lois, normes et organismes reliés à la SST. Porter un jugement critique sur les structures en place. Contribuer à l'application des principales lois, règlements et normes dans son milieu de travail. Sensibiliser à l'impact des accidents de travail et à l'importance d'une législation dans ce domaine. Développer une approche préventive."
GEN1005,Calcul I,"Favoriser un arrimage harmonieux entre la formation mathématique acquise au collégial et les exigences de l'École. Comprendre l'importance, en regard des applications, de l'approximation de fonctions par des expressions n'impliquant que des opérations élémentaires (séries). Connaître les concepts fondamentaux relatifs aux fonctions à valeurs réelles mais qui dépendent de plusieurs variables réelles, ainsi qu'à leurs dérivées. Séries et approximations d'une fonction à une variable, polynôme et série de Taylor, erreur d'approximation, critères de convergence. Nombres complexes : arithmétique des nombres complexes, représentation dans le plan complexe, formes polaire et d'Euler. Fonctions de plusieurs variables : représentation de fonctions, courbes et surfaces de niveau, dérivées partielles, différentielle, gradient et dérivée directionnelle, dérivation en chaîne, polynôme de Taylor à plusieurs variables. Optimisation : extremums sans contrainte,  méthode du gradient, extremums avec contrainte d'égalité ou d'inégalité, multiplicateur de Lagrange."
GEN1100,Introduction au génie et aux projets d'ingénierie,"Amener les étudiants à découvrir en quoi consiste le travail de l'ingénieur : ses réalisations, son profil de carrière, la façon dont il est perçu dans la société, les exigences de sa formation universitaire, les spécialités, etc. et à les amener à confirmer leur choix de carrière. Dans le cadre de la réalisation d'un miniprojet d'ingénierie en équipe, leur permettre d'appliquer la méthode utilisée par les ingénieurs lors de la réalisation de projet d'ingénierie de même que les principes du travail en équipe efficace et les principes reconnus de la rédaction technique et d'une présentation orale. La profession d'ingénieur : nature du travail, types de réalisations, carrières, spécialités, nature de la formation universitaire, recherche de pointe. Réalisation d'un miniprojet : formulation du problème, recherche de solutions, étude de praticabilité, étude de praticabilité, étude préliminaire et prise de décision. Travail en équipe et tenue de réunions efficaces. Planification et rédaction d'un rapport technique. Exposés."
GEN2210,Statique,"Rendre capable de calculer les composantes vectorielles des forces générées dans les membrures d’une structure à l’équilibre et de déterminer les centres de gravité et les moments d’inertie. Forces, couples, systèmes équivalents et équilibre dans le plan et dans l’espace. Applications aux fermes et charpentes de machines. Frottement sec. Centroïde et centres de gravité de corps composés. Moments et produit d’inertie de corps composés. Moments et axes principaux. Cerce de Mohr."
GEN2250,Communication graphique,"Faire connaître les méthodes de communication graphique utilisées dans l'industrie par toute personne impliquée dans la préparation et la réalisation d'un projet. Acquérir la capacité de s'exprimer et de communiquer graphiquement selon les normes et conventions établies, principalement en faisant un usage adéquat des normes canadiennes (ACNOR) de dessin technique. Développer la capacité de communiquer et de s'exprimer graphiquement par la méthode du croquis (à main levée) et à l'aide d'un logiciel reconnu, tel AutoCAD. Analyser et maîtriser le principe de la projection orthogonale. Développer la visualisation spaciale (3D) afin de pouvoir interpréter les plans correctement. Être en mesure de localiser, d'analyser et d'interpréter les informations lors de la lecture de plans. Écriture normalisée. Nature et calibre des traits, convention des lignes cachées, priorité des lignes, introduction à la projection orthogonale et à la représentation isométrique. Technique du croquis (dessin à main levée). Théorie sur la projection orthogonale et représentation isométrique des surfaces planes. Théorie sur la projection des surfaces de révolution, cas particuliers d'intersections et de tangence, représentation isométrique. Théorie sur la représentation des congés et arrondis, surfaces brutes, surfaces usinées, arêtes et contours fictifs. Introduction aux différentes techniques de coupe: conventions et hachures, coupe complète. Théorie sur les différentes techniques de coupe: coupes à plans parallèles, coupe à plans sécants, conventions régissant les coupes de nervures, sections rabattues, sections sorties, coupes locales, demi-coupes, vues partielles et intersections, brisures conventionnelles. Théorie sur les conventions de cotation. Théorie sur la codification et la représentation conventionnelle des filetages intérieurs et extérieurs. Théorie sur les dessins d'assemblage. Théorie sur les vues auxiliaires du premier degré. Logiciel AutoCAD."
GEN3307,Informatique I,"Acquérir les notions fondamentales de l'informatique. L'environnement informatique local : ordinateur et périphériques, système d'exploitation, langage de programmation C. Méthodologie de la programmation : programmation structurée, affinement progressif, algorithme. Rédaction de rapports de programmes. Techniques informatiques : modes de traitement, structures de données, fiches et fichiers."
GEN4110,Chimie pour ingénieurs,"Acquérir les notions fondamentales de la chimie applicables en ingénierie. Tableau périodique et liaison chimique. États de la matière cinétique de réaction. Équilibre en solution aqueuse. Électrochimie. Chimie de l'environnement. Hydrocarbures, polymères et fonctions dérivées."
GEN1007,Calcul II,"Étendre (aux fonctions de deux et trois variables) le concept et les propriétés de l'intégrale d'une fonction d'une seule variable. Comprendre comment les courbes et les surfaces peuvent être paramétrées. Connaître la notion et l'utilité pour le génie des champs vectoriels. Connaître les notions de l'intégrale curviligne et des intégrales de flux à travers différentes surfaces. Comprendre la relation entre des intégrales de flux et d'autres intégrales. Intégrales multiples.  Systèmes de coordonnées.  Changements de variables. Courbes et surfaces paramétrées.  Intégrales curvilignes : travail et circulation.  Champs vectoriels gradients et  champs conservatifs.  Théorème de Green.  Intégrales de surface et de flux pour les graphes, cylindres, sphères et surfaces  paramétrées.  Divergence et théorème de divergence.  Rotationnel  et théorème de Stokes."
GEN1201,L'ingénieur et la société II,"Permettre à l'étudiant de se sensibiliser à ses devoirs envers sa profession, ses collègues et la société. L'environnement. Comment il est affecté par la technologie (introduction)."
GEN2800,Morphologie des machines,"Connaître les principales caractéristiques des composantes de machines et d'apprendre à les représenter. Comprendre les grandes étapes de la conception des systèmes mécaniques de transmission de puissance ainsi que les diverses techniques de montage qui permettent d'en agencer les composantes harmonieusement. En plus de traiter ces aspects de conception et de montage, certains éléments de machines sont étudiés plus en détail sur le plan fonctionnel. Cours de base en génie électromécanique qui forme les ingénieurs aux tâches de conception, entretien et de réparation des machines. Théorie des machines. Théorie de l'agrégat. Transmission de puissance. Éléments de tribologie. Lubrifiants et paliers lisses. Roulements. Moteurs (thermiques, électriques, etc.). Machines de travail (turbines, ventilateurs, compresseurs, soufflantes, etc.). Éléments et organes (Courroies, ressorts, arbres et montages, accouplements, freins et embrayages, engrenages, etc.)."
