Course Number,Course Name,Course Description
6DDG100,Sciences graphiques, Introduire à un langage universel  de la conception mécanique et au dessin technique.  Permettre au concepteur de communiquer ses idées aux fins d'analyse où de fabrication. Habiliter à la visualisation et à l'interprétation en employant le dessin sur papier et les méthodes assistées par ordinateur DAO. Développer la capacité à penser en trois dimensions en visualisant et manipulant divers objets réels et en les représentant de façon adéquate par les différentes méthodes du dessin technique. Rappels géométriques. Instruments de base. Tracés géométriques. Croquis et description de forme. Dessin à vues multiples. Coupes et sections. Conventions de représentation particulières. Vues auxiliaires. Cotation. Tolérances et ajustements. Classification des projections. Intersections et développements. Notions de lecture de plans. Introduction aux différents langages de dessin assisté par ordinateur (DAO et CAO). Les différentes notions du cours sont mises en application par des exemples et devoirs lors des séances de travaux dirigés.
6GEI218,Circuits électriques," Analyser les circuits électriques en appliquant les lois d'Ohms et de Kirchhoff, les méthodes des tensions de noeud et des courants de maille, les théorèmes de Thévenin, de Norton, et de superposition. Établir des modèles dynamiques et analyser les transitoires des circuits électriques de premier et de deuxième ordre. Éléments de base des circuits électriques: tension, courant, résistance, inductance, condensateur, sources indépendantes, sources contrôlées. Lois d'Ohm et de Kirchhoff. Analyse des circuits en régime continu: méthode des tensions de noeud, méthode des courants de maille. Théorèmes de Thévenin et de Norton, superposition. Analyse transitoire des circuits en continu de premier et de deuxième ordre (RL, RC, RLC)."
6GEI322,Électrotechnique," Rendre l'étudiant apte à utiliser les principes fondamentaux d'électromagnétisme et les principes de conversion électromécanique de l'énergie pour calculer les performances des machines électriques. Les circuits monophasés: terminologie, opération élémentaire sur les phaseurs, étude du régime permanent dans un circuit R, L, C (notion d'impédance). Puissance des courants alternatifs sinusoïdaux, facteur de puissance, facturation électrique. Les circuits triphasés: terminologie, représentation des systèmes triphasés équilibrés, groupement des circuits triphasés, puissance dans les systèmes triphasés équilibrés, couplage des récepteurs en étoile et en triangle, transformation étoile - triangle, mesure de puissance en circuit triphasé, intérêt des systèmes triphasés, correction de facteur de puissance.  Rappel des notions fondamentales d'électromagnétisme. Circuits magnétiques: calcul des circuits magnétiques, circuits couplés, énergie magnétique emmagasinée, phénomène d'hystérésis, puissance et pertes dans le noyau, schéma électrique équivalent d'une bobine, chauffage par induction, aimants permanents. Transformateurs: définition transformateur parfait, transformateur réel, rendement d'un transformateur, transformateur triphasé, transformateurs spéciaux. Machines tournantes à courant continu: rappel des lois fondamentales, génératrice à courant continu, principe de fonctionnement des moteurs à courant continu et alternatifs, principes directeurs de choix de moteurs pour une application, contrôle de la vitesse des moteurs à courant continu, moteur série universel. Introduction aux circuits de puissance et à la sécurité électrique: risques, liés aux défauts d'isolement, pour la sécurité des personnes et des biens; Schéma des Liaisons à la Terre (Régimes du neutre); distribution industrielle."
6GEN106,Ingénierie: méthodes et pratique I (génie mécanique)," Présenter les divers aspects de la profession d'ingénieur et faire acquérir les notions importantes liées à la résolution de problèmes d'ingénierie.  Initier au travail en équipe (rôles, responsabilités, gestion) ainsi qu'à des méthodes de communication efficaces, tant écrites qu'orales. Profession d'ingénieur: formation universitaire, nature du travail, spécialités, réalisations typiques, responsabilités, éthique, cadres normatif et légal, salaires, marché du travail, stages en entreprise, relations entre l'ingénieur et les autres professionnels (architectes, techniciens, ...).  Résolution de problèmes: types de problèmes, causes et effets, identification des besoins, objectifs et contraintes, méthodes de résolution, identification d'une solution.  Travail en équipe: les étapes de création d'une équipe, la définition des rôles, responsabilités et règles de pratique, la communication et l'attitude.  Communication: les règles à suivre pour une communication efficace, le processus d'écriture, la génération, le développement et l'organisation des idées, la structure générale d'un rapport et d'une présentation.  Élaboration d'un dossier professionnel."
6GEN136,Ingénierie: méthodes et pratique II (génie mécanique)," Poursuivre la formation en ce qui concerne le processus de résolution de problèmes d'ingénierie. Intégrer des notions liées à un processus d'investigation lorsque les problèmes sont complexes et requièrent la réalisation d'expériences, l'analyse et l'interprétation des données, de même que la synthèse de l'information et la formulation de conclusions. Être efficace dans un travail en équipe et à produire des communications de qualité, tant écrites qu'orales. Analyse, investigation et conception: par une méthodologie hybride de classe inversée et d'exposés magistraux ainsi que par la réalisation d'un projet d'ingénierie en équipe sous la supervision d'un conseiller-expert, l'étudiant apprendra la maîtrise d'une approche rigoureuse et scientifique à la réalisation d'un projet. L'accent principal sera mis sur les trois phases suivantes de la réalisation d'un projet: l'analyse, l'investigation et la conception. Approfondissement de la théorie, le fonctionnement et la mise en oeuvre de ces notions. Travail en équipe et communication: par la réalisation de divers travaux en groupe, d'un projet de conception, la production de rapports et la présentation des travaux réalisés, l'étudiant sera amené au développement du sens des responsabilités et d'imputabilité dans un travail en équipe ainsi qu'à améliorer la qualité de ses communications."
6GEN248,Informatique pour l'ingénieur," Rendre apte à résoudre des problèmes de sciences et de génie par la  programmation structurée de l'ordinateur. Structure de l'ordinateur. Les concepts de base en programmation. Analyse du problème, algorithme et organigrammes. Apprentissage d'un langage et application à la solution de problèmes d'ingénierie. Opérations en mode interactif: commandes essentielles d'édition et de mise à jour, traitement des fichiers. Programmation structurée: programmation descendante, organisation modulaire, vérification, documentation. Programmes interactifs. Utilisation de logiciels (MATLAB, traitement de texte, etc.)."
6GEN480,Dossier professionnel," Valider l'atteinte des objectifs de formation propres au programme sur la  base des évaluations réalisées lors des cours suivis antérieurement. Amener  l'étudiant à réaliser une démarche de formation  autonome et, par la suite,  démontrer l'atteinte des douze qualités (compétences) attendues des finissants  du programme. Étude du dossier de suivi de formation (dossier professionnel) rédigé par l'étudiant durant les trimestres antérieurs. Analyse des qualités acquises par l'étudiant et comparaison avec celles exigées par l'organisme régissant la formation des ingénieurs. Identification des lacunes, s'il y a lieu. Élaboration d'un plan de formation sur mesure pour combler ces dernières. Réalisation de ce plan durant le trimestre en cours."
6GIN250,"Santé, sécurité et ingénierie"," Faire découvrir et comprendre  la problématique de la santé et de la sécurité en relation avec l'ingénierie. Importance de la santé et de la sécurité du travail.  Lois sur la santé et la sécurité du travail.  Obligations légales et professionnelles de l'ingénieur face à la protection de la personne et du public.  Notions de base en ergonomie, hygiène du travail et maladies professionnelles.  Connaissance du milieu et risques principaux:  physiques, chimiques, biomécaniques.  Carte ASP construction."
6GIN275,Ingénierie et éthique," Familiariser  à une démarche éthique en relation avec la pratique de  l'ingénierie et le préparer à une pratique professionnelle conforme à la  déontologie des ingénieurs. L'éthique de l'ingénierie.  Diversité des conceptions de l'éthique. Description d'une démarche éthique en quatre phases:  prise de conscience de la situation, clarification des valeurs conflictuelles de la situation, prise de décision éthique, établissement d'un dialogue entre personnes impliquées. Utilisation d'une grille d'analyse.  Professionnalisation et société moderne. Système professionnel québécois.  Structure et contenu du code de déontologie des ingénieurs québécois.  Tendances actuelles en éthique de l'ingénierie.  Rôle et responsabilité des ingénieurs et autres décideurs en ingénierie dans le contexte actuel du développement   technologique et principaux enjeux:   la productivité industrielle, la sécurité du public et l'environnement."
6GIN308,Impact des projets d'ingénierie," Familiariser aux principes généraux de la réalisation d'études d'impacts  sociaux et environnementaux découlant de projets d'ingénierie. Structure, fonctionnement et équilibre de la biosphère.  Interrelations entre environnements physiques, chimiques et biologiques.  Quantification des phénomènes écologiques.  Étude d'impacts en relation avec des projets d'ingénierie:  étapes essentielles, paramètres environnementaux, identification et évaluation des impacts environnementaux et sociaux, approche économique, quantification des répercussions, mesures compensatoires, choix des options, rédaction d'un rapport, consultation publique."
