Course Number,Course Name,Course Description
GEI1085,Outils pour la mécatronique,"Initiation aux systèmes électromécaniques possédant des composants électriques/électroniques : méthodes et outils de calcul des circuits électriques appliqués aux systèmes mécaniques. Introduction à l’analyse des modules de transfert d’énergie électrique dans les systèmes électromécaniques avec les composants semi-conducteurs. Introduction aux éléments d’interfaçage avec un automate programmable : photodiodes, phototransistors, optocoupleurs. Analyse des besoins de systèmes de transfert d’énergie pour les systèmes électromécaniques: décodage de plaques signalétiques de batteries, moteurs électriques, actionneurs pneumatiques et hydrauliques."
GEI1086,Instrumentation en mécatronique,"Acquisition de connaissances sur les constituants d’une chaîne d’instrumentation d’un système mécatronique : modules d’acquisition et de conditionnement de signaux issus de montages mécaniques (amplification, atténuation, filtrage actif et passif), modules de numérisation de signaux analogiques pour les applications d’automates programmables, modules de conversion de signaux numériques en signaux analogiques pour la commande de procédés électromécaniques, multiplexage et démultiplexage de signaux. Conception de systèmes autour de microcontrôleurs ou d’automates programmables dans les systèmes mécatroniques. Adaptation des signaux d’entrée/sortie. Choix de modules d’instrumentation."
GIA1047,Analyse de rentabilité de projets I,"Situer les principaux éléments du contexte économique et financier de l'entreprise. Montrer les principales techniques de comparaison et d'analyse de rentabilité de projets d'ingénierie.Le contexte économique et financier : le capital, le rendement du capital, les sources de financement, les éléments du coût d'un produit, l'amortissement, le profit, l'analyse du point mort.  L'équivalence temps-argent : le concept, le flux monétaire d'un projet, cas de transformations de flux monétaire.  Méthodes d'analyse de rentabilité de projets : estimation des paramètres, dépréciation économique et valeur résiduelle, méthodes basées sur une valeur équivalente, méthodes du taux de rendement, période de recouvrement, analyse de sensibilité, choix entre plusieurs projets, projets différés, projets de vies différentes, projets liés, projets indépendants.  L'analyse de rentabilité après impôt : notions d'impôt des corporations, détermination du flux monétaire après impôt, analyse de rentabilité après impôt.  Utilisation de logiciels spécialisés sur micro-ordinateur.  Les études de remplacement d'équipement : facteurs à considérer, cycle de vie économique, considérations fiscales, problèmes types de remplacement."
GIA1058,Sécurité et hygiène industrielles,"Les objectifs principaux de ce cours sont d'initier les étudiants: aux différents facteurs reliés à la sécurité et hygiène industrielles ainsi qu'aux principes et techniques de base du contrôle de l'environnement des travailleurs; aux notions fondamentales nécessaires à la compréhension des mécanismes intervenant dans le domaine de la pollution industrielle ainsi qu'aux concepts de protection de l'environnement.Généralités : aspects légaux et réglementaires de la sécurité et de l'hygiène industrielles. Définitions des différents organismes. Sécurité : définitions et statistiques relatives à la sécurité; concepts d'accident. Organisation d'un programme de prévention; comité de santé, sécurité;  formation-information; système de registres. Inspections, enquêtes et analyse d'accidents, analyse sécuritaire de tâches. Sécurité en atelier; équipement de protection; prévention des incendies. Hygiène : bruit industriel, contrainte thermique et contrôle. Principes de ventilation industrielle. Les contaminants chimiques : toxicologie, valeurs limites admissibles, échantillonnage et contrôle. Techniques de contrôle des émissions atmosphériques, liquides et solides."
GIA1077,Conception de systèmes de fiabilité et de maintenance,"Connaître la théorie de la fiabilité des équipements de production et pouvoir l'appliquer en milieu industriel; apprendre la théorie et les techniques de gestion de la maintenance en entreprise manufacturière et pouvoir implanter un système de gestion de maintenance.  Familiarisation avec les principes de base de fiabilité, de disponibilité et de logistique de maintenance.  Applications aux modélisations de fiabilité de systèmes complexes et aux développements et aux implantations de systèmes de maintenance préventive.  Conception de système intégré de fiabilité ou d'un programme de maintenance dans une entreprise.  Note : Pour les étudiants du programme 7945, l'inscription à ce cours nécessite la réussite préalable de 90 crédits du programme. En fonction de son cheminement, un étudiant ayant obtenu 84 crédits et ayant une moyenne cumulative minimale de 2,3 peut, sous réserve de l'approbation du directeur de programme, être autorisé à suivre ce cours."
GMC1006,Mécanique des machines,"Acquisition des connaissances indispensables à l'analyse cinématique, statique et dynamique des systèmes mécaniques qui constituent les mécanismes industriels.Liaisons mécaniques : degrés de liberté, analyse cinématique des mécanismes.  Mécanismes.  Principe du travail virtuel.  Analyse dynamique des mécanismes.  Forces internes et réactions; analyses statique, cinéto-statique et dynamique."
GMC1016,Elasticité et plasticité,Acquisition de la capacité d'élaborer et de résoudre des modèles mathématiques qui simulent les états de contrainte et de déformation dans le domaine élastique et au-delà du domaine élastique.  Etats de contrainte et de déformation bidimensionnels et tridimensionnels. Méthodes énergétiques. Etats de contrainte élastoplastique et plastique. Analyse limite du comportement des structures. Etats de contrainte spéciaux.
GMC1017,Design des éléments de machines,"Acquisition des connaissances générales sur la conception et l'analyse des éléments de machines couramment employés dans l'industrie et sur la durée de vie des éléments de machines soumises aux sollicitations statiques et variables.  Etapes du processus de design. Facteur de sécurité et fiabilité en conception mécanique. Concentrateurs de contraintes.  Théories de limitation en chargement statique et en chargement variable. Conception, chargement limite et vérification des éléments de machines. Eléments de machines couramment utilisés dans l'industrie. Conception des éléments de machines assistée par l'ordinateur."
GMC1024,Automatismes industriels,"Ce cours vise l'acquisition des connaissances et techniques nécessaires à la conception et à l'implantation en industrie des systèmes automatisés, quel que soit le secteur d'activité technique. Un accent particulier est mis sur la pratique de la programmation d'automates programmables industriels.  Techniques et concepts de l'automatique séquentielle. Rappels et compléments en algèbre de Boole. Représentation et minimisation des fonctions booléennes. Introduction à la logique floue. Analyse et conception des automatismes combinatoires et séquentiels. Synthèse des systèmes séquentiels par la méthode d'Huffman et la méthode GRAFCET. Les automatismes à relais, la logique TTL, les automatismes fluidiques, les cycles vérins, les séquenceurs. Instrumentation des systèmes automatisés : capteurs et actionneurs. Les automates programmables industriels : technologie, caractéristiques et programmation. Simulation des systèmes automatisés. Aspects économiques et de sécurité des systèmes automatisés."
GMC1025,Robotique industrielle,"Ce cours de synthèse vise à intégrer un ensemble de notions mathématiques, d'informatique, de robotique, de design et d'automatisation dans le but de maîtriser la conception de cellules flexibles de fabrication faisant interagir robots, automates, machines à commandes numériques et convoyeurs.  Introduction à la robotique : types de robots, configurations géométriques, caractéristiques techniques. Modélisation des robots : cinématique directe, cinématique inverse, calcul des vitesses et accélérations. Aspects de sécurité. Conception des trajectoires. Analyse statique et dynamique. Contrôle PID indépendant et asservissement. Projet de mise en oeuvre et programmation d'une cellule flexible avec 2 robots, 2 automates, un convoyeur et 4 postes de fabrication."
