Course Number,Course Name,Course Description
IMC100,Mathématiques de l'ingénieur I,"Être apte à manipuler les concepts mathématiques pertinents aux compétences  Lois de conservation des milieux continus  et  Maîtrise de l'outil expérimental et systèmes mécatroniques ; inculquer des notions de statistique et de probabilités pour planifier les expériences et pour décrire et analyser les résultats expérimentaux. Variables complexes : opérations élémentaires; forme polaire; exponentielle complexe. Transformée de Laplace: modélisation d'un système mécanique; transformée de Laplace et propriétés; application à la résolution d'E.D. linéaires; représentations temporelle/fréquentielle d'un système. Analyse vectorielle : opérateurs vectoriels; intégrales de ligne, de flux; théorèmes intégraux. Statistique descriptive, modélisation statistique, estimations, prédictions et tests d'hypothèses, plans d'expériences."
IMC106,Résistance des matériaux I,"Présenter les concepts fondamentaux de la mécanique des milieux continus appliquée aux solides; intégrer ces notions avec les apprentissages provenant des mathématiques, des lois de comportement, de l'informatique et de la méthode expérimentale; contextualiser les concepts de la mécanique des solides afin de comprendre le sens physique des phénomènes rencontrés en mécanique des solides et d'acquérir les aptitudes nécessaires à la modélisation de problèmes pratiques. Notions de contraintes et de déformations. Transformation des contraintes et des déformations, mesures des déformations. Relations contraintes/déformations/température. Calcul des contraintes et des déformations de structures mécaniques simples sous sollicitations simples et composées. Notions de fatigue."
IMC113,Résistance des matériaux II,"Calculer les contraintes d’une poutre fabriquée par assemblage ou hétérogène, et pour le cas de flexion gauche; calculer la flèche et la pente d’une poutre par les méthodes de double intégration et des fonctions de singularité; calculer les efforts internes d’une poutre supportant une charge mobile; calculer les déplacements et contraintes associés au chargement de torsion pour un tube à paroi mince de section fermée non circulaire et pour les sections ouvertes minces; utiliser la méthode des éléments finis pour le calcul des déplacements, déformations et contraintes d’une structure sous chargement statique; et calculer la charge critique de flambement d’une colonne. Flexion avancée : fonctions de singularité, charge mobile, poutres fabriquées par assemblage, poutres hétérogènes et flexion gauche; torsion avancée : tubes à paroi mince de section non circulaire et sections ouvertes minces; méthode des éléments finis en calcul des structures : introduction à un logiciel d’éléments finis et laboratoires; et instabilité et flambement : stabilité d’une membrure rigide, stabilité d’une membrure élastique en compression, formule d’Euler, colonne « rotule-rotule » soumise à une charge excentrée et déversement latéral des poutres."
IMC117,Mathématiques de l'ingénieur II,"Reconnaître les différentes classes de problèmes aux limites rencontrées en mécanique; appliquer les techniques numériques de résolution (différences finies et éléments finis); appliquer la transformée de Laplace et les équations aux dérivées partielles. Classification des équations aux dérivées partielles de la mécanique : ordre 1, ordre 2; elliptiques paraboliques, hyperboliques; conditions aux limites; conditions initiales. Résolution numérique des EDP elliptiques : équation de Laplace; de Poisson; différences finies; problèmes 1D, 2D, 3D. Résolution numérique des EDP paraboliques : différences finies explicites, implicites; problèmes 1D, 2D. Résolution numérique des EDP hyperboliques : équation d'onde, différences finies, problèmes 1D, 2D. Introduction à la méthode des éléments finis. Application de la transformée de Laplace au contrôle et à la mécatronique. Introduction aux équations aux dérivées partielles."
IMC152,Résistance des matériaux III,Définir les principes et notions de base en résistance des matériaux; connaître le concept d'énergie de déformation et le théorème de Maxwell-Betti; démontrer et appliquer le théorème de Castigliano; appliquer le principe du déplacement virtuel et le principe des forces virtuelles; appliquer les théories de limitations en fatigue; calculer les déplacements et les contraintes pour des corps axisymétriques; calculer les contraintes associées à la flexion de poutres courbées; connaître les notions de base relatives au calcul d’un joint boulonné; et connaître les notions de base relatives au calcul du facteur de sécurité. Rappel des notions fondamentales en résistance des matériaux; méthodes énergétiques en résistance des matériaux; théories de limitations en fatigue; corps axisymétriques; poutres courbées; joints boulonnés; et facteur de sécurité.
IMC211,Dynamique des fluides appliquée,"Développer les compétences nécessaires pour l'analyse et la modélisation des écoulements permanents et non permanents et les appliquer aux cas de la couche limite, de la lubrification et des écoulements compressibles. Notions complémentaires : volume de contrôle en mouvement et bilans. Couches limites : laminaire, turbulente; transition et décollement. Équation de Van Karman. Écoulements dominés par viscosité : lubrification, équation de Reynolds, patin incliné et butée de Mitchell, écoulement de couette et palier lisse, instabilités et cavitation. Écoulements compressibles d'un gaz parfait : vitesse du son, nombre de Mach, écoulements isoénergétiques et ligne de Fanno, écoulements isentropiques, onde de choc normale et lignes de Fanno et de Rayleigh. Écoulements avec friction. Onde de Prandtl-Meyer et onde de choc oblique."
IMC221,Transferts thermiques,"Développer les compétences nécessaires pour l'analyse des phénomènes de transmission de chaleur par conduction, par convection et par rayonnement. Phénomènes de transmission de chaleur. Concepts fondamentaux. Conduction en régimes permanent et transitoire. Conductions unie et multidimensionnelle. Applications. Convections forcée, naturelle et mixte. Écoulements externes et internes. Corrélations. Applications. Échangeurs de chaleur. Loi de transfert par rayonnement. Rayonnement entre surfaces noires et grises. Transmission de chaleur mixte. Applications."
IMC501,Simulation numérique appliquée,"Faire la synthèse des sciences fondamentales du génie par la résolution d'un problème de complexité moyenne, tel que ceux rencontrés dans la pratique de l'ingénierie; développer une compétence en analyse et modélisation numériques afin de prédire d'une façon fiable le comportement d'une structure ou d'un système mécanique réel; maîtriser une procédure d'analyse reposant sur des approches analytiques et numériques. Présentation des méthodes numériques d'éléments finis. Présentation d'une procédure d'analyse numérique. Présentation, décortication et utilisation d'un logiciel d'analyse numérique par éléments finis."
IMC510,Introduction au génie-qualité,"Réaliser l'importance de la qualité dans le contexte industriel actuel; maîtriser les techniques de base en génie-qualité; développer des compétences en analyse et résolution de problèmes en qualité. Compléments de statistiques. Définition et importance de la qualité. Nouvelles approches de la qualité : fonction de perte de Taguchi, assurance de la qualité, gestion totale de la qualité, cercles de qualité, intégration de la qualité. Diagnostic et amélioration des produits et des procédés : analyses de Pareto, diagramme d'Ishikawa, techniques de résolution de problèmes. Contrôle statistique des procédés SPC : études et indices de capacité, cartes de contrôle pour mesures et pour attributs, analyse des tendances. Contrôle statistique des produits : plans d'échantillonnage simples, doubles et multiples pour attributs, paramètres et courbes caractéristiques, méthodes de sélection, normes ANSI/ASQC Z1.4, plans Dodge-Romig et zéro défaut, plans d'échantillonnage pour mesures, méthodes k et m, sigma connu et sigma inconnu, normes ANSI/ASQC Z1.9. Exemples industriels, systèmes informatisés."
ING100,Algèbre linéaire,"Formuler les problèmes en utilisant les notions de vecteurs et de matrices. Choisir et appliquer les outils appropriés pour résoudre les systèmes linéaires et les problèmes aux valeurs propres. Vecteurs et matrices; exemples; opérations sur les vecteurs; opérations sur les matrices; sous-espaces vectoriels; indépendance linéaire; base, applications. Transformations linéaires : exemples; noyau et image d'une transformation linéaire; applications. Systèmes de n équations linéaires à n inconnues : exemples; méthode d'élimination de Gauss; existence et unicité d'une solution; méthode de la matrice inverse; déterminant et règle de Cramer; techniques numériques; méthode des moindres carrés; applications. Valeurs propres et vecteurs propres : exemples; équations caractéristiques; diagonalisation; techniques numériques d'approximation des valeurs propres; applications."
