Course Number,Course Name,Course Description
MEC3000I,Épreuves initiales de communication,"La formation en communication écrite et orale s'étend de la première à la troisième année. Elle se déroule en quatre étapes : une évaluation initiale d'une communication écrite et d'une communication orale, une prescription individuelle de perfectionnement (s'il y a lieu), une évaluation finale d'une communication écrite et d'une communication orale dans le cadre du cours MEC3000 (voir la description de ce cours), et la réalisation d'un portfolio sur ces formes de communication. L'activité MEC3000I ne concerne que la première étape et comprend aussi une période de 2 heures réservée à la présentation globale de la formation en habiletés personnelles et relationnelles."
MEC3000A,Atelier en CÉO, 
ELE1403,Éléments d'électrotechnique et d'électronique,"Rappel des concepts fondamentaux des circuits. Circuits à courant alternatif monophasé et triphasé. Transformateur et moteur à courant alternatif. Distribution industrielle et utilisation de l'énergie électrique. Éléments d'électronique: diodes, transistors, thyristors, amplificateurs opérationnels. Introduction à l'électronique industrielle et de puissance. Variateurs électroniques de puissance."
INF1005D,Programmation procédurale en Python," Résolution de problèmes: stratégie, rôle des algorithmes. Concepts et propriétés des algorithmes. Environnement de programmation, tests et outils de correction. Le langage Python. Variables, types de données, expressions et opérateurs, chaîne de caractères et fonctions. Structures de contrôle: condition, répétition, itérateur, séquence d'entiers. Structures de données: liste, ensemble, dictionnaire, tableau. Fonctions: définition, paramètres et arguments, appel, expression lambda. Variables globales et locales. Entrées et sorties. Fichiers: lecture, écriture. Temps d'exécution. Bibliothèques scientifiques et graphiques. "
MEC1110,Projet intégrateur I,"L'ingénieur mécanique et les projets d'ingénierie. Application d'une démarche
de conception et d'outils de travail en équipe. En équipe : coordination et
réalisation de trois études de cas intégrant des notions des cours corequis,
introduction à des outils de conduite de projets, recherches d'informations et investigation expérimentale, rédaction de rapports techniques, préparation et présentation d'exposés oraux, établissement de bilans d'étapes ; maquettisme et prototypage. En individuel : tenue d'un cahier de projet, connaissance de son profil de travail, exercices réflexifs et évaluation des pairs. Exposés oraux de parcours professionnels par des ingénieurs de la pratique."
MEC1205,HPR - Travail en équipe collaboratif,"Développement des habiletés personnelles et relationnelles. Modèles et considérations de la communication interpersonnelle, perception, inférence et interprétation. Écoute active, intelligence relationnelle, conscience et affirmation de soi. Types de rétroaction; rétroaction positive, critique et constructive. Gestion des conflits interpersonnels. Connaissance et pratique de la dynamique et de l'organisation du travail en équipe collaboratif. Modèles de dynamique de groupe : conditions, développement et prise en charge de l'évolution de l'équipe. Types de réseaux de travail, organisation et prise de décisions en équipe. Normes, rôles, modes d'interaction, pouvoir et leadership, relations affectives et cohésion. Prise en charge et objectifs de changement personnels et relationnels."
MEC1210,Thermodynamique,"Définitions et unités : milieu continu, système, substance pure, état, paramètres, évolution, cycles. Formes d'énergie. Principe de conservation de masse et d'énergie. Réversibilité et irréversibilité. Chaleur massique. Entropie. Gaz parfait et réel. Évolutions utilisant un gaz parfait. Propriétés des substances pures : tables, diagrammes et logiciel de calcul. Analyse d'un cycle. Cycle de Carnot. Inégalité de Clausius. Second principe et production d'entropie. Cycles classiques de Rankine, Otto, Diesel et Brayton, cycles de réfrigération. Mélanges non réactifs, propriétés thermodynamiques des mélanges, psychrométrie. Introduction à la méthode de résolution des problèmes et aux outils de l'ingénieur."
MEC1315,Technologies informationnelles en ingénierie,"Outils de communication réseau sous Windows et Unix. Exploitation d'un logiciel de calcul numérique pour résoudre des problèmes d'ingénierie : méthodes de la bisection, méthode du trapèze, méthode de Vandermonde. Transformation géométrique de maillage 3D. Exploitation d'un tableur pour le traitement de données techniques et la programmation de procédures. Modèle de base de données relationnelle. Langage d'interrogation de base de données. Création dynamique de documents Web en interaction avec une base de données."
MEC1410,Statique,"Concepts fondamentaux : forces, couples, moments et systèmes équivalents. Équilibre des corps rigides en deux et trois dimensions. Analyses des mécanismes et des structures en deux dimensions. Forces réparties. Centre de gravité et centroïde. Frottement sec entre solides. Second moment de surface et moments d'inertie de masse. Moments d'inertie principaux. Introduction à la méthode de résolution des problèmes."
MEC1420,Résistance des matériaux I,"Concepts et principes fondamentaux. Notions de contrainte et de déformation, représentation matricielle. Forces et moments internes. Propriétés de base du matériau. Contraintes et déformations induites dans les membrures droites soumises aux chargements fondamentaux: chargement axial, flexion, torsion. Principe de superposition des états de chargement. Étude des états plans de contraintes et de déformations dans un corps continu. Comportement d'un solide élastique linéaire isotrope. Résistance et mode de défaillance."
MEC1510,Modélisation de systèmes mécaniques,"Introduction au développement de produits. Description des paradigmes de modélisation de pièces et systèmes mécaniques. Concepts de modélisation fonctionnelle de pièces par primitives fonctionnelles et d'assemblages. Isostatisme géométrique et topologique. Technique du croquis pour la représentation de systèmes mécaniques.  Introduction aux normes du dessin technique (telles que les projections, la cotation, la description des pièces normalisées ou commerciales) et aux conventions de représentation de modèles 3D. Utilisation de logiciels pour la modélisation et la génération de dessins techniques de systèmes mécaniques. Introduction au dessin assisté par ordinateur. Travaux pratiques en laboratoire avec le logiciel CATIA v5 et introduction à AutoCAD."
MEC2105,Projet intégrateur II,"Réalisation d'un projet à partir d'un problème de type ouvert menant à la réalisation physique d'un prototype présenté  à une compétition. Le projet est réalisé en équipe sous la supervision du professeur et permet aux étudiants d'appliquer et d'intégrer les connaissances acquises en première et deuxième années. Un exposé et plusieurs travaux de rédaction permettent aux étudiants d'améliorer leurs aptitudes de communication écrite et orale. L'étudiant doit utiliser des éléments de gestion de projet : planification, budget, cahier de projet de l'étudiant. "
MEC2115,Méthodes expérim. et instrum. en mécanique,Concepts généraux et objectifs de la mesure.  Planification d'essais.  Mesurage.  Chaîne de mesure.  Caractéristiques métrologiques des instruments.  Erreur de mesure.  Propagation des incertitudes.  Analyse et validation des résultats de mesure.  Mesures typiques en mécanique du solide et en mécanique des fluides.  Description des principaux types de capteurs.  Conditionneurs de signal.  Instruments de lecture et d'enregistrement.  Système informatisé d'acquisition de données.  Introduction au logiciel LabVIEW.  Travaux pratiques de laboratoire et conception d'un système informatisé d'acquisition.
