Course Number,Course Name,Course Description
CHM131,Chimie et matériaux,"Faire le lien entre la structure atomique de la matière et son comportement observable. Les objectifs propres à ce cours sont la compréhension de la structure de la matière, des lois régissant les comportements des solides, des liquides et des gaz et les mécanismes de réactions chimiques. Les notions théoriques sont complétées par la présentation de procédés industriels ou de phénomènes naturels. Grandeurs physiques et systèmes d’unités. Notion de procédé, bilan de matière. Structure de la matière : atomes, liaisons chimiques, molécules. Tableau périodique. Caractérisation des mélanges. Gaz parfaits : masse volumique, pression partielle, masse molaire des mélanges, équilibre liquide-vapeur; humidité de l’air et procédés d’humidification, déshumidification et séchage. Réactions chimiques : stœchiométrie et thermochimie, efficacité des procédés, combustion. Liquides : liaisons intermoléculaires. Solutions liquides : équilibre liquide-vapeur, solubilité des sels, acides et bases, solubilité des gaz, pollution des eaux et traitement des eaux usées. Structure des solides cristallins. Polymères. Les travaux pratiques portent sur la résolution de problèmes dans le but d’assurer la maîtrise des concepts présentés."
COM129,Méthodes de communication en génie mécanique,"Acquérir une plus grande maîtrise des divers outils de communication et, plus particulièrement, des connaissances théoriques et pratiques sur les méthodes et les techniques à la base de toute communication écrite et orale que l’étudiant est amené à faire à la fois durant ses études universitaires et durant sa carrière d’ingénieur. Stratégies visant à améliorer la rédaction de différents types d’écrits professionnels et les caractéristiques du style technique. Gestion du travail d’équipe. Initiation au langage graphique. Principales figures de rhétorique présentes dans l’argumentation et procédés de vulgarisation scientifique. Normes de présentation d’un rapport. Rédaction d’un rapport technique d’un projet d’ingénierie.  Les notions d'intégrité intellectuelle et la mise en pratique d’identification des sources de référence sont abordées. Les séances de travaux pratiques sont consacrées à l’apprentissage de la communication orale sous forme d’exposés. La pratique de l’autoscopie permet aux étudiants de mieux évaluer les forces et les faiblesses de leurs présentations et d’y apporter les correctifs nécessaires. À la fin de la session, chaque équipe de travail présente devant la classe son rapport technique analytique sous forme d’une mini-conférence. Précision sur le préalable : le cours MEC129 est concomitant au cours COM129 (il peut être suivi en même temps)."
GIA410,Gestion et économie des projets d’ingénierie,"Développer une capacité à intégrer de façon appropriée les pratiques d’économie et d’affaires dans l’exercice du génie, et de bien tenir compte des contraintes associées à ces pratiques. Acquérir des connaissances de base sur la gestion de projets d’ingénierie en utilisant certaines habiletés et méthodes spécifiques à l’analyse de la faisabilité financière, à l’analyse de risque et à la gestion de projet. En particulier, se familiariser avec les processus de gestion propres à chacune des étapes d’un projet dont l’étude de faisabilité, la planification de la portée, le suivi de l’échéancier et du budget, et la documentation de clôture. À la fin du cours, l’étudiant sera en mesure :  de décrire le processus de gestion de projet, de dresser un organigramme de projet et de constituer une équipe de projet; d’estimer les coûts de réalisation, de dresser un échéancier de projet et d’analyser les variances entre le coût réel et le budget d’un projet; d’utiliser des outils de gestion de la qualité; d’identifier les risques dans l’exécution du projet et d’en évaluer l’impact; d’évaluer le coût du financement d’un projet; d’analyser un problème de décision d’investissement sous l’angle de rentabilité économique en appliquant les concepts de valeur présente équivalente et de taux de rendement interne; de justifier un choix entre plusieurs options d’investissement mutuellement exclusives; d’identifier les sources de risque financier et d’en évaluer l’impact sur la rentabilité de projet; de formuler un problème d’investissement de manière à estimer la valeur financière des options stratégiques s’offrant aux décideurs.  Concepts de base de la gestion de projet et compréhension des concepts et techniques de la gestion de projet. Cycle de vie du projet, projet interne et projet externe. Rôle de la direction générale de projet, intégration et structure organisationnelle. Gestion du contenu de projet, définition de l’organigramme des tâches (WBS). Gestion de l’échéancier, méthode CPM, diagramme de Gantt. Gestion des coûts, techniques d’estimations de coûts, arbitrage coût-durée, suivi des coûts par l’analyse de la valeur acquise. Gestion de la qualité, diagramme de Pareto. Gestion des ressources humaines, constitution d’une équipe de projet, histogramme des ressources, matrice des tâches et responsabilités. Gestion des communications, plan par auditoire-cible. Gestion du risque, matrice impact-probabilité. Gestion des approvisionnements, types de contrat, sélection des fournisseurs. Concepts de base de l’économie des projets d’ingénierie et compréhension de l'analyse financière d'un projet du point de vue théorique et conceptuel. Types de décisions économiques et leur application. Capital, flux de trésorerie et valeur temporelle de l'argent. Taux d'intérêt nominal et effectif relatif aux emprunts, hypothèques et obligations. Méthodes de financement et coût du capital. Analyse de la valeur actualisée, de la valeur annuelle uniforme et du taux de rendement dans l'évaluation de projets indépendants, comparaison de projets mutuellement exclusifs. Économie de la conception. Analyse financière après impôt exigeant une compréhension de la déduction pour amortissement et de l’impôt sur le revenu des sociétés. Analyses après impôt d’option achat/ location et de remplacement. Analyse du seuil de rentabilité économique, de la sensibilité, du risque financier et de la valeur des options stratégiques. Séances de travaux pratiques axées sur des études de cas et des solutions de problèmes."
INF135,Introduction à la programmation en génie mécanique,"Cours destiné aux étudiants n’ayant jamais programmé et possédant des notions de base en algèbre matricielle et en calcul. Initier au fonctionnement d’un ordinateur et acquérir des connaissances permettant de résoudre des problèmes concrets reliés aux projets d’ingénierie. Présentation de la structure et du fonctionnement d’un ordinateur : matériel, logiciel. Initiation à l’algorithmie et à la programmation structurée : étapes de résolution d’un problème, méthodes de conception. Introduction à Matlab® et à son langage : structure d’un programme, mémoire et variables, instructions de base, instructions de décision et de contrôle, procédures et fonctions, passage de paramètres, vecteurs, matrices (sous-matrices, creuses et logiques), chaînes de caractères, graphiques, enregistrements et manipulation de fichiers. Résolution de problèmes à l’aide des matrices : méthodes de résolution numérique et optimisation. Séances de laboratoire axées sur l’application des notions de programmation."
MAT145,Calcul différentiel et intégral,"Au terme de ce cours, l’étudiant maîtrisera des notions de calcul différentiel et intégral utilisées dans les autres cours de mathématiques et dans les cours de génie. Analyse : généralités sur les fonctions de R dans R; calcul différentiel : limites, dérivée, dérivée des fonctions élémentaires, règles de dérivation, étude de graphe, optimisation, etc. Calcul intégral : intégrales indéfinies, méthode d'intégration, utilisation des tables, intégrales définies, application (calcul d'aires, de volumes, de longueurs d'arc), méthodes numériques, intégrales impropres, etc. Suites et séries. Développements limités (Taylor, MacLaurin), évaluation de fonctions et d'intégrales définies à l'aide des séries. Séances de travaux pratiques composées d'exercices choisis pour illustrer et compléter la théorie vue en classe."
MAT165,Algèbre linéaire et analyse vectorielle,"Au terme de ce cours, l’étudiant comprendra et maîtrisera les notions fondamentales d'algèbre matricielle et d'analyse vectorielle. Vecteurs, algèbre et géométrie vectorielle, produits scalaires, vectoriels et mixtes, fonctions vectorielles à une variable et applications. Transformations linéaires, matrices, déterminants, inversion de matrices, systèmes d'équations linéaires, valeurs propres et vecteurs propres. Fonctions à plusieurs variables, dérivées partielles, dérivées directionnelles, gradient; applications géométriques : courbes de niveaux, optimisation, plans tangents. Intégrales doubles et triples; applications : calcul de surfaces, volumes, centres de gravité, moments d'inertie. Champ vectoriel, divergence et rotationnel, intégrales de lignes et de surfaces; théorèmes de Green, Stokes et de la divergence. Séances de travaux pratiques composées d'exercices choisis pour illustrer et compléter la théorie vue en classe."
MAT265,Équations différentielles,"Au terme de ce cours, l’étudiant aura acquis des méthodes de solution de différents types d'équations différentielles rencontrées dans les travaux d'ingénierie. Origine et définition, famille de solutions, conditions initiales, équations différentielles du premier ordre : séparables exactes, linéaires. Applications : mouvement rectiligne, circuits électriques, etc. Équations différentielles linéaires à coefficients constants : solutions complémentaires (homogènes) et solutions particulières, méthode des coefficients indéterminés (variation des paramètres, opérateur inverse); applications : mouvement harmonique et circuits électriques. Transformées de Laplace en équations différentielles, applications, systèmes d'équations différentielles. Solutions d'équations différentielles par séries, méthodes numériques en équations différentielles. Séries de Fourier, résolutions d'équations différentielles par séries de Fourier. Séances de travaux pratiques composées d'exercices choisis pour illustrer et compléter la théorie vue en classe."
MAT350,Probabilités et statistiques,"Au terme de ce cours, l’étudiant sera initié aux concepts et aux outils de base reliés au domaine du  contrôle  statistique  des  procédés  et  des  matériaux. Définition et axiomes de probabilité, règles d'union, d'intersection, d'addition et de multiplication, probabilité conditionnelle, loi de Bayes. Analyse combinatoire. Variables aléatoires discrètes et continues, distribution de probabilités standards. Mesures d'échantillonnage. Distribution des paramètres d'échantillonnage, combinaison des variables aléatoires, distribution du Khi-carré. Tests statistiques, estimation, intervalle de confiance, tests sur la comparaison de deux populations. Régression linéaire, variance des résidus, tests statistiques et intervalles de confiance pour le paramètre du modèle. Séances de travaux pratiques et d'exercices portant sur des applications dans les domaines de l'administration, de la production, du contrôle de la qualité et de la fiabilité, et l'utilisation de logiciels statistiques."
MEC111,Statique de l'ingénieur,"Maîtriser les concepts fondamentaux de la statique et de la résistance des matériaux. Mettre en application des concepts de base de la méthodologie de projet dans la conception des structures de treillis et des membrures en flexion. Notions de base relatives aux forces, aux vecteurs et aux unités. Forces, moments, couples et équilibre des corps rigides dans le plan, corps à deux forces. Centre de masse, forces réparties, centroïde des lignes et des surfaces, moment d'inertie de surface, rayon de giration, théorème des axes parallèles. Contrainte et déformation normales, contrainte de cisaillement, essai de traction, module d'élasticité, loi de Hooke, essai de compression, formules de flambage des colonnes longues et courtes, facteur de sécurité. Structures de treillis, identification, méthode des nœuds, méthode des sections, calcul de la résistance des treillis. Charpentes et mécanismes. Effort tranchant, moment de flexion, contrainte normale en flexion, poutres composées, calcul des poutres. Frottement sec, coefficients de frottement statique et cinétique, équilibre avec frottement, introduction au frottement des courroies. Séances de laboratoire sur les comportements des membrures en compression et en flexion. Projet de conception des structures de treillis et des membrures en flexion."
MEC129,Développement de produits assisté par ordinateur,"À la fin du cours, l’étudiant sera en mesure :  d’appliquer une méthodologie de développement de produits menant à un modèle conceptuel; d’utiliser efficacement un système de CAO afin de produire un prototype conceptuel virtuel d’un produit; de résoudre des problèmes simples liés à la théorie de la conception assistée par ordinateur (CAO).  Notions de méthodologie de conception utilisée pour le développement de produits : cycle de développement, principes d'ingénierie simultanée, introduction à la gestion de projet, analyse d’un problème de conception, techniques de créativité, sélection d’une solution. Introduction à la modélisation géométrique utilisée par les systèmes de conception et de fabrication assistées par ordinateur (CAO/FAO) : types et représentation des courbes et surfaces paramétriques; techniques d’interpolation; Types et représentation des solides; représentation par limites et géométrie solide constructive. Représentation et échange de données entre différents systèmes de CAO/FAO; formats natifs, formats normalisés. Survol des principales fonctions d'un logiciel CAO de modélisation solide.  Séances de laboratoire axées sur la mise en application des concepts par le biais d'exercices de modélisation et par la réalisation en équipe d'un projet de développement de produit. Modélisation des assemblages en CAO; dessins d'assemblage et de détails, maintien du lien d'associativité.  Note sur les préalables : le cours COM129 est un cours associé et doit donc être suivi en même temps que MEC129."
